run: 770 | L: 4 | REP: 10000 | skip: 64 | Dim: 3 | LATTICE: SC
Mon Jan 25 12:53:15 2021 | q: 0/31 | q_time: 0.055351s | E: 1 | q_time/E: 0.055351s | shuffle time: 0.000000s
Mon Jan 25 12:53:15 2021 | q: 1/31 | q_time: 0.052678s | E: 1 | q_time/E: 0.052678s | shuffle time: 0.000210s
Mon Jan 25 12:53:15 2021 | q: 2/31 | q_time: 0.114501s | E: 2 | q_time/E: 0.057250s | shuffle time: 0.000237s
Mon Jan 25 12:53:15 2021 | q: 3/31 | q_time: 0.178800s | E: 3 | q_time/E: 0.059600s | shuffle time: 0.000230s
Mon Jan 25 12:53:16 2021 | q: 4/31 | q_time: 0.308462s | E: 5 | q_time/E: 0.061692s | shuffle time: 0.000237s
Mon Jan 25 12:53:16 2021 | q: 5/31 | q_time: 0.378727s | E: 6 | q_time/E: 0.063121s | shuffle time: 0.000245s
Mon Jan 25 12:53:17 2021 | q: 6/31 | q_time: 0.517740s | E: 8 | q_time/E: 0.064717s | shuffle time: 0.000244s
Mon Jan 25 12:53:17 2021 | q: 7/31 | q_time: 0.665302s | E: 10 | q_time/E: 0.066530s | shuffle time: 0.000240s
Mon Jan 25 12:53:18 2021 | q: 8/31 | q_time: 0.838693s | E: 12 | q_time/E: 0.069891s | shuffle time: 0.000251s
Mon Jan 25 12:53:19 2021 | q: 9/31 | q_time: 0.947482s | E: 14 | q_time/E: 0.067677s | shuffle time: 0.000250s
Mon Jan 25 12:53:20 2021 | q: 10/31 | q_time: 1.107772s | E: 16 | q_time/E: 0.069236s | shuffle time: 0.000250s
Mon Jan 25 12:53:21 2021 | q: 11/31 | q_time: 1.226489s | E: 18 | q_time/E: 0.068138s | shuffle time: 0.000249s
Mon Jan 25 12:53:23 2021 | q: 12/31 | q_time: 1.424679s | E: 21 | q_time/E: 0.067842s | shuffle time: 0.000250s
Mon Jan 25 12:53:24 2021 | q: 13/31 | q_time: 1.541299s | E: 23 | q_time/E: 0.067013s | shuffle time: 0.000254s
Mon Jan 25 12:53:26 2021 | q: 14/31 | q_time: 1.714994s | E: 26 | q_time/E: 0.065961s | shuffle time: 0.000253s
Mon Jan 25 12:53:28 2021 | q: 15/31 | q_time: 1.873147s | E: 28 | q_time/E: 0.066898s | shuffle time: 0.000251s
Mon Jan 25 12:53:30 2021 | q: 16/31 | q_time: 2.056366s | E: 31 | q_time/E: 0.066334s | shuffle time: 0.000248s
Mon Jan 25 12:53:32 2021 | q: 17/31 | q_time: 2.290975s | E: 34 | q_time/E: 0.067382s | shuffle time: 0.000249s
Mon Jan 25 12:53:35 2021 | q: 18/31 | q_time: 2.533897s | E: 36 | q_time/E: 0.070386s | shuffle time: 0.000252s
Mon Jan 25 12:53:37 2021 | q: 19/31 | q_time: 2.653764s | E: 38 | q_time/E: 0.069836s | shuffle time: 0.000253s
Mon Jan 25 12:53:40 2021 | q: 20/31 | q_time: 2.895141s | E: 41 | q_time/E: 0.070613s | shuffle time: 0.000255s
Mon Jan 25 12:53:43 2021 | q: 21/31 | q_time: 3.015376s | E: 43 | q_time/E: 0.070125s | shuffle time: 0.000256s
Mon Jan 25 12:53:49 2021 | q: 22/31 | q_time: 5.493925s | E: 46 | q_time/E: 0.119433s | shuffle time: 0.000256s
Mon Jan 25 12:53:53 2021 | q: 23/31 | q_time: 4.544909s | E: 49 | q_time/E: 0.092753s | shuffle time: 0.000752s
Mon Jan 25 12:53:57 2021 | q: 24/31 | q_time: 3.546795s | E: 52 | q_time/E: 0.068208s | shuffle time: 0.000256s
Mon Jan 25 12:54:01 2021 | q: 25/31 | q_time: 3.726957s | E: 55 | q_time/E: 0.067763s | shuffle time: 0.000255s
Mon Jan 25 12:54:05 2021 | q: 26/31 | q_time: 3.878486s | E: 58 | q_time/E: 0.066870s | shuffle time: 0.000253s
Mon Jan 25 12:54:09 2021 | q: 27/31 | q_time: 4.074421s | E: 61 | q_time/E: 0.066794s | shuffle time: 0.000251s
Mon Jan 25 12:54:13 2021 | q: 28/31 | q_time: 4.591862s | E: 65 | q_time/E: 0.070644s | shuffle time: 0.000249s
Mon Jan 25 12:54:21 2021 | q: 29/31 | q_time: 7.465531s | E: 67 | q_time/E: 0.111426s | shuffle time: 0.000249s
Mon Jan 25 12:54:26 2021 | q: 30/31 | q_time: 4.879918s | E: 69 | q_time/E: 0.070723s | shuffle time: 0.000247s
Mon Jan 25 12:54:30 2021 | q: 31/31 | q_time: 4.790347s | E: 71 | q_time/E: 0.067470s | shuffle time: 0.000246s
