q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.053788 1 0.053788 639938 639937 0
1 31 0.051546 1 0.051546 639938 639937 0
2 31 0.113381 2 0.056690 1281450 932141 349308
3 31 0.176840 3 0.058947 1920522 1342817 577704
4 31 0.308972 5 0.061794 3254590 1991400 1263189
5 31 0.376151 6 0.062692 3848901 2493774 1355126
6 31 0.517970 8 0.064746 5259626 3199563 2060062
7 31 0.648966 10 0.064897 6455110 3748718 2706391
8 31 0.790926 12 0.065910 7786058 4442460 3343597
9 31 0.942266 14 0.067305 9209651 5229699 3979951
10 31 1.071906 16 0.066994 10335710 5742976 4592733
11 31 1.222815 18 0.067934 11728533 6507475 5221057
12 31 1.358662 21 0.064698 13476033 7093771 6382261
13 31 1.502364 23 0.065320 14830279 7834425 6995853
14 31 1.726025 26 0.066386 17090065 8721148 8368916
15 31 1.847232 28 0.065973 18227512 9332220 8895291
16 31 2.061615 31 0.066504 20439220 10261823 10177396
17 31 2.326798 34 0.068435 23072240 11341348 11730891
18 31 2.388312 36 0.066342 23268986 11382501 11886484
19 31 3.518140 38 0.092583 24828207 12220852 12607354
20 31 3.344481 41 0.081573 27696655 13324088 14372566
21 31 2.988391 43 0.069497 28902581 13957430 14945150
22 31 3.283859 46 0.071388 29818168 13976290 15841877
23 31 3.374905 49 0.068876 32746265 15106657 17639607
24 31 3.712402 52 0.071392 36674863 16534877 20139985
25 31 4.181568 55 0.076029 39661301 17594312 22066988
26 31 3.932435 58 0.067801 39081899 16852841 22229057
27 31 4.197638 61 0.068814 40552228 17146019 23406208
28 31 4.655109 65 0.071617 44187953 18003137 26184815
29 31 4.702118 67 0.070181 45969180 18497699 27471480
30 31 4.672590 69 0.067719 46126431 18181946 27944484
31 31 4.666429 71 0.065724 46806304 17911656 28894647
70.7168
