run: 128 | L: 4 | REP: 10000 | skip: 64 | Dim: 3 | LATTICE: SC
Sun Jan 24 23:44:40 2021 | q: 0/31 | q_time: 0.055454s | E: 1 | q_time/E: 0.055454s | shuffle time: 0.000000s
Sun Jan 24 23:44:40 2021 | q: 1/31 | q_time: 0.051571s | E: 1 | q_time/E: 0.051571s | shuffle time: 0.000206s
Sun Jan 24 23:44:40 2021 | q: 2/31 | q_time: 0.113454s | E: 2 | q_time/E: 0.056727s | shuffle time: 0.000235s
Sun Jan 24 23:44:41 2021 | q: 3/31 | q_time: 0.177385s | E: 3 | q_time/E: 0.059128s | shuffle time: 0.000227s
Sun Jan 24 23:44:41 2021 | q: 4/31 | q_time: 0.304985s | E: 5 | q_time/E: 0.060997s | shuffle time: 0.000235s
Sun Jan 24 23:44:41 2021 | q: 5/31 | q_time: 0.377263s | E: 6 | q_time/E: 0.062877s | shuffle time: 0.000243s
Sun Jan 24 23:44:42 2021 | q: 6/31 | q_time: 0.510567s | E: 8 | q_time/E: 0.063821s | shuffle time: 0.000240s
Sun Jan 24 23:44:42 2021 | q: 7/31 | q_time: 0.647806s | E: 10 | q_time/E: 0.064781s | shuffle time: 0.000241s
Sun Jan 24 23:44:43 2021 | q: 8/31 | q_time: 0.796148s | E: 12 | q_time/E: 0.066346s | shuffle time: 0.000244s
Sun Jan 24 23:44:44 2021 | q: 9/31 | q_time: 0.926393s | E: 14 | q_time/E: 0.066171s | shuffle time: 0.000247s
Sun Jan 24 23:44:45 2021 | q: 10/31 | q_time: 1.069078s | E: 16 | q_time/E: 0.066817s | shuffle time: 0.000249s
Sun Jan 24 23:44:46 2021 | q: 11/31 | q_time: 1.218219s | E: 18 | q_time/E: 0.067679s | shuffle time: 0.000247s
Sun Jan 24 23:44:48 2021 | q: 12/31 | q_time: 1.419072s | E: 21 | q_time/E: 0.067575s | shuffle time: 0.000251s
Sun Jan 24 23:44:49 2021 | q: 13/31 | q_time: 1.529227s | E: 23 | q_time/E: 0.066488s | shuffle time: 0.000250s
Sun Jan 24 23:44:51 2021 | q: 14/31 | q_time: 1.859354s | E: 26 | q_time/E: 0.071514s | shuffle time: 0.000249s
Sun Jan 24 23:44:53 2021 | q: 15/31 | q_time: 1.943758s | E: 28 | q_time/E: 0.069420s | shuffle time: 0.000248s
Sun Jan 24 23:44:55 2021 | q: 16/31 | q_time: 2.130251s | E: 31 | q_time/E: 0.068718s | shuffle time: 0.000246s
Sun Jan 24 23:44:58 2021 | q: 17/31 | q_time: 2.281831s | E: 34 | q_time/E: 0.067113s | shuffle time: 0.000255s
Sun Jan 24 23:45:00 2021 | q: 18/31 | q_time: 2.403710s | E: 36 | q_time/E: 0.066770s | shuffle time: 0.000249s
Sun Jan 24 23:45:03 2021 | q: 19/31 | q_time: 2.583615s | E: 38 | q_time/E: 0.067990s | shuffle time: 0.000251s
Sun Jan 24 23:45:05 2021 | q: 20/31 | q_time: 2.908182s | E: 41 | q_time/E: 0.070931s | shuffle time: 0.000252s
Sun Jan 24 23:45:09 2021 | q: 21/31 | q_time: 3.034857s | E: 43 | q_time/E: 0.070578s | shuffle time: 0.000255s
Sun Jan 24 23:45:12 2021 | q: 22/31 | q_time: 3.271774s | E: 46 | q_time/E: 0.071126s | shuffle time: 0.000255s
Sun Jan 24 23:45:15 2021 | q: 23/31 | q_time: 3.319709s | E: 49 | q_time/E: 0.067749s | shuffle time: 0.000263s
Sun Jan 24 23:45:19 2021 | q: 24/31 | q_time: 3.516894s | E: 52 | q_time/E: 0.067633s | shuffle time: 0.000254s
Sun Jan 24 23:45:23 2021 | q: 25/31 | q_time: 3.904430s | E: 55 | q_time/E: 0.070990s | shuffle time: 0.000254s
Sun Jan 24 23:45:27 2021 | q: 26/31 | q_time: 4.227524s | E: 58 | q_time/E: 0.072888s | shuffle time: 0.000252s
Sun Jan 24 23:45:31 2021 | q: 27/31 | q_time: 4.255134s | E: 61 | q_time/E: 0.069756s | shuffle time: 0.000251s
Sun Jan 24 23:45:36 2021 | q: 28/31 | q_time: 4.637986s | E: 65 | q_time/E: 0.071354s | shuffle time: 0.000249s
Sun Jan 24 23:45:41 2021 | q: 29/31 | q_time: 4.868392s | E: 67 | q_time/E: 0.072663s | shuffle time: 0.000247s
Sun Jan 24 23:45:45 2021 | q: 30/31 | q_time: 4.738275s | E: 69 | q_time/E: 0.068671s | shuffle time: 0.000247s
Sun Jan 24 23:45:50 2021 | q: 31/31 | q_time: 5.055329s | E: 71 | q_time/E: 0.071202s | shuffle time: 0.000245s
