q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.231455 1 0.231455 639938 639937 0
1 31 0.211951 1 0.211951 639938 639937 0
2 31 0.425068 2 0.212534 1280040 927930 352109
3 31 0.591847 3 0.197282 1920851 1344590 576260
4 31 0.890962 5 0.178192 3273431 2008013 1265417
5 31 0.882021 6 0.147003 3871918 2520109 1351808
6 31 1.012843 8 0.126605 5199044 3154462 2044581
7 31 1.059304 10 0.105930 6504029 3793646 2710382
8 31 1.012712 12 0.084393 7729159 4393678 3335480
9 31 1.011865 14 0.072276 9012008 5063102 3948905
10 31 1.093826 16 0.068364 10485197 5865533 4619663
11 31 1.229689 18 0.068316 11851116 6574446 5276669
12 31 1.383366 21 0.065875 13811623 7280392 6531230
13 31 1.504452 23 0.065411 14922275 7887269 7035005
14 31 1.729276 26 0.066511 17185209 8821157 8364051
15 31 1.897451 28 0.067766 18878110 9703735 9174374
16 31 2.121533 31 0.068437 21233260 10616097 10617162
17 31 2.434152 34 0.071593 24210104 11976772 12233331
18 31 2.424879 36 0.067358 23773352 11734517 12038834
19 31 2.575380 38 0.067773 25074360 12330413 12743946
20 31 2.863814 41 0.069849 28018218 13577614 14440603
21 31 2.990263 43 0.069541 29062404 13988070 15074333
22 31 3.233576 46 0.070295 31489517 14861412 16628104
23 31 3.356316 49 0.068496 32876204 15174724 17701479
24 31 3.412587 52 0.065627 33544448 15017437 18527010
25 31 3.774137 55 0.068621 37475963 16525551 20950411
26 31 3.873655 58 0.066787 38465569 16545533 21920035
27 31 4.012685 61 0.065782 40081890 16890080 23191809
28 31 4.565173 65 0.070233 44020190 17791339 26228850
29 31 4.543096 67 0.067807 44566901 17860296 26706604
30 31 4.593456 69 0.066572 45473282 17840347 27632934
31 31 4.701584 71 0.066219 47136306 17949265 29187040
71.6447
