run: 623 | L: 4 | REP: 10000 | skip: 64 | Dim: 3 | LATTICE: SC
Mon Jan 25 09:49:54 2021 | q: 0/31 | q_time: 0.053928s | E: 1 | q_time/E: 0.053928s | shuffle time: 0.000000s
Mon Jan 25 09:49:54 2021 | q: 1/31 | q_time: 0.051500s | E: 1 | q_time/E: 0.051500s | shuffle time: 0.000208s
Mon Jan 25 09:49:54 2021 | q: 2/31 | q_time: 0.113542s | E: 2 | q_time/E: 0.056771s | shuffle time: 0.000232s
Mon Jan 25 09:49:54 2021 | q: 3/31 | q_time: 0.177317s | E: 3 | q_time/E: 0.059106s | shuffle time: 0.000227s
Mon Jan 25 09:49:54 2021 | q: 4/31 | q_time: 0.304963s | E: 5 | q_time/E: 0.060993s | shuffle time: 0.000237s
Mon Jan 25 09:49:55 2021 | q: 5/31 | q_time: 0.375610s | E: 6 | q_time/E: 0.062602s | shuffle time: 0.000242s
Mon Jan 25 09:49:55 2021 | q: 6/31 | q_time: 0.509413s | E: 8 | q_time/E: 0.063677s | shuffle time: 0.000241s
Mon Jan 25 09:49:56 2021 | q: 7/31 | q_time: 0.646134s | E: 10 | q_time/E: 0.064613s | shuffle time: 0.000240s
Mon Jan 25 09:49:57 2021 | q: 8/31 | q_time: 0.787024s | E: 12 | q_time/E: 0.065585s | shuffle time: 0.000244s
Mon Jan 25 09:49:58 2021 | q: 9/31 | q_time: 0.941782s | E: 14 | q_time/E: 0.067270s | shuffle time: 0.000249s
Mon Jan 25 09:49:59 2021 | q: 10/31 | q_time: 1.076857s | E: 16 | q_time/E: 0.067304s | shuffle time: 0.000248s
Mon Jan 25 09:50:00 2021 | q: 11/31 | q_time: 1.214708s | E: 18 | q_time/E: 0.067484s | shuffle time: 0.000249s
Mon Jan 25 09:50:01 2021 | q: 12/31 | q_time: 1.416690s | E: 21 | q_time/E: 0.067461s | shuffle time: 0.000251s
Mon Jan 25 09:50:03 2021 | q: 13/31 | q_time: 1.552727s | E: 23 | q_time/E: 0.067510s | shuffle time: 0.000250s
Mon Jan 25 09:50:05 2021 | q: 14/31 | q_time: 1.760750s | E: 26 | q_time/E: 0.067721s | shuffle time: 0.000248s
Mon Jan 25 09:50:07 2021 | q: 15/31 | q_time: 1.934750s | E: 28 | q_time/E: 0.069098s | shuffle time: 0.000249s
Mon Jan 25 09:50:09 2021 | q: 16/31 | q_time: 2.081261s | E: 31 | q_time/E: 0.067137s | shuffle time: 0.000246s
Mon Jan 25 09:50:11 2021 | q: 17/31 | q_time: 2.386960s | E: 34 | q_time/E: 0.070205s | shuffle time: 0.000249s
Mon Jan 25 09:50:14 2021 | q: 18/31 | q_time: 2.503324s | E: 36 | q_time/E: 0.069537s | shuffle time: 0.000251s
Mon Jan 25 09:50:16 2021 | q: 19/31 | q_time: 2.557383s | E: 38 | q_time/E: 0.067300s | shuffle time: 0.000252s
Mon Jan 25 09:50:19 2021 | q: 20/31 | q_time: 2.821617s | E: 41 | q_time/E: 0.068820s | shuffle time: 0.000253s
Mon Jan 25 09:50:22 2021 | q: 21/31 | q_time: 3.018378s | E: 43 | q_time/E: 0.070195s | shuffle time: 0.000254s
Mon Jan 25 09:50:25 2021 | q: 22/31 | q_time: 3.141340s | E: 46 | q_time/E: 0.068290s | shuffle time: 0.000256s
Mon Jan 25 09:50:29 2021 | q: 23/31 | q_time: 3.589554s | E: 49 | q_time/E: 0.073256s | shuffle time: 0.000254s
Mon Jan 25 09:50:33 2021 | q: 24/31 | q_time: 3.986752s | E: 52 | q_time/E: 0.076668s | shuffle time: 0.000254s
Mon Jan 25 09:50:36 2021 | q: 25/31 | q_time: 3.723817s | E: 55 | q_time/E: 0.067706s | shuffle time: 0.000253s
Mon Jan 25 09:50:40 2021 | q: 26/31 | q_time: 3.873587s | E: 58 | q_time/E: 0.066786s | shuffle time: 0.000252s
Mon Jan 25 09:50:44 2021 | q: 27/31 | q_time: 4.046709s | E: 61 | q_time/E: 0.066339s | shuffle time: 0.000251s
Mon Jan 25 09:50:49 2021 | q: 28/31 | q_time: 4.518686s | E: 65 | q_time/E: 0.069518s | shuffle time: 0.000249s
Mon Jan 25 09:50:53 2021 | q: 29/31 | q_time: 4.594348s | E: 67 | q_time/E: 0.068572s | shuffle time: 0.000248s
Mon Jan 25 09:51:07 2021 | q: 30/31 | q_time: 13.544331s | E: 69 | q_time/E: 0.196295s | shuffle time: 0.000247s
Mon Jan 25 09:51:19 2021 | q: 31/31 | q_time: 12.253972s | E: 71 | q_time/E: 0.172591s | shuffle time: 0.002337s
