q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.082248 1 0.082248 639938 639937 0
1 31 0.066820 1 0.066820 639938 639937 0
2 31 0.143806 2 0.071903 1280519 931251 349267
3 31 0.221683 3 0.073894 1924745 1348579 576165
4 31 0.381095 5 0.076219 3263005 2001086 1261918
5 31 0.423192 6 0.070532 3854072 2498621 1355450
6 31 0.528103 8 0.066013 5183633 3150591 2033041
7 31 0.654560 10 0.065456 6502779 3803026 2699752
8 31 0.789613 12 0.065801 7735963 4415263 3320699
9 31 0.947778 14 0.067698 9182979 5179951 4003027
10 31 1.082045 16 0.067628 10360934 5756827 4604106
11 31 1.218151 18 0.067675 11582238 6389580 5192657
12 31 1.460779 21 0.069561 14469545 7669335 6800209
13 31 1.523814 23 0.066253 14903649 7862980 7040668
14 31 1.725862 26 0.066379 16947096 8583341 8363754
15 31 1.849793 28 0.066064 18070693 9258150 8812542
16 31 2.091568 31 0.067470 20610045 10261740 10348304
17 31 2.478472 34 0.072896 24395741 12009406 12386334
18 31 2.397614 36 0.066600 23209539 11360007 11849531
19 31 2.629533 38 0.069198 25275266 12430182 12845083
20 31 2.872970 41 0.070072 27719350 13393210 14326139
21 31 3.021788 43 0.070274 28971452 13953472 15017979
22 31 3.146361 46 0.068399 30109220 14150179 15959040
23 31 3.348641 49 0.068340 32140575 14793561 17347013
24 31 3.489543 52 0.067107 33968893 15297657 18671235
25 31 3.773508 55 0.068609 36954502 16383031 20571470
26 31 4.021678 58 0.069339 39499787 17080446 22419340
27 31 4.089510 61 0.067041 40429310 17044683 23384626
28 31 4.620287 65 0.071081 43848438 17797834 26050603
29 31 4.686509 67 0.069948 45275939 18126028 27149910
30 31 4.798129 69 0.069538 47108925 18506851 28602073
31 31 4.831651 71 0.068051 47974754 18444498 29530255
69.3973
