run: 406 | L: 4 | REP: 10000 | skip: 64 | Dim: 3 | LATTICE: SC
Mon Jan 25 05:24:18 2021 | q: 0/31 | q_time: 0.053477s | E: 1 | q_time/E: 0.053477s | shuffle time: 0.000000s
Mon Jan 25 05:24:18 2021 | q: 1/31 | q_time: 0.051352s | E: 1 | q_time/E: 0.051352s | shuffle time: 0.000206s
Mon Jan 25 05:24:18 2021 | q: 2/31 | q_time: 0.113103s | E: 2 | q_time/E: 0.056551s | shuffle time: 0.000232s
Mon Jan 25 05:24:19 2021 | q: 3/31 | q_time: 0.176478s | E: 3 | q_time/E: 0.058826s | shuffle time: 0.000227s
Mon Jan 25 05:24:19 2021 | q: 4/31 | q_time: 0.306636s | E: 5 | q_time/E: 0.061327s | shuffle time: 0.000236s
Mon Jan 25 05:24:19 2021 | q: 5/31 | q_time: 0.377498s | E: 6 | q_time/E: 0.062916s | shuffle time: 0.000240s
Mon Jan 25 05:24:20 2021 | q: 6/31 | q_time: 0.513734s | E: 8 | q_time/E: 0.064217s | shuffle time: 0.000243s
Mon Jan 25 05:24:20 2021 | q: 7/31 | q_time: 0.647004s | E: 10 | q_time/E: 0.064700s | shuffle time: 0.000237s
Mon Jan 25 05:24:21 2021 | q: 8/31 | q_time: 0.800332s | E: 12 | q_time/E: 0.066694s | shuffle time: 0.000243s
Mon Jan 25 05:24:22 2021 | q: 9/31 | q_time: 0.940293s | E: 14 | q_time/E: 0.067164s | shuffle time: 0.000243s
Mon Jan 25 05:24:23 2021 | q: 10/31 | q_time: 1.097956s | E: 16 | q_time/E: 0.068622s | shuffle time: 0.000245s
Mon Jan 25 05:24:24 2021 | q: 11/31 | q_time: 1.211888s | E: 18 | q_time/E: 0.067327s | shuffle time: 0.000247s
Mon Jan 25 05:24:26 2021 | q: 12/31 | q_time: 1.372061s | E: 21 | q_time/E: 0.065336s | shuffle time: 0.000247s
Mon Jan 25 05:24:27 2021 | q: 13/31 | q_time: 1.512527s | E: 23 | q_time/E: 0.065762s | shuffle time: 0.000248s
Mon Jan 25 05:24:29 2021 | q: 14/31 | q_time: 1.777888s | E: 26 | q_time/E: 0.068380s | shuffle time: 0.000246s
Mon Jan 25 05:24:31 2021 | q: 15/31 | q_time: 1.898010s | E: 28 | q_time/E: 0.067786s | shuffle time: 0.000248s
Mon Jan 25 05:24:33 2021 | q: 16/31 | q_time: 2.234052s | E: 31 | q_time/E: 0.072066s | shuffle time: 0.000251s
Mon Jan 25 05:24:36 2021 | q: 17/31 | q_time: 2.360910s | E: 34 | q_time/E: 0.069439s | shuffle time: 0.000254s
Mon Jan 25 05:24:38 2021 | q: 18/31 | q_time: 2.488850s | E: 36 | q_time/E: 0.069135s | shuffle time: 0.000257s
Mon Jan 25 05:24:41 2021 | q: 19/31 | q_time: 2.663670s | E: 38 | q_time/E: 0.070097s | shuffle time: 0.000255s
Mon Jan 25 05:24:44 2021 | q: 20/31 | q_time: 2.989401s | E: 41 | q_time/E: 0.072912s | shuffle time: 0.000256s
Mon Jan 25 05:24:47 2021 | q: 21/31 | q_time: 2.988687s | E: 43 | q_time/E: 0.069504s | shuffle time: 0.000256s
Mon Jan 25 05:24:50 2021 | q: 22/31 | q_time: 3.110593s | E: 46 | q_time/E: 0.067622s | shuffle time: 0.000258s
Mon Jan 25 05:24:53 2021 | q: 23/31 | q_time: 3.437007s | E: 49 | q_time/E: 0.070143s | shuffle time: 0.000258s
Mon Jan 25 05:24:57 2021 | q: 24/31 | q_time: 3.822112s | E: 52 | q_time/E: 0.073502s | shuffle time: 0.000257s
Mon Jan 25 05:25:01 2021 | q: 25/31 | q_time: 3.800206s | E: 55 | q_time/E: 0.069095s | shuffle time: 0.000258s
Mon Jan 25 05:25:05 2021 | q: 26/31 | q_time: 3.870778s | E: 58 | q_time/E: 0.066738s | shuffle time: 0.000257s
Mon Jan 25 05:25:09 2021 | q: 27/31 | q_time: 4.060941s | E: 61 | q_time/E: 0.066573s | shuffle time: 0.000250s
Mon Jan 25 05:25:14 2021 | q: 28/31 | q_time: 4.774176s | E: 65 | q_time/E: 0.073449s | shuffle time: 0.000250s
Mon Jan 25 05:25:18 2021 | q: 29/31 | q_time: 4.695830s | E: 67 | q_time/E: 0.070087s | shuffle time: 0.000250s
Mon Jan 25 05:25:23 2021 | q: 30/31 | q_time: 4.720702s | E: 69 | q_time/E: 0.068416s | shuffle time: 0.000249s
Mon Jan 25 05:25:28 2021 | q: 31/31 | q_time: 4.832871s | E: 71 | q_time/E: 0.068069s | shuffle time: 0.000252s
