run: 383 | L: 4 | REP: 10000 | skip: 64 | Dim: 3 | LATTICE: SC
Mon Jan 25 04:57:35 2021 | q: 0/31 | q_time: 0.053542s | E: 1 | q_time/E: 0.053542s | shuffle time: 0.000000s
Mon Jan 25 04:57:35 2021 | q: 1/31 | q_time: 0.051378s | E: 1 | q_time/E: 0.051378s | shuffle time: 0.000205s
Mon Jan 25 04:57:35 2021 | q: 2/31 | q_time: 0.112979s | E: 2 | q_time/E: 0.056489s | shuffle time: 0.000235s
Mon Jan 25 04:57:35 2021 | q: 3/31 | q_time: 0.176755s | E: 3 | q_time/E: 0.058918s | shuffle time: 0.000224s
Mon Jan 25 04:57:36 2021 | q: 4/31 | q_time: 0.306309s | E: 5 | q_time/E: 0.061262s | shuffle time: 0.000235s
Mon Jan 25 04:57:36 2021 | q: 5/31 | q_time: 0.381675s | E: 6 | q_time/E: 0.063613s | shuffle time: 0.000240s
Mon Jan 25 04:57:37 2021 | q: 6/31 | q_time: 0.509995s | E: 8 | q_time/E: 0.063749s | shuffle time: 0.000240s
Mon Jan 25 04:57:37 2021 | q: 7/31 | q_time: 0.646522s | E: 10 | q_time/E: 0.064652s | shuffle time: 0.000239s
Mon Jan 25 04:57:38 2021 | q: 8/31 | q_time: 0.827399s | E: 12 | q_time/E: 0.068950s | shuffle time: 0.000242s
Mon Jan 25 04:57:39 2021 | q: 9/31 | q_time: 0.932089s | E: 14 | q_time/E: 0.066578s | shuffle time: 0.000244s
Mon Jan 25 04:57:40 2021 | q: 10/31 | q_time: 1.112408s | E: 16 | q_time/E: 0.069525s | shuffle time: 0.000246s
Mon Jan 25 04:57:41 2021 | q: 11/31 | q_time: 1.252340s | E: 18 | q_time/E: 0.069574s | shuffle time: 0.000247s
Mon Jan 25 04:57:43 2021 | q: 12/31 | q_time: 1.407877s | E: 21 | q_time/E: 0.067042s | shuffle time: 0.000248s
Mon Jan 25 04:57:44 2021 | q: 13/31 | q_time: 1.556224s | E: 23 | q_time/E: 0.067662s | shuffle time: 0.000248s
Mon Jan 25 04:57:46 2021 | q: 14/31 | q_time: 1.810174s | E: 26 | q_time/E: 0.069622s | shuffle time: 0.000248s
Mon Jan 25 04:57:48 2021 | q: 15/31 | q_time: 1.901658s | E: 28 | q_time/E: 0.067916s | shuffle time: 0.000247s
Mon Jan 25 04:57:50 2021 | q: 16/31 | q_time: 2.196847s | E: 31 | q_time/E: 0.070866s | shuffle time: 0.000246s
Mon Jan 25 04:57:53 2021 | q: 17/31 | q_time: 2.324352s | E: 34 | q_time/E: 0.068363s | shuffle time: 0.000249s
Mon Jan 25 04:57:55 2021 | q: 18/31 | q_time: 2.428234s | E: 36 | q_time/E: 0.067451s | shuffle time: 0.000251s
Mon Jan 25 04:57:58 2021 | q: 19/31 | q_time: 2.548422s | E: 38 | q_time/E: 0.067064s | shuffle time: 0.000251s
Mon Jan 25 04:58:00 2021 | q: 20/31 | q_time: 2.765782s | E: 41 | q_time/E: 0.067458s | shuffle time: 0.000253s
Mon Jan 25 04:58:03 2021 | q: 21/31 | q_time: 2.947961s | E: 43 | q_time/E: 0.068557s | shuffle time: 0.000251s
Mon Jan 25 04:58:06 2021 | q: 22/31 | q_time: 3.139707s | E: 46 | q_time/E: 0.068254s | shuffle time: 0.000251s
Mon Jan 25 04:58:10 2021 | q: 23/31 | q_time: 3.472268s | E: 49 | q_time/E: 0.070863s | shuffle time: 0.000254s
Mon Jan 25 04:58:13 2021 | q: 24/31 | q_time: 3.457090s | E: 52 | q_time/E: 0.066482s | shuffle time: 0.000252s
Mon Jan 25 04:58:17 2021 | q: 25/31 | q_time: 3.859338s | E: 55 | q_time/E: 0.070170s | shuffle time: 0.000252s
Mon Jan 25 04:58:21 2021 | q: 26/31 | q_time: 4.071405s | E: 58 | q_time/E: 0.070197s | shuffle time: 0.000251s
Mon Jan 25 04:58:25 2021 | q: 27/31 | q_time: 3.986186s | E: 61 | q_time/E: 0.065347s | shuffle time: 0.000249s
Mon Jan 25 04:58:30 2021 | q: 28/31 | q_time: 4.682847s | E: 65 | q_time/E: 0.072044s | shuffle time: 0.000247s
Mon Jan 25 04:58:35 2021 | q: 29/31 | q_time: 4.653962s | E: 67 | q_time/E: 0.069462s | shuffle time: 0.000246s
Mon Jan 25 04:58:39 2021 | q: 30/31 | q_time: 4.686132s | E: 69 | q_time/E: 0.067915s | shuffle time: 0.000246s
Mon Jan 25 04:58:44 2021 | q: 31/31 | q_time: 4.883714s | E: 71 | q_time/E: 0.068785s | shuffle time: 0.000245s
