run: 863 | L: 4 | REP: 10000 | skip: 64 | Dim: 3 | LATTICE: SC
Mon Jan 25 14:47:52 2021 | q: 0/31 | q_time: 0.055504s | E: 1 | q_time/E: 0.055504s | shuffle time: 0.000000s
Mon Jan 25 14:47:52 2021 | q: 1/31 | q_time: 0.052899s | E: 1 | q_time/E: 0.052899s | shuffle time: 0.000208s
Mon Jan 25 14:47:52 2021 | q: 2/31 | q_time: 0.113579s | E: 2 | q_time/E: 0.056789s | shuffle time: 0.000234s
Mon Jan 25 14:47:52 2021 | q: 3/31 | q_time: 0.177082s | E: 3 | q_time/E: 0.059027s | shuffle time: 0.000227s
Mon Jan 25 14:47:52 2021 | q: 4/31 | q_time: 0.309776s | E: 5 | q_time/E: 0.061955s | shuffle time: 0.000235s
Mon Jan 25 14:47:53 2021 | q: 5/31 | q_time: 0.376896s | E: 6 | q_time/E: 0.062816s | shuffle time: 0.000240s
Mon Jan 25 14:47:53 2021 | q: 6/31 | q_time: 0.514383s | E: 8 | q_time/E: 0.064298s | shuffle time: 0.000242s
Mon Jan 25 14:47:54 2021 | q: 7/31 | q_time: 0.654791s | E: 10 | q_time/E: 0.065479s | shuffle time: 0.000238s
Mon Jan 25 14:47:55 2021 | q: 8/31 | q_time: 0.808561s | E: 12 | q_time/E: 0.067380s | shuffle time: 0.000242s
Mon Jan 25 14:47:56 2021 | q: 9/31 | q_time: 0.925662s | E: 14 | q_time/E: 0.066119s | shuffle time: 0.000245s
Mon Jan 25 14:47:57 2021 | q: 10/31 | q_time: 1.075971s | E: 16 | q_time/E: 0.067248s | shuffle time: 0.000246s
Mon Jan 25 14:47:58 2021 | q: 11/31 | q_time: 1.213967s | E: 18 | q_time/E: 0.067443s | shuffle time: 0.000247s
Mon Jan 25 14:47:59 2021 | q: 12/31 | q_time: 1.380973s | E: 21 | q_time/E: 0.065761s | shuffle time: 0.000249s
Mon Jan 25 14:48:01 2021 | q: 13/31 | q_time: 1.509387s | E: 23 | q_time/E: 0.065626s | shuffle time: 0.000248s
Mon Jan 25 14:48:03 2021 | q: 14/31 | q_time: 1.719366s | E: 26 | q_time/E: 0.066129s | shuffle time: 0.000248s
Mon Jan 25 14:48:04 2021 | q: 15/31 | q_time: 1.840061s | E: 28 | q_time/E: 0.065716s | shuffle time: 0.000246s
Mon Jan 25 14:48:06 2021 | q: 16/31 | q_time: 2.030362s | E: 31 | q_time/E: 0.065496s | shuffle time: 0.000247s
Mon Jan 25 14:48:09 2021 | q: 17/31 | q_time: 2.402899s | E: 34 | q_time/E: 0.070673s | shuffle time: 0.000248s
Mon Jan 25 14:48:11 2021 | q: 18/31 | q_time: 2.510924s | E: 36 | q_time/E: 0.069748s | shuffle time: 0.000250s
Mon Jan 25 14:48:14 2021 | q: 19/31 | q_time: 2.598242s | E: 38 | q_time/E: 0.068375s | shuffle time: 0.000251s
Mon Jan 25 14:48:17 2021 | q: 20/31 | q_time: 2.868518s | E: 41 | q_time/E: 0.069964s | shuffle time: 0.000251s
Mon Jan 25 14:48:20 2021 | q: 21/31 | q_time: 3.036996s | E: 43 | q_time/E: 0.070628s | shuffle time: 0.000252s
Mon Jan 25 14:48:23 2021 | q: 22/31 | q_time: 3.068013s | E: 46 | q_time/E: 0.066696s | shuffle time: 0.000252s
Mon Jan 25 14:48:26 2021 | q: 23/31 | q_time: 3.278776s | E: 49 | q_time/E: 0.066914s | shuffle time: 0.000254s
Mon Jan 25 14:48:30 2021 | q: 24/31 | q_time: 3.543624s | E: 52 | q_time/E: 0.068147s | shuffle time: 0.000254s
Mon Jan 25 14:48:34 2021 | q: 25/31 | q_time: 3.792138s | E: 55 | q_time/E: 0.068948s | shuffle time: 0.000252s
Mon Jan 25 14:48:37 2021 | q: 26/31 | q_time: 3.869790s | E: 58 | q_time/E: 0.066721s | shuffle time: 0.000251s
Mon Jan 25 14:48:41 2021 | q: 27/31 | q_time: 4.054253s | E: 61 | q_time/E: 0.066463s | shuffle time: 0.000251s
Mon Jan 25 14:48:46 2021 | q: 28/31 | q_time: 4.480416s | E: 65 | q_time/E: 0.068929s | shuffle time: 0.000248s
Mon Jan 25 14:48:51 2021 | q: 29/31 | q_time: 4.579203s | E: 67 | q_time/E: 0.068346s | shuffle time: 0.000247s
Mon Jan 25 14:48:55 2021 | q: 30/31 | q_time: 4.756645s | E: 69 | q_time/E: 0.068937s | shuffle time: 0.000246s
Mon Jan 25 14:49:00 2021 | q: 31/31 | q_time: 5.031492s | E: 71 | q_time/E: 0.070866s | shuffle time: 0.000244s
