run: 179 | L: 4 | REP: 10000 | skip: 64 | Dim: 3 | LATTICE: SC
Mon Jan 25 00:44:32 2021 | q: 0/31 | q_time: 0.058637s | E: 1 | q_time/E: 0.058637s | shuffle time: 0.000000s
Mon Jan 25 00:44:32 2021 | q: 1/31 | q_time: 0.055782s | E: 1 | q_time/E: 0.055782s | shuffle time: 0.000238s
Mon Jan 25 00:44:32 2021 | q: 2/31 | q_time: 0.119363s | E: 2 | q_time/E: 0.059681s | shuffle time: 0.000262s
Mon Jan 25 00:44:32 2021 | q: 3/31 | q_time: 0.181362s | E: 3 | q_time/E: 0.060454s | shuffle time: 0.000249s
Mon Jan 25 00:44:33 2021 | q: 4/31 | q_time: 0.304641s | E: 5 | q_time/E: 0.060928s | shuffle time: 0.000237s
Mon Jan 25 00:44:33 2021 | q: 5/31 | q_time: 0.375454s | E: 6 | q_time/E: 0.062576s | shuffle time: 0.000241s
Mon Jan 25 00:44:33 2021 | q: 6/31 | q_time: 0.507402s | E: 8 | q_time/E: 0.063425s | shuffle time: 0.000241s
Mon Jan 25 00:44:34 2021 | q: 7/31 | q_time: 0.654785s | E: 10 | q_time/E: 0.065478s | shuffle time: 0.000239s
Mon Jan 25 00:44:35 2021 | q: 8/31 | q_time: 0.784383s | E: 12 | q_time/E: 0.065365s | shuffle time: 0.000244s
Mon Jan 25 00:44:36 2021 | q: 9/31 | q_time: 0.927604s | E: 14 | q_time/E: 0.066257s | shuffle time: 0.000248s
Mon Jan 25 00:44:37 2021 | q: 10/31 | q_time: 1.062428s | E: 16 | q_time/E: 0.066402s | shuffle time: 0.000245s
Mon Jan 25 00:44:38 2021 | q: 11/31 | q_time: 1.211145s | E: 18 | q_time/E: 0.067286s | shuffle time: 0.000249s
Mon Jan 25 00:44:39 2021 | q: 12/31 | q_time: 1.385770s | E: 21 | q_time/E: 0.065989s | shuffle time: 0.000251s
Mon Jan 25 00:44:41 2021 | q: 13/31 | q_time: 1.511700s | E: 23 | q_time/E: 0.065726s | shuffle time: 0.000250s
Mon Jan 25 00:44:43 2021 | q: 14/31 | q_time: 1.893596s | E: 26 | q_time/E: 0.072831s | shuffle time: 0.000249s
Mon Jan 25 00:44:45 2021 | q: 15/31 | q_time: 1.980732s | E: 28 | q_time/E: 0.070740s | shuffle time: 0.000248s
Mon Jan 25 00:44:47 2021 | q: 16/31 | q_time: 2.323247s | E: 31 | q_time/E: 0.074943s | shuffle time: 0.000246s
Mon Jan 25 00:44:49 2021 | q: 17/31 | q_time: 2.306261s | E: 34 | q_time/E: 0.067831s | shuffle time: 0.000249s
Mon Jan 25 00:44:52 2021 | q: 18/31 | q_time: 2.450163s | E: 36 | q_time/E: 0.068060s | shuffle time: 0.000249s
Mon Jan 25 00:44:55 2021 | q: 19/31 | q_time: 2.863783s | E: 38 | q_time/E: 0.075363s | shuffle time: 0.000250s
Mon Jan 25 00:44:58 2021 | q: 20/31 | q_time: 2.867768s | E: 41 | q_time/E: 0.069946s | shuffle time: 0.000251s
Mon Jan 25 00:45:00 2021 | q: 21/31 | q_time: 2.867450s | E: 43 | q_time/E: 0.066685s | shuffle time: 0.000253s
Mon Jan 25 00:45:04 2021 | q: 22/31 | q_time: 3.484925s | E: 46 | q_time/E: 0.075759s | shuffle time: 0.000254s
Mon Jan 25 00:45:07 2021 | q: 23/31 | q_time: 3.297226s | E: 49 | q_time/E: 0.067290s | shuffle time: 0.000300s
Mon Jan 25 00:45:11 2021 | q: 24/31 | q_time: 3.738983s | E: 52 | q_time/E: 0.071904s | shuffle time: 0.000254s
Mon Jan 25 00:45:15 2021 | q: 25/31 | q_time: 3.725494s | E: 55 | q_time/E: 0.067736s | shuffle time: 0.000253s
Mon Jan 25 00:45:19 2021 | q: 26/31 | q_time: 4.060215s | E: 58 | q_time/E: 0.070004s | shuffle time: 0.000252s
Mon Jan 25 00:45:23 2021 | q: 27/31 | q_time: 4.343276s | E: 61 | q_time/E: 0.071201s | shuffle time: 0.000249s
Mon Jan 25 00:45:28 2021 | q: 28/31 | q_time: 4.773119s | E: 65 | q_time/E: 0.073433s | shuffle time: 0.000248s
Mon Jan 25 00:45:33 2021 | q: 29/31 | q_time: 4.685844s | E: 67 | q_time/E: 0.069938s | shuffle time: 0.000248s
Mon Jan 25 00:45:37 2021 | q: 30/31 | q_time: 4.887513s | E: 69 | q_time/E: 0.070834s | shuffle time: 0.000246s
Mon Jan 25 00:45:42 2021 | q: 31/31 | q_time: 4.731846s | E: 71 | q_time/E: 0.066646s | shuffle time: 0.000244s
