run: 954 | L: 4 | REP: 10000 | skip: 64 | Dim: 3 | LATTICE: SC
Mon Jan 25 16:38:22 2021 | q: 0/31 | q_time: 0.053880s | E: 1 | q_time/E: 0.053880s | shuffle time: 0.000000s
Mon Jan 25 16:38:22 2021 | q: 1/31 | q_time: 0.051664s | E: 1 | q_time/E: 0.051664s | shuffle time: 0.000206s
Mon Jan 25 16:38:22 2021 | q: 2/31 | q_time: 0.113263s | E: 2 | q_time/E: 0.056631s | shuffle time: 0.000233s
Mon Jan 25 16:38:22 2021 | q: 3/31 | q_time: 0.177213s | E: 3 | q_time/E: 0.059071s | shuffle time: 0.000227s
Mon Jan 25 16:38:23 2021 | q: 4/31 | q_time: 0.307774s | E: 5 | q_time/E: 0.061555s | shuffle time: 0.000236s
Mon Jan 25 16:38:23 2021 | q: 5/31 | q_time: 0.376331s | E: 6 | q_time/E: 0.062722s | shuffle time: 0.000239s
Mon Jan 25 16:38:24 2021 | q: 6/31 | q_time: 0.506011s | E: 8 | q_time/E: 0.063251s | shuffle time: 0.000242s
Mon Jan 25 16:38:24 2021 | q: 7/31 | q_time: 0.647919s | E: 10 | q_time/E: 0.064792s | shuffle time: 0.000236s
Mon Jan 25 16:38:25 2021 | q: 8/31 | q_time: 0.806858s | E: 12 | q_time/E: 0.067238s | shuffle time: 0.000244s
Mon Jan 25 16:38:26 2021 | q: 9/31 | q_time: 0.938380s | E: 14 | q_time/E: 0.067027s | shuffle time: 0.000244s
Mon Jan 25 16:38:27 2021 | q: 10/31 | q_time: 1.099386s | E: 16 | q_time/E: 0.068712s | shuffle time: 0.000247s
Mon Jan 25 16:38:28 2021 | q: 11/31 | q_time: 1.251596s | E: 18 | q_time/E: 0.069533s | shuffle time: 0.000249s
Mon Jan 25 16:38:30 2021 | q: 12/31 | q_time: 1.411766s | E: 21 | q_time/E: 0.067227s | shuffle time: 0.000249s
Mon Jan 25 16:38:31 2021 | q: 13/31 | q_time: 1.542268s | E: 23 | q_time/E: 0.067055s | shuffle time: 0.000248s
Mon Jan 25 16:38:33 2021 | q: 14/31 | q_time: 1.695807s | E: 26 | q_time/E: 0.065223s | shuffle time: 0.000250s
Mon Jan 25 16:38:35 2021 | q: 15/31 | q_time: 1.837322s | E: 28 | q_time/E: 0.065619s | shuffle time: 0.000246s
Mon Jan 25 16:38:37 2021 | q: 16/31 | q_time: 2.104538s | E: 31 | q_time/E: 0.067888s | shuffle time: 0.000245s
Mon Jan 25 16:38:39 2021 | q: 17/31 | q_time: 2.355085s | E: 34 | q_time/E: 0.069267s | shuffle time: 0.000248s
Mon Jan 25 16:38:42 2021 | q: 18/31 | q_time: 2.443877s | E: 36 | q_time/E: 0.067885s | shuffle time: 0.000248s
Mon Jan 25 16:38:44 2021 | q: 19/31 | q_time: 2.516114s | E: 38 | q_time/E: 0.066214s | shuffle time: 0.000250s
Mon Jan 25 16:38:47 2021 | q: 20/31 | q_time: 2.765579s | E: 41 | q_time/E: 0.067453s | shuffle time: 0.000253s
Mon Jan 25 16:38:50 2021 | q: 21/31 | q_time: 2.981956s | E: 43 | q_time/E: 0.069348s | shuffle time: 0.000253s
Mon Jan 25 16:38:53 2021 | q: 22/31 | q_time: 3.097662s | E: 46 | q_time/E: 0.067340s | shuffle time: 0.000255s
Mon Jan 25 16:38:56 2021 | q: 23/31 | q_time: 3.274176s | E: 49 | q_time/E: 0.066820s | shuffle time: 0.000254s
Mon Jan 25 16:39:00 2021 | q: 24/31 | q_time: 3.465848s | E: 52 | q_time/E: 0.066651s | shuffle time: 0.000253s
Mon Jan 25 16:39:04 2021 | q: 25/31 | q_time: 3.648467s | E: 55 | q_time/E: 0.066336s | shuffle time: 0.000252s
Mon Jan 25 16:39:07 2021 | q: 26/31 | q_time: 3.834057s | E: 58 | q_time/E: 0.066104s | shuffle time: 0.000253s
Mon Jan 25 16:39:12 2021 | q: 27/31 | q_time: 4.135595s | E: 61 | q_time/E: 0.067797s | shuffle time: 0.000250s
Mon Jan 25 16:39:16 2021 | q: 28/31 | q_time: 4.723646s | E: 65 | q_time/E: 0.072671s | shuffle time: 0.000248s
Mon Jan 25 16:39:21 2021 | q: 29/31 | q_time: 4.563931s | E: 67 | q_time/E: 0.068118s | shuffle time: 0.000248s
Mon Jan 25 16:39:25 2021 | q: 30/31 | q_time: 4.655239s | E: 69 | q_time/E: 0.067467s | shuffle time: 0.000245s
Mon Jan 25 16:39:30 2021 | q: 31/31 | q_time: 4.882335s | E: 71 | q_time/E: 0.068765s | shuffle time: 0.000246s
