q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.053417 1 0.053417 639938 639937 0
1 31 0.051465 1 0.051465 639938 639937 0
2 31 0.113436 2 0.056718 1280667 929031 351635
3 31 0.177144 3 0.059048 1923845 1344629 579215
4 31 0.305074 5 0.061015 3212231 1957123 1255107
5 31 0.376019 6 0.062670 3851299 2492710 1358588
6 31 0.506580 8 0.063323 5134223 3108648 2025574
7 31 0.649164 10 0.064916 6434754 3761855 2672898
8 31 0.798040 12 0.066503 7868163 4505749 3362413
9 31 0.944913 14 0.067494 9236292 5213176 4023115
10 31 1.104350 16 0.069022 10690235 5996829 4693405
11 31 2.142655 18 0.119036 12286977 6825752 5461224
12 31 6.322718 21 0.301082 13813277 7289612 6523664
13 31 2.210632 23 0.096114 14827562 7813155 7014406
14 31 1.745267 26 0.067126 17049001 8756721 8292279
15 31 1.912012 28 0.068286 18976391 9810934 9165456
16 31 2.250179 31 0.072586 22567114 11425715 11141398
17 31 2.405569 34 0.070752 23813240 11754505 12058734
18 31 2.414295 36 0.067064 23579486 11604039 11975446
19 31 3.101582 38 0.081621 24961602 12301721 12659880
20 31 2.933375 41 0.071546 28412713 13765616 14647096
21 31 3.076778 43 0.071553 29762336 14377896 15384439
22 31 3.321448 46 0.072205 32185132 15200869 16984262
23 31 3.319413 49 0.067743 32217845 14813140 17404704
24 31 3.847328 52 0.073987 38122044 17156388 20965655
25 31 3.639083 55 0.066165 35888477 15792764 20095712
26 31 3.969368 58 0.068437 39540565 17052296 22488268
27 31 4.073721 61 0.066782 40766669 17230681 23535987
28 31 8.038502 65 0.123669 45811843 18600864 27210978
29 31 4.764660 67 0.071114 46392164 18534370 27857793
30 31 5.336026 69 0.077334 47723811 18790402 28933408
31 31 5.151919 71 0.072562 51222262 19800636 31421625
81.0564
