q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.054015 1 0.054015 639938 639937 0
1 31 0.051606 1 0.051606 639938 639937 0
2 31 0.113513 2 0.056756 1280398 927825 352572
3 31 0.177590 3 0.059197 1923808 1351707 572100
4 31 0.306331 5 0.061266 3210578 1955254 1255323
5 31 0.376867 6 0.062811 3851659 2507400 1344258
6 31 0.507924 8 0.063490 5133603 3111509 2022093
7 31 0.682739 10 0.068274 6776959 3987778 2789180
8 31 0.829944 12 0.069162 8199959 4722040 3477918
9 31 0.934288 14 0.066735 9082945 5132648 3950296
10 31 1.078157 16 0.067385 10333980 5742213 4591766
11 31 1.222852 18 0.067936 11695425 6421448 5273976
12 31 1.414976 21 0.067380 14069808 7450007 6619800
13 31 1.512115 23 0.065744 14901175 7887491 7013683
14 31 1.717371 26 0.066053 16963495 8683054 8280440
15 31 1.875333 28 0.066976 18523221 9478055 9045165
16 31 2.172349 31 0.070076 21618844 10816259 10802584
17 31 2.357800 34 0.069347 23334508 11458097 11876410
18 31 2.476132 36 0.068781 24215857 11941699 12274157
19 31 2.560109 38 0.067371 24775769 12208434 12567334
20 31 2.809946 41 0.068535 27222468 13083985 14138482
21 31 2.982912 43 0.069370 28780817 13839547 14941269
22 31 3.270887 46 0.071106 31682449 14943885 16738563
23 31 3.473720 49 0.070892 33825871 15620261 18205609
24 31 10.058281 52 0.193428 38342542 17405896 20936645
25 31 6.116952 55 0.111217 36935535 16268892 20666642
26 31 3.953861 58 0.068170 39212000 16920857 22291142
27 31 3.997174 61 0.065527 39636336 16620202 23016133
28 31 4.577338 65 0.070421 44063499 17802751 26260747
29 31 4.508021 67 0.067284 44023001 17513826 26509174
30 31 4.538540 69 0.065776 44896165 17564130 27332034
31 31 4.736264 71 0.066708 47104297 18118019 28986277
77.4461
