q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.112410 1 0.112410 639938 639937 0
1 31 0.098284 1 0.098284 639938 639937 0
2 31 0.201390 2 0.100695 1280611 928810 351800
3 31 0.295966 3 0.098655 1923706 1348310 575395
4 31 0.431053 5 0.086211 3203283 1953712 1249570
5 31 0.464616 6 0.077436 3852455 2497120 1355334
6 31 0.554590 8 0.069324 5139637 3112674 2026962
7 31 0.651046 10 0.065105 6425819 3756985 2668833
8 31 0.782339 12 0.065195 7733999 4391190 3342808
9 31 0.938998 14 0.067071 9040882 5103266 3937615
10 31 1.070950 16 0.066934 10289626 5703692 4585933
11 31 1.246444 18 0.069247 11933725 6617343 5316381
12 31 1.436422 21 0.068401 14305947 7601664 6704282
13 31 1.503816 23 0.065383 14820749 7797248 7023500
14 31 1.702507 26 0.065481 16871729 8636689 8235039
15 31 1.849861 28 0.066066 18283207 9383136 8900070
16 31 2.142353 31 0.069108 21419948 10741120 10678827
17 31 3.217143 34 0.094622 24517212 12158902 12358309
18 31 2.451636 36 0.068101 24010864 11862602 12148261
19 31 2.729024 38 0.071816 26581761 13128124 13453636
20 31 2.946008 41 0.071854 28765271 13933246 14832024
21 31 3.004175 43 0.069865 29000252 13960451 15039800
22 31 3.099666 46 0.067384 29912204 14043072 15869131
23 31 3.305616 49 0.067462 32050151 14729766 17320384
24 31 4.742631 52 0.091204 38463079 17370920 21092158
25 31 3.719304 55 0.067624 35794796 15752425 20042370
26 31 4.003127 58 0.069019 39258139 16967283 22290855
27 31 4.146849 61 0.067981 40922898 17276789 23646108
28 31 4.498621 65 0.069210 43403739 17630557 25773181
29 31 4.772813 67 0.071236 46646646 18720015 27926630
30 31 4.716889 69 0.068361 46969526 18453240 28516285
31 31 4.812757 71 0.067785 47981959 18480214 29501744
71.6495
