q q_max q_time hits q_time/hits k 
1 31 63.070633 1 63.070633 639999937
2 31 133.817846 2 66.908923 1280008897
3 31 217.370857 3 72.456952 1920539969
4 31 377.869089 5 75.573818 3201681217
5 31 436.877397 6 72.812900 3841186305
6 31 608.844633 8 76.105579 5122530497
7 31 675.661156 9 75.073462 5763368065
8 31 830.833401 11 75.530309 7049945473
9 31 1014.087661 13 78.006743 8340659777
10 31 1107.173033 14 79.083788 8968644993
11 31 1309.854633 16 81.865915 10245554945
12 31 1472.086904 18 81.782606 11539897985
13 31 1576.647678 19 82.981457 12172373057
14 31 1758.105586 21 83.719314 13457429121
15 31 1908.145102 23 82.962831 14773288065
16 31 2102.177787 25 84.087111 16105958849
17 31 2364.457442 26 90.940671 16653116161
18 31 2524.078097 28 90.145646 18006535873
19 31 2607.943184 30 86.931439 19218125441
20 31 2995.890032 32 93.621563 20658859201
21 31 3232.702446 34 95.079484 21899622017
22 31 3212.806068 36 89.244613 23104250497
23 31 3381.967981 38 88.999157 24420782593
24 31 3599.210933 40 89.980273 25625453185
25 31 3866.589354 42 92.061651 26919279425
26 31 4123.692394 44 93.720282 28246435457
27 31 4181.187059 46 90.895371 29473227265
28 31 4591.698760 48 95.660391 30815758401
29 31 4684.793419 50 93.695868 32031774273
30 31 4923.869246 52 94.689793 33410357121
31 31 5043.805284 53 95.166137 34090318977
70927.3
