q q_max q_time hits q_time/hits k accept_counter reject_counter
0 63 0.382058 1 0.382058 1279874 1279873 0
1 63 0.380936 1 0.380936 1279874 1279873 0
2 63 0.781901 2 0.390950 2560531 1860142 700388
3 63 1.579983 4 0.394996 5126783 3037569 2089213
4 63 2.863495 7 0.409071 9207850 4822242 4385607
5 63 4.211244 10 0.421124 13457845 6663189 6794655
6 63 5.439660 13 0.418435 17307152 8257992 9049159
7 63 6.897570 16 0.431098 21276620 10085983 11190636
8 63 7.835692 19 0.412405 24742002 11657480 13084521
9 63 9.153002 22 0.416046 28725496 13591356 15134139
10 63 11.049654 26 0.424987 34732095 15972213 18759881
11 63 14.437901 30 0.481263 43559508 19694447 23865060
12 63 18.393373 34 0.540982 54603080 24395209 30207870
13 63 17.525551 37 0.473664 54956957 24897419 30059537
14 63 25.282371 42 0.601961 73294035 32322679 40971355
15 63 21.331939 47 0.453871 67024695 28611098 38413596
16 63 23.993694 51 0.470465 73533739 31425079 42108659
17 63 24.715802 56 0.441354 78973213 33063803 45909409
18 63 27.238550 60 0.453976 84731579 35485075 49246503
19 63 30.570384 64 0.477662 90141314 37594555 52546758
20 63 31.156702 69 0.451546 96430378 39537501 56892876
21 63 35.713822 74 0.482619 108232681 44123014 64109666
22 63 41.679321 80 0.520992 129048902 51515664 77533237
23 63 36.393636 85 0.428160 116007004 45871624 70135379
24 63 38.943676 91 0.427952 126421191 49002706 77418484
25 63 56.716531 97 0.584707 147539059 56541971 90997087
26 63 51.009844 103 0.495241 167903415 63914459 103988955
27 63 62.365168 108 0.577455 147111330 55308343 91802986
28 63 53.449008 115 0.464774 170966084 63611766 107354317
29 63 49.763348 121 0.411267 165863259 60196393 105666865
30 63 57.135471 126 0.453456 192022617 70013686 122008930
31 63 57.576770 131 0.439517 193506113 70275972 123230140
32 63 60.698419 137 0.443054 204733887 73462691 131271195
33 63 56.778452 140 0.405560 191427436 69213913 122213522
34 63 65.841994 143 0.460434 223801606 81590718 142210887
35 63 62.267576 145 0.429432 210482958 77438366 133044591
36 63 61.892135 146 0.423919 208720449 77872805 130847643
37 63 62.946730 147 0.428209 212577168 80399398 132177769
38 63 62.508915 148 0.422358 210800416 80835170 129965245
39 63 66.289341 150 0.441929 225134107 86449772 138684334
40 63 76.963954 152 0.506342 261985101 101172435 160812665
41 63 67.746189 154 0.439910 230686673 89483995 141202677
42 63 67.202493 156 0.430785 228420139 88899330 139520808
43 63 72.342774 159 0.454986 247452011 95742542 151709468
44 63 72.333209 162 0.446501 246267681 95355286 150912394
45 63 74.084327 165 0.448996 245615231 94959641 150655589
46 63 102.696035 167 0.614946 338708438 130956894 207751543
47 63 128.132221 169 0.758179 429174924 165230348 263944575
48 63 98.010145 171 0.573159 301095401 116060344 185035056
49 63 94.422140 173 0.545793 306836683 118995093 187841589
50 63 83.123745 175 0.474993 273714279 105745871 167968407
51 63 78.485227 177 0.443419 267081064 102872993 164208070
52 63 108.470800 178 0.609387 354624171 137630367 216993803
53 63 85.081204 179 0.475314 297962938 115165681 182797256
54 63 94.881377 180 0.527119 282678527 109677650 173000876
55 63 84.188724 182 0.462575 295920627 114109182 181811444
56 63 90.263474 184 0.490562 276769594 106521479 170248114
57 63 84.315506 186 0.453309 275421731 105261798 170159932
58 63 91.234728 188 0.485291 292487500 111919324 180568175
59 63 79.996394 191 0.418829 276996155 104278111 172718043
60 63 88.233704 194 0.454813 301989108 112911149 189077958
61 63 88.764713 197 0.450582 295474712 109311566 186163145
62 63 91.100591 199 0.457792 323879141 118549537 205329603
63 63 81.690177 200 0.408451 291823571 106316395 185507175
3408.96
