run: 86 | L: 4 | REP: 10000 | skip: 128 | Dim: 3 | LATTICE: HCP
Thu Jan 28 01:08:04 2021 | q: 0/63 | q_time: 0.376138s | E: 1 | q_time/E: 0.376138s | shuffle time: 0.000000s
Thu Jan 28 01:08:04 2021 | q: 1/63 | q_time: 0.374123s | E: 1 | q_time/E: 0.374123s | shuffle time: 0.000255s
Thu Jan 28 01:08:05 2021 | q: 2/63 | q_time: 0.768857s | E: 2 | q_time/E: 0.384429s | shuffle time: 0.000269s
Thu Jan 28 01:08:06 2021 | q: 3/63 | q_time: 1.552654s | E: 4 | q_time/E: 0.388163s | shuffle time: 0.000268s
Thu Jan 28 01:08:09 2021 | q: 4/63 | q_time: 2.745318s | E: 7 | q_time/E: 0.392188s | shuffle time: 0.000273s
Thu Jan 28 01:08:13 2021 | q: 5/63 | q_time: 3.978862s | E: 10 | q_time/E: 0.397886s | shuffle time: 0.000273s
Thu Jan 28 01:08:18 2021 | q: 6/63 | q_time: 5.204694s | E: 13 | q_time/E: 0.400361s | shuffle time: 0.000276s
Thu Jan 28 01:08:25 2021 | q: 7/63 | q_time: 6.360852s | E: 16 | q_time/E: 0.397553s | shuffle time: 0.000273s
Thu Jan 28 01:08:32 2021 | q: 8/63 | q_time: 7.645701s | E: 19 | q_time/E: 0.402405s | shuffle time: 0.000272s
Thu Jan 28 01:08:41 2021 | q: 9/63 | q_time: 8.997248s | E: 22 | q_time/E: 0.408966s | shuffle time: 0.000275s
Thu Jan 28 01:08:52 2021 | q: 10/63 | q_time: 10.636078s | E: 26 | q_time/E: 0.409080s | shuffle time: 0.000279s
Thu Jan 28 01:09:07 2021 | q: 11/63 | q_time: 14.748570s | E: 30 | q_time/E: 0.491619s | shuffle time: 0.000276s
Thu Jan 28 01:09:22 2021 | q: 12/63 | q_time: 15.198268s | E: 34 | q_time/E: 0.447008s | shuffle time: 0.000279s
Thu Jan 28 01:09:37 2021 | q: 13/63 | q_time: 15.219669s | E: 37 | q_time/E: 0.411342s | shuffle time: 0.000276s
Thu Jan 28 01:09:56 2021 | q: 14/63 | q_time: 18.888917s | E: 42 | q_time/E: 0.449736s | shuffle time: 0.000279s
Thu Jan 28 01:10:18 2021 | q: 15/63 | q_time: 22.229988s | E: 47 | q_time/E: 0.472978s | shuffle time: 0.000275s
Thu Jan 28 01:10:42 2021 | q: 16/63 | q_time: 23.299770s | E: 51 | q_time/E: 0.456858s | shuffle time: 0.000271s
Thu Jan 28 01:11:06 2021 | q: 17/63 | q_time: 23.931554s | E: 56 | q_time/E: 0.427349s | shuffle time: 0.000276s
Thu Jan 28 01:11:31 2021 | q: 18/63 | q_time: 25.299502s | E: 60 | q_time/E: 0.421658s | shuffle time: 0.000277s
Thu Jan 28 01:12:00 2021 | q: 19/63 | q_time: 29.267805s | E: 64 | q_time/E: 0.457309s | shuffle time: 0.000277s
Thu Jan 28 01:12:32 2021 | q: 20/63 | q_time: 31.435659s | E: 69 | q_time/E: 0.455589s | shuffle time: 0.000279s
Thu Jan 28 01:13:04 2021 | q: 21/63 | q_time: 32.767046s | E: 74 | q_time/E: 0.442798s | shuffle time: 0.000277s
Thu Jan 28 01:13:45 2021 | q: 22/63 | q_time: 40.274824s | E: 80 | q_time/E: 0.503435s | shuffle time: 0.000278s
Thu Jan 28 01:14:21 2021 | q: 23/63 | q_time: 36.039136s | E: 85 | q_time/E: 0.423990s | shuffle time: 0.000275s
Thu Jan 28 01:14:59 2021 | q: 24/63 | q_time: 38.643600s | E: 91 | q_time/E: 0.424655s | shuffle time: 0.000273s
Thu Jan 28 01:15:41 2021 | q: 25/63 | q_time: 41.856530s | E: 97 | q_time/E: 0.431511s | shuffle time: 0.000275s
Thu Jan 28 01:16:26 2021 | q: 26/63 | q_time: 44.596182s | E: 103 | q_time/E: 0.432973s | shuffle time: 0.000274s
Thu Jan 28 01:17:11 2021 | q: 27/63 | q_time: 45.048286s | E: 108 | q_time/E: 0.417114s | shuffle time: 0.000272s
Thu Jan 28 01:18:02 2021 | q: 28/63 | q_time: 51.423166s | E: 115 | q_time/E: 0.447158s | shuffle time: 0.000273s
Thu Jan 28 01:18:54 2021 | q: 29/63 | q_time: 51.527642s | E: 121 | q_time/E: 0.425848s | shuffle time: 0.000271s
Thu Jan 28 01:19:45 2021 | q: 30/63 | q_time: 50.818334s | E: 126 | q_time/E: 0.403320s | shuffle time: 0.000269s
Thu Jan 28 01:20:39 2021 | q: 31/63 | q_time: 54.054779s | E: 131 | q_time/E: 0.412632s | shuffle time: 0.000270s
Thu Jan 28 01:21:44 2021 | q: 32/63 | q_time: 65.872469s | E: 137 | q_time/E: 0.480821s | shuffle time: 0.000269s
Thu Jan 28 01:22:46 2021 | q: 33/63 | q_time: 61.976653s | E: 140 | q_time/E: 0.442690s | shuffle time: 0.000273s
Thu Jan 28 01:23:50 2021 | q: 34/63 | q_time: 63.431894s | E: 143 | q_time/E: 0.443580s | shuffle time: 0.000273s
Thu Jan 28 01:24:51 2021 | q: 35/63 | q_time: 61.262829s | E: 145 | q_time/E: 0.422502s | shuffle time: 0.000274s
Thu Jan 28 01:25:55 2021 | q: 36/63 | q_time: 64.245631s | E: 146 | q_time/E: 0.440039s | shuffle time: 0.000269s
Thu Jan 28 01:26:59 2021 | q: 37/63 | q_time: 63.545381s | E: 147 | q_time/E: 0.432282s | shuffle time: 0.000271s
Thu Jan 28 01:28:00 2021 | q: 38/63 | q_time: 60.761659s | E: 148 | q_time/E: 0.410552s | shuffle time: 0.000268s
Thu Jan 28 01:29:03 2021 | q: 39/63 | q_time: 63.126329s | E: 150 | q_time/E: 0.420842s | shuffle time: 0.000272s
Thu Jan 28 01:30:26 2021 | q: 40/63 | q_time: 82.771082s | E: 152 | q_time/E: 0.544547s | shuffle time: 0.000272s
Thu Jan 28 01:31:28 2021 | q: 41/63 | q_time: 62.882127s | E: 154 | q_time/E: 0.408326s | shuffle time: 0.000275s
Thu Jan 28 01:32:33 2021 | q: 42/63 | q_time: 64.971591s | E: 156 | q_time/E: 0.416485s | shuffle time: 0.000272s
Thu Jan 28 01:33:42 2021 | q: 43/63 | q_time: 68.180418s | E: 159 | q_time/E: 0.428808s | shuffle time: 0.000272s
Thu Jan 28 01:35:03 2021 | q: 44/63 | q_time: 81.207351s | E: 162 | q_time/E: 0.501280s | shuffle time: 0.000271s
Thu Jan 28 01:36:14 2021 | q: 45/63 | q_time: 71.549990s | E: 165 | q_time/E: 0.433636s | shuffle time: 0.000268s
Thu Jan 28 01:37:25 2021 | q: 46/63 | q_time: 70.247940s | E: 167 | q_time/E: 0.420646s | shuffle time: 0.000272s
Thu Jan 28 01:38:37 2021 | q: 47/63 | q_time: 72.492155s | E: 169 | q_time/E: 0.428948s | shuffle time: 0.000270s
Thu Jan 28 01:39:52 2021 | q: 48/63 | q_time: 74.426644s | E: 171 | q_time/E: 0.435244s | shuffle time: 0.000272s
Thu Jan 28 01:41:15 2021 | q: 49/63 | q_time: 83.755051s | E: 173 | q_time/E: 0.484133s | shuffle time: 0.000270s
Thu Jan 28 01:42:27 2021 | q: 50/63 | q_time: 71.349377s | E: 175 | q_time/E: 0.407711s | shuffle time: 0.000269s
Thu Jan 28 01:43:43 2021 | q: 51/63 | q_time: 76.742977s | E: 177 | q_time/E: 0.433576s | shuffle time: 0.000268s
Thu Jan 28 01:44:56 2021 | q: 52/63 | q_time: 72.203017s | E: 178 | q_time/E: 0.405635s | shuffle time: 0.000265s
Thu Jan 28 01:46:18 2021 | q: 53/63 | q_time: 81.996899s | E: 179 | q_time/E: 0.458083s | shuffle time: 0.000268s
Thu Jan 28 01:47:33 2021 | q: 54/63 | q_time: 75.490547s | E: 180 | q_time/E: 0.419392s | shuffle time: 0.000263s
Thu Jan 28 01:48:53 2021 | q: 55/63 | q_time: 79.887114s | E: 182 | q_time/E: 0.438940s | shuffle time: 0.000261s
Thu Jan 28 01:50:27 2021 | q: 56/63 | q_time: 94.311197s | E: 184 | q_time/E: 0.512561s | shuffle time: 0.000259s
