q q_max q_time hits q_time/hits k accept_counter reject_counter
0 63 0.379084 1 0.379084 1279874 1279873 0
1 63 0.379422 1 0.379422 1279874 1279873 0
2 63 0.772717 2 0.386358 2560259 1863612 696646
3 63 1.561144 4 0.390286 5127389 3050077 2077311
4 63 2.760589 7 0.394370 8973415 4660097 4313317
5 63 4.102015 10 0.410201 13258847 6578939 6679907
6 63 5.346005 13 0.411231 17213436 8224638 8988797
7 63 6.816330 16 0.426021 21925094 10442302 11482791
8 63 7.723063 19 0.406477 24697223 11595813 13101409
9 63 9.502064 22 0.431912 29608736 14059988 15548747
10 63 12.090472 26 0.465018 38660454 17820997 20839456
11 63 16.855155 30 0.561839 54076728 24540575 29536152
12 63 19.617193 34 0.576976 63098434 28338268 34760165
13 63 17.382811 37 0.469806 55583827 25026236 30557590
14 63 18.124730 42 0.431541 58019670 25292432 32727237
15 63 21.937240 47 0.466750 70093660 29902402 40191257
16 63 23.047238 51 0.451907 73089673 31128544 41961128
17 63 23.955014 56 0.427768 77762024 32418834 45343189
18 63 26.296292 60 0.438272 85560939 35736043 49824895
19 63 30.156168 64 0.471190 97208331 40710324 56498006
20 63 30.563258 69 0.442946 98414817 40496769 57918047
21 63 32.864410 74 0.444114 106708262 43340839 63367422
22 63 39.201088 80 0.490014 126872056 50874809 75997246
23 63 36.374488 85 0.427935 119046452 47183108 71863343
24 63 38.632318 91 0.424531 125465477 48655696 76809780
25 63 44.659652 97 0.460409 147733721 57161271 90572449
26 63 52.867027 103 0.513272 176759501 67166062 109593438
27 63 46.513017 108 0.430676 155131088 58611482 96519605
28 63 48.242898 115 0.419503 160536742 59094807 101441934
29 63 51.183083 121 0.423001 172691138 63105976 109585161
30 63 54.367280 126 0.431486 184421051 67021708 117399342
31 63 54.230744 131 0.413975 184084423 66720876 117363546
32 63 63.108752 137 0.460648 215713681 77092438 138621242
33 63 62.237441 140 0.444553 212977314 77275636 135701677
34 63 62.485257 143 0.436960 214187540 78153812 136033727
35 63 60.937998 145 0.420262 208588641 76555087 132033553
36 63 62.611226 146 0.428844 214617475 79731711 134885763
37 63 60.232915 147 0.409748 206288589 77375368 128913220
38 63 64.242708 148 0.434072 217504818 83091109 134413708
39 63 64.048008 150 0.426987 218575748 83544786 135030961
40 63 69.499345 152 0.457233 238862460 91889747 146972712
41 63 64.390921 154 0.418123 218503728 84255330 134248397
42 63 73.605098 156 0.471828 254221491 98434142 155787348
43 63 66.808211 159 0.420177 230190020 89187736 141002283
44 63 68.946740 162 0.425597 238927065 92069948 146857116
45 63 68.152975 165 0.413048 236372683 90516275 145856407
46 63 69.737412 167 0.417589 241753019 92941550 148811468
47 63 77.164216 169 0.456593 269685687 103749271 165936415
48 63 73.628717 171 0.430577 254955177 98484723 156470453
49 63 82.807529 173 0.478656 289377479 112159932 177217546
50 63 84.075315 175 0.480430 295612124 114625974 180986149
51 63 81.826836 177 0.462299 287283881 110443633 176840247
52 63 81.175367 178 0.456041 285460128 109998113 175462014
53 63 84.034552 179 0.469467 296500663 114417297 182083365
54 63 84.617034 180 0.470095 298819393 115534894 183284498
55 63 82.592013 182 0.453802 293913692 113539756 180373935
56 63 86.947272 184 0.472540 310047208 119188213 190858994
57 63 83.854354 186 0.450830 299428839 114913890 184514948
58 63 79.969363 188 0.425369 286112377 108812442 177299934
59 63 79.820511 191 0.417908 286401433 108173231 178228201
60 63 80.034004 194 0.412546 287395849 106989180 180406668
61 63 82.478737 197 0.418674 297976520 110203238 187773281
62 63 83.347272 199 0.418831 302135770 110912140 191223629
63 63 90.872618 200 0.454363 329800755 120848602 208952152
3158.8
