run: 8 | L: 4 | REP: 10000 | skip: 128 | Dim: 3 | LATTICE: HCP
Mon Jan 25 02:13:14 2021 | q: 0/63 | q_time: 0.418448s | E: 1 | q_time/E: 0.418448s | shuffle time: 0.000000s
Mon Jan 25 02:13:14 2021 | q: 1/63 | q_time: 0.382759s | E: 1 | q_time/E: 0.382759s | shuffle time: 0.000296s
Mon Jan 25 02:13:15 2021 | q: 2/63 | q_time: 0.785964s | E: 2 | q_time/E: 0.392982s | shuffle time: 0.000275s
Mon Jan 25 02:13:16 2021 | q: 3/63 | q_time: 1.583906s | E: 4 | q_time/E: 0.395977s | shuffle time: 0.000274s
Mon Jan 25 02:13:19 2021 | q: 4/63 | q_time: 2.840235s | E: 7 | q_time/E: 0.405748s | shuffle time: 0.000281s
Mon Jan 25 02:13:23 2021 | q: 5/63 | q_time: 4.032053s | E: 10 | q_time/E: 0.403205s | shuffle time: 0.000284s
Mon Jan 25 02:13:29 2021 | q: 6/63 | q_time: 5.496084s | E: 13 | q_time/E: 0.422776s | shuffle time: 0.000285s
Mon Jan 25 02:13:35 2021 | q: 7/63 | q_time: 6.640733s | E: 16 | q_time/E: 0.415046s | shuffle time: 0.000280s
Mon Jan 25 02:13:43 2021 | q: 8/63 | q_time: 8.065541s | E: 19 | q_time/E: 0.424502s | shuffle time: 0.000284s
Mon Jan 25 02:13:53 2021 | q: 9/63 | q_time: 9.284592s | E: 22 | q_time/E: 0.422027s | shuffle time: 0.000284s
Mon Jan 25 02:14:04 2021 | q: 10/63 | q_time: 11.030749s | E: 26 | q_time/E: 0.424260s | shuffle time: 0.000286s
Mon Jan 25 02:14:19 2021 | q: 11/63 | q_time: 15.790922s | E: 30 | q_time/E: 0.526364s | shuffle time: 0.000286s
Mon Jan 25 02:14:36 2021 | q: 12/63 | q_time: 16.565080s | E: 34 | q_time/E: 0.487208s | shuffle time: 0.000315s
Mon Jan 25 02:14:52 2021 | q: 13/63 | q_time: 16.168675s | E: 37 | q_time/E: 0.436991s | shuffle time: 0.000287s
Mon Jan 25 02:15:16 2021 | q: 14/63 | q_time: 24.084752s | E: 42 | q_time/E: 0.573446s | shuffle time: 0.000284s
Mon Jan 25 02:15:39 2021 | q: 15/63 | q_time: 23.169207s | E: 47 | q_time/E: 0.492962s | shuffle time: 0.000389s
Mon Jan 25 02:16:05 2021 | q: 16/63 | q_time: 25.268940s | E: 51 | q_time/E: 0.495469s | shuffle time: 0.000279s
Mon Jan 25 02:16:31 2021 | q: 17/63 | q_time: 26.414793s | E: 56 | q_time/E: 0.471693s | shuffle time: 0.000283s
Mon Jan 25 02:17:03 2021 | q: 18/63 | q_time: 32.058513s | E: 60 | q_time/E: 0.534309s | shuffle time: 0.000282s
Mon Jan 25 02:17:35 2021 | q: 19/63 | q_time: 31.413011s | E: 64 | q_time/E: 0.490828s | shuffle time: 0.000312s
Mon Jan 25 02:18:07 2021 | q: 20/63 | q_time: 32.857881s | E: 69 | q_time/E: 0.476201s | shuffle time: 0.000355s
Mon Jan 25 02:18:40 2021 | q: 21/63 | q_time: 32.806939s | E: 74 | q_time/E: 0.443337s | shuffle time: 0.000286s
Mon Jan 25 02:19:29 2021 | q: 22/63 | q_time: 48.558030s | E: 80 | q_time/E: 0.606975s | shuffle time: 0.000286s
Mon Jan 25 02:20:10 2021 | q: 23/63 | q_time: 41.696519s | E: 85 | q_time/E: 0.490547s | shuffle time: 0.000285s
Mon Jan 25 02:20:54 2021 | q: 24/63 | q_time: 43.005917s | E: 91 | q_time/E: 0.472592s | shuffle time: 0.000282s
Mon Jan 25 02:21:37 2021 | q: 25/63 | q_time: 43.940167s | E: 97 | q_time/E: 0.452991s | shuffle time: 0.000281s
Mon Jan 25 02:22:22 2021 | q: 26/63 | q_time: 44.565656s | E: 103 | q_time/E: 0.432676s | shuffle time: 0.000276s
Mon Jan 25 02:23:11 2021 | q: 27/63 | q_time: 48.915209s | E: 108 | q_time/E: 0.452919s | shuffle time: 0.000276s
Mon Jan 25 02:24:05 2021 | q: 28/63 | q_time: 54.406877s | E: 115 | q_time/E: 0.473103s | shuffle time: 0.000277s
Mon Jan 25 02:24:57 2021 | q: 29/63 | q_time: 51.452693s | E: 121 | q_time/E: 0.425229s | shuffle time: 0.000276s
Mon Jan 25 02:26:09 2021 | q: 30/63 | q_time: 71.864932s | E: 126 | q_time/E: 0.570357s | shuffle time: 0.000273s
Mon Jan 25 02:27:13 2021 | q: 31/63 | q_time: 63.968028s | E: 131 | q_time/E: 0.488306s | shuffle time: 0.000306s
Mon Jan 25 02:28:26 2021 | q: 32/63 | q_time: 73.274090s | E: 137 | q_time/E: 0.534847s | shuffle time: 0.000276s
Mon Jan 25 02:29:32 2021 | q: 33/63 | q_time: 65.618155s | E: 140 | q_time/E: 0.468701s | shuffle time: 0.000280s
Mon Jan 25 02:30:35 2021 | q: 34/63 | q_time: 63.768553s | E: 143 | q_time/E: 0.445934s | shuffle time: 0.000278s
Mon Jan 25 02:31:41 2021 | q: 35/63 | q_time: 65.285908s | E: 145 | q_time/E: 0.450248s | shuffle time: 0.000280s
Mon Jan 25 02:32:46 2021 | q: 36/63 | q_time: 65.001759s | E: 146 | q_time/E: 0.445218s | shuffle time: 0.000278s
Mon Jan 25 02:34:05 2021 | q: 37/63 | q_time: 79.712727s | E: 147 | q_time/E: 0.542263s | shuffle time: 0.000278s
Mon Jan 25 02:35:20 2021 | q: 38/63 | q_time: 74.409515s | E: 148 | q_time/E: 0.502767s | shuffle time: 0.000279s
Mon Jan 25 02:36:22 2021 | q: 39/63 | q_time: 62.385995s | E: 150 | q_time/E: 0.415907s | shuffle time: 0.000280s
Mon Jan 25 02:37:43 2021 | q: 40/63 | q_time: 81.273331s | E: 152 | q_time/E: 0.534693s | shuffle time: 0.000279s
Mon Jan 25 02:39:03 2021 | q: 41/63 | q_time: 79.514546s | E: 154 | q_time/E: 0.516328s | shuffle time: 0.000282s
Mon Jan 25 02:40:24 2021 | q: 42/63 | q_time: 81.097437s | E: 156 | q_time/E: 0.519855s | shuffle time: 0.000282s
Mon Jan 25 02:41:34 2021 | q: 43/63 | q_time: 70.265241s | E: 159 | q_time/E: 0.441920s | shuffle time: 0.000283s
Mon Jan 25 02:42:53 2021 | q: 44/63 | q_time: 78.978761s | E: 162 | q_time/E: 0.487523s | shuffle time: 0.000277s
Mon Jan 25 02:44:05 2021 | q: 45/63 | q_time: 72.249427s | E: 165 | q_time/E: 0.437875s | shuffle time: 0.000280s
Mon Jan 25 02:45:20 2021 | q: 46/63 | q_time: 74.183461s | E: 167 | q_time/E: 0.444212s | shuffle time: 0.000277s
Mon Jan 25 02:46:57 2021 | q: 47/63 | q_time: 97.353731s | E: 169 | q_time/E: 0.576058s | shuffle time: 0.000279s
Mon Jan 25 02:48:29 2021 | q: 48/63 | q_time: 91.823496s | E: 171 | q_time/E: 0.536980s | shuffle time: 0.000279s
Mon Jan 25 02:49:51 2021 | q: 49/63 | q_time: 82.056171s | E: 173 | q_time/E: 0.474313s | shuffle time: 0.000275s
Mon Jan 25 02:51:12 2021 | q: 50/63 | q_time: 80.784335s | E: 175 | q_time/E: 0.461625s | shuffle time: 0.000277s
Mon Jan 25 02:52:30 2021 | q: 51/63 | q_time: 78.038937s | E: 177 | q_time/E: 0.440898s | shuffle time: 0.000280s
Mon Jan 25 02:54:01 2021 | q: 52/63 | q_time: 91.429941s | E: 178 | q_time/E: 0.513651s | shuffle time: 0.000275s
Mon Jan 25 02:55:41 2021 | q: 53/63 | q_time: 100.111050s | E: 179 | q_time/E: 0.559280s | shuffle time: 0.000272s
Mon Jan 25 02:57:08 2021 | q: 54/63 | q_time: 87.256018s | E: 180 | q_time/E: 0.484756s | shuffle time: 0.000268s
Mon Jan 25 02:58:36 2021 | q: 55/63 | q_time: 87.637885s | E: 182 | q_time/E: 0.481527s | shuffle time: 0.000270s
Mon Jan 25 03:00:43 2021 | q: 56/63 | q_time: 127.324269s | E: 184 | q_time/E: 0.691980s | shuffle time: 0.000548s
Mon Jan 25 03:02:25 2021 | q: 57/63 | q_time: 101.573449s | E: 186 | q_time/E: 0.546094s | shuffle time: 0.000270s
Mon Jan 25 03:04:03 2021 | q: 58/63 | q_time: 97.788934s | E: 188 | q_time/E: 0.520154s | shuffle time: 0.000269s
Mon Jan 25 03:05:32 2021 | q: 59/63 | q_time: 89.082175s | E: 191 | q_time/E: 0.466399s | shuffle time: 0.000335s
Mon Jan 25 03:07:11 2021 | q: 60/63 | q_time: 99.462381s | E: 194 | q_time/E: 0.512693s | shuffle time: 0.000265s
Mon Jan 25 03:08:59 2021 | q: 61/63 | q_time: 107.707830s | E: 197 | q_time/E: 0.546740s | shuffle time: 0.000268s
Mon Jan 25 03:10:57 2021 | q: 62/63 | q_time: 118.124790s | E: 199 | q_time/E: 0.593592s | shuffle time: 0.000265s
Mon Jan 25 03:12:40 2021 | q: 63/63 | q_time: 102.617907s | E: 200 | q_time/E: 0.513090s | shuffle time: 0.000264s
