run: 23 | L: 4 | REP: 10000 | skip: 128 | Dim: 3 | LATTICE: HCP
Mon Jan 25 16:30:15 2021 | q: 0/63 | q_time: 0.383356s | E: 1 | q_time/E: 0.383356s | shuffle time: 0.000000s
Mon Jan 25 16:30:16 2021 | q: 1/63 | q_time: 0.380620s | E: 1 | q_time/E: 0.380620s | shuffle time: 0.000259s
Mon Jan 25 16:30:17 2021 | q: 2/63 | q_time: 0.781624s | E: 2 | q_time/E: 0.390812s | shuffle time: 0.000274s
Mon Jan 25 16:30:18 2021 | q: 3/63 | q_time: 1.580895s | E: 4 | q_time/E: 0.395224s | shuffle time: 0.000269s
Mon Jan 25 16:30:21 2021 | q: 4/63 | q_time: 2.830418s | E: 7 | q_time/E: 0.404345s | shuffle time: 0.000275s
Mon Jan 25 16:30:25 2021 | q: 5/63 | q_time: 4.089349s | E: 10 | q_time/E: 0.408935s | shuffle time: 0.000279s
Mon Jan 25 16:30:31 2021 | q: 6/63 | q_time: 5.667085s | E: 13 | q_time/E: 0.435930s | shuffle time: 0.000281s
Mon Jan 25 16:30:37 2021 | q: 7/63 | q_time: 6.483089s | E: 16 | q_time/E: 0.405193s | shuffle time: 0.000281s
Mon Jan 25 16:30:45 2021 | q: 8/63 | q_time: 7.891216s | E: 19 | q_time/E: 0.415327s | shuffle time: 0.000279s
Mon Jan 25 16:30:54 2021 | q: 9/63 | q_time: 9.018438s | E: 22 | q_time/E: 0.409929s | shuffle time: 0.000277s
Mon Jan 25 16:31:05 2021 | q: 10/63 | q_time: 10.912938s | E: 26 | q_time/E: 0.419728s | shuffle time: 0.000281s
Mon Jan 25 16:31:19 2021 | q: 11/63 | q_time: 13.603577s | E: 30 | q_time/E: 0.453453s | shuffle time: 0.000282s
Mon Jan 25 16:31:33 2021 | q: 12/63 | q_time: 14.576453s | E: 34 | q_time/E: 0.428719s | shuffle time: 0.000282s
Mon Jan 25 16:31:51 2021 | q: 13/63 | q_time: 18.023433s | E: 37 | q_time/E: 0.487120s | shuffle time: 0.000282s
Mon Jan 25 16:32:11 2021 | q: 14/63 | q_time: 19.890267s | E: 42 | q_time/E: 0.473578s | shuffle time: 0.000281s
Mon Jan 25 16:32:34 2021 | q: 15/63 | q_time: 22.908431s | E: 47 | q_time/E: 0.487413s | shuffle time: 0.000278s
Mon Jan 25 16:32:56 2021 | q: 16/63 | q_time: 22.473323s | E: 51 | q_time/E: 0.440653s | shuffle time: 0.000281s
Mon Jan 25 16:33:25 2021 | q: 17/63 | q_time: 28.326806s | E: 56 | q_time/E: 0.505836s | shuffle time: 0.000281s
Mon Jan 25 16:33:51 2021 | q: 18/63 | q_time: 26.205531s | E: 60 | q_time/E: 0.436759s | shuffle time: 0.000284s
Mon Jan 25 16:34:20 2021 | q: 19/63 | q_time: 29.055809s | E: 64 | q_time/E: 0.453997s | shuffle time: 0.000283s
Mon Jan 25 16:34:53 2021 | q: 20/63 | q_time: 32.897686s | E: 69 | q_time/E: 0.476778s | shuffle time: 0.000282s
Mon Jan 25 16:35:26 2021 | q: 21/63 | q_time: 33.114083s | E: 74 | q_time/E: 0.447488s | shuffle time: 0.000282s
Mon Jan 25 16:36:03 2021 | q: 22/63 | q_time: 36.930519s | E: 80 | q_time/E: 0.461631s | shuffle time: 0.000279s
Mon Jan 25 16:36:41 2021 | q: 23/63 | q_time: 38.326878s | E: 85 | q_time/E: 0.450904s | shuffle time: 0.000281s
Mon Jan 25 16:37:21 2021 | q: 24/63 | q_time: 39.822150s | E: 91 | q_time/E: 0.437606s | shuffle time: 0.000281s
Mon Jan 25 16:38:04 2021 | q: 25/63 | q_time: 43.021871s | E: 97 | q_time/E: 0.443524s | shuffle time: 0.000282s
Mon Jan 25 16:38:54 2021 | q: 26/63 | q_time: 49.813048s | E: 103 | q_time/E: 0.483622s | shuffle time: 0.000279s
Mon Jan 25 16:39:38 2021 | q: 27/63 | q_time: 43.990454s | E: 108 | q_time/E: 0.407319s | shuffle time: 0.000275s
Mon Jan 25 16:40:31 2021 | q: 28/63 | q_time: 53.268251s | E: 115 | q_time/E: 0.463202s | shuffle time: 0.000273s
Mon Jan 25 16:41:27 2021 | q: 29/63 | q_time: 55.554991s | E: 121 | q_time/E: 0.459132s | shuffle time: 0.000275s
