run: 88 | L: 4 | REP: 10000 | skip: 128 | Dim: 3 | LATTICE: HCP
Thu Jan 28 02:52:52 2021 | q: 0/63 | q_time: 0.379796s | E: 1 | q_time/E: 0.379796s | shuffle time: 0.000000s
Thu Jan 28 02:52:52 2021 | q: 1/63 | q_time: 0.376436s | E: 1 | q_time/E: 0.376436s | shuffle time: 0.000256s
Thu Jan 28 02:52:53 2021 | q: 2/63 | q_time: 0.774641s | E: 2 | q_time/E: 0.387320s | shuffle time: 0.000272s
Thu Jan 28 02:52:54 2021 | q: 3/63 | q_time: 1.563550s | E: 4 | q_time/E: 0.390887s | shuffle time: 0.000271s
Thu Jan 28 02:52:57 2021 | q: 4/63 | q_time: 2.764610s | E: 7 | q_time/E: 0.394944s | shuffle time: 0.000278s
Thu Jan 28 02:53:01 2021 | q: 5/63 | q_time: 3.980311s | E: 10 | q_time/E: 0.398031s | shuffle time: 0.000278s
Thu Jan 28 02:53:06 2021 | q: 6/63 | q_time: 5.202742s | E: 13 | q_time/E: 0.400211s | shuffle time: 0.000279s
Thu Jan 28 02:53:13 2021 | q: 7/63 | q_time: 6.571617s | E: 16 | q_time/E: 0.410726s | shuffle time: 0.000275s
Thu Jan 28 02:53:21 2021 | q: 8/63 | q_time: 7.676442s | E: 19 | q_time/E: 0.404023s | shuffle time: 0.000277s
Thu Jan 28 02:53:30 2021 | q: 9/63 | q_time: 8.985419s | E: 22 | q_time/E: 0.408428s | shuffle time: 0.000275s
Thu Jan 28 02:53:40 2021 | q: 10/63 | q_time: 10.629267s | E: 26 | q_time/E: 0.408818s | shuffle time: 0.000280s
Thu Jan 28 02:53:53 2021 | q: 11/63 | q_time: 12.849916s | E: 30 | q_time/E: 0.428331s | shuffle time: 0.000280s
Thu Jan 28 02:54:09 2021 | q: 12/63 | q_time: 15.556426s | E: 34 | q_time/E: 0.457542s | shuffle time: 0.000282s
Thu Jan 28 02:54:24 2021 | q: 13/63 | q_time: 15.479236s | E: 37 | q_time/E: 0.418358s | shuffle time: 0.000283s
Thu Jan 28 02:54:43 2021 | q: 14/63 | q_time: 18.480939s | E: 42 | q_time/E: 0.440022s | shuffle time: 0.000280s
Thu Jan 28 02:55:04 2021 | q: 15/63 | q_time: 21.924442s | E: 47 | q_time/E: 0.466477s | shuffle time: 0.000279s
Thu Jan 28 02:55:28 2021 | q: 16/63 | q_time: 23.367806s | E: 51 | q_time/E: 0.458192s | shuffle time: 0.000280s
Thu Jan 28 02:55:57 2021 | q: 17/63 | q_time: 28.887997s | E: 56 | q_time/E: 0.515857s | shuffle time: 0.000279s
Thu Jan 28 02:56:25 2021 | q: 18/63 | q_time: 28.324611s | E: 60 | q_time/E: 0.472077s | shuffle time: 0.000281s
Thu Jan 28 02:56:53 2021 | q: 19/63 | q_time: 28.241081s | E: 64 | q_time/E: 0.441267s | shuffle time: 0.000279s
Thu Jan 28 02:57:24 2021 | q: 20/63 | q_time: 30.793286s | E: 69 | q_time/E: 0.446280s | shuffle time: 0.000280s
Thu Jan 28 02:57:58 2021 | q: 21/63 | q_time: 33.411412s | E: 74 | q_time/E: 0.451506s | shuffle time: 0.000283s
Thu Jan 28 02:58:34 2021 | q: 22/63 | q_time: 36.829443s | E: 80 | q_time/E: 0.460368s | shuffle time: 0.000288s
Thu Jan 28 02:59:11 2021 | q: 23/63 | q_time: 36.878948s | E: 85 | q_time/E: 0.433870s | shuffle time: 0.000281s
Thu Jan 28 02:59:50 2021 | q: 24/63 | q_time: 38.773122s | E: 91 | q_time/E: 0.426078s | shuffle time: 0.000284s
Thu Jan 28 03:00:33 2021 | q: 25/63 | q_time: 42.739850s | E: 97 | q_time/E: 0.440617s | shuffle time: 0.000283s
Thu Jan 28 03:01:20 2021 | q: 26/63 | q_time: 47.206757s | E: 103 | q_time/E: 0.458318s | shuffle time: 0.000280s
Thu Jan 28 03:02:05 2021 | q: 27/63 | q_time: 45.159266s | E: 108 | q_time/E: 0.418141s | shuffle time: 0.000281s
Thu Jan 28 03:02:55 2021 | q: 28/63 | q_time: 50.196833s | E: 115 | q_time/E: 0.436494s | shuffle time: 0.000278s
Thu Jan 28 03:03:47 2021 | q: 29/63 | q_time: 52.120033s | E: 121 | q_time/E: 0.430744s | shuffle time: 0.000278s
Thu Jan 28 03:04:40 2021 | q: 30/63 | q_time: 52.841544s | E: 126 | q_time/E: 0.419377s | shuffle time: 0.000279s
Thu Jan 28 03:05:37 2021 | q: 31/63 | q_time: 56.566968s | E: 131 | q_time/E: 0.431809s | shuffle time: 0.000277s
Thu Jan 28 03:06:37 2021 | q: 32/63 | q_time: 59.781271s | E: 137 | q_time/E: 0.436360s | shuffle time: 0.000278s
Thu Jan 28 03:07:36 2021 | q: 33/63 | q_time: 59.163212s | E: 140 | q_time/E: 0.422594s | shuffle time: 0.000279s
Thu Jan 28 03:08:36 2021 | q: 34/63 | q_time: 60.113390s | E: 143 | q_time/E: 0.420373s | shuffle time: 0.000279s
Thu Jan 28 03:09:35 2021 | q: 35/63 | q_time: 59.373036s | E: 145 | q_time/E: 0.409469s | shuffle time: 0.000277s
Thu Jan 28 03:10:38 2021 | q: 36/63 | q_time: 62.459428s | E: 146 | q_time/E: 0.427804s | shuffle time: 0.000280s
Thu Jan 28 03:11:45 2021 | q: 37/63 | q_time: 67.005003s | E: 147 | q_time/E: 0.455816s | shuffle time: 0.000276s
Thu Jan 28 03:12:48 2021 | q: 38/63 | q_time: 62.951484s | E: 148 | q_time/E: 0.425348s | shuffle time: 0.000284s
Thu Jan 28 03:13:54 2021 | q: 39/63 | q_time: 66.435827s | E: 150 | q_time/E: 0.442906s | shuffle time: 0.000280s
Thu Jan 28 03:15:05 2021 | q: 40/63 | q_time: 70.762505s | E: 152 | q_time/E: 0.465543s | shuffle time: 0.000277s
Thu Jan 28 03:16:11 2021 | q: 41/63 | q_time: 66.502267s | E: 154 | q_time/E: 0.431833s | shuffle time: 0.000280s
Thu Jan 28 03:17:22 2021 | q: 42/63 | q_time: 70.406651s | E: 156 | q_time/E: 0.451325s | shuffle time: 0.000283s
Thu Jan 28 03:18:31 2021 | q: 43/63 | q_time: 69.307070s | E: 159 | q_time/E: 0.435894s | shuffle time: 0.000278s
Thu Jan 28 03:19:39 2021 | q: 44/63 | q_time: 68.128165s | E: 162 | q_time/E: 0.420544s | shuffle time: 0.000278s
Thu Jan 28 03:21:14 2021 | q: 45/63 | q_time: 95.010398s | E: 165 | q_time/E: 0.575821s | shuffle time: 0.000278s
Thu Jan 28 03:22:33 2021 | q: 46/63 | q_time: 78.881551s | E: 167 | q_time/E: 0.472345s | shuffle time: 0.000283s
Thu Jan 28 03:23:53 2021 | q: 47/63 | q_time: 79.665834s | E: 169 | q_time/E: 0.471395s | shuffle time: 0.000277s
Thu Jan 28 03:25:45 2021 | q: 48/63 | q_time: 112.420796s | E: 171 | q_time/E: 0.657432s | shuffle time: 0.000277s
Thu Jan 28 03:27:13 2021 | q: 49/63 | q_time: 87.689225s | E: 173 | q_time/E: 0.506874s | shuffle time: 0.000280s
Thu Jan 28 03:28:34 2021 | q: 50/63 | q_time: 81.545341s | E: 175 | q_time/E: 0.465973s | shuffle time: 0.000281s
Thu Jan 28 03:29:52 2021 | q: 51/63 | q_time: 77.253874s | E: 177 | q_time/E: 0.436463s | shuffle time: 0.000273s
