q q_max q_time hits q_time/hits k accept_counter reject_counter
0 63 0.375065 1 0.375065 1279874 1279873 0
1 63 0.373475 1 0.373475 1279874 1279873 0
2 63 0.767859 2 0.383929 2560908 1863678 697229
3 63 1.551234 4 0.387809 5128802 3042406 2086395
4 63 2.806426 7 0.400918 9194756 4809491 4385264
5 63 4.007438 10 0.400744 13033884 6441983 6591900
6 63 5.318547 13 0.409119 17250482 8208041 9042440
7 63 6.646847 16 0.415428 21520039 10229752 11290286
8 63 7.595331 19 0.399754 24451685 11473151 12978533
9 63 8.818120 22 0.400824 28296227 13298196 14998030
10 63 10.501414 26 0.403901 33476146 15288038 18188107
11 63 12.307228 30 0.410241 39288490 17579087 21709402
12 63 18.390594 34 0.540900 59439337 26559312 32880024
13 63 15.206778 37 0.410994 48693364 21646080 27047283
14 63 18.358571 42 0.437109 59290996 25814430 33476565
15 63 19.813340 47 0.421560 64230333 27339761 36890571
16 63 21.176609 51 0.415228 68710173 29063234 39646938
17 63 23.861551 56 0.426099 77894145 32441494 45452650
18 63 25.402518 60 0.423375 83198029 34559870 48638158
19 63 28.120074 64 0.439376 91288843 38036531 53252311
20 63 33.796395 69 0.489803 110347931 45401242 64946688
21 63 31.308162 74 0.423083 102226808 41530383 60696424
22 63 37.178136 80 0.464727 122277639 48963999 73313639
23 63 36.481826 85 0.429198 120114857 47703627 72411229
24 63 37.627302 91 0.413487 124532609 48162459 76370149
25 63 40.587034 97 0.418423 134830396 51810897 83019498
26 63 53.223362 103 0.516732 179441457 68470670 110970786
27 63 46.273708 108 0.428460 155141591 58633017 96508573
28 63 52.489572 115 0.456431 178057789 65812459 112245329
29 63 52.337353 121 0.432540 177862096 65117609 112744486
30 63 53.784083 126 0.426858 183893150 66599029 117294120
31 63 54.221796 131 0.413907 185059398 66751413 118307984
32 63 61.013440 137 0.445354 209946973 74888845 135058127
33 63 63.742842 140 0.455306 219823299 79788644 140034654
34 63 61.535210 143 0.430316 212363866 77342085 135021780
35 63 59.884359 145 0.412996 206609600 76065357 130544242
36 63 64.199692 146 0.439724 221902069 83321811 138580257
37 63 60.983965 147 0.414857 210381986 79899158 130482827
38 63 60.826849 148 0.410992 210156404 79870547 130285856
39 63 63.858941 150 0.425726 220962616 85062787 135899828
40 63 69.189431 152 0.455194 240256239 92747149 147509089
41 63 71.841740 154 0.466505 250145574 97615378 152530195
42 63 68.383936 156 0.438359 237827289 92597605 145229683
43 63 69.920366 159 0.439751 244004295 94799458 149204836
44 63 70.575991 162 0.435654 246922167 95009407 151912759
45 63 72.024360 165 0.436511 252807612 97473257 155334354
46 63 81.512537 167 0.488099 287740492 110640597 177099894
47 63 74.920481 169 0.443316 263639494 102292403 161347090
48 63 77.364945 171 0.452427 272075674 105117232 166958441
49 63 73.407253 173 0.424319 258655799 99696370 158959428
50 63 74.201582 175 0.424009 262384376 100805333 161579042
51 63 73.297922 177 0.414113 259604514 99853648 159750865
52 63 79.065465 178 0.444188 281159440 108915402 172244037
53 63 79.059086 179 0.441671 281425528 108650586 172774941
54 63 75.873410 180 0.421519 269860745 104339112 165521632
55 63 83.240870 182 0.457367 298511192 115354135 183157056
56 63 86.054812 184 0.467689 309689878 118599012 191090865
57 63 81.092340 186 0.435980 291964271 111484098 180480172
58 63 75.301546 188 0.400540 271050374 102899041 168151332
59 63 80.832535 191 0.423207 292516872 110030020 182486851
60 63 82.648051 194 0.426021 300010949 111446402 188564546
61 63 89.116865 197 0.452370 325471486 120614142 204857343
62 63 98.019493 199 0.492560 359604100 132182691 227421408
63 63 92.254708 200 0.461274 338547168 123136953 215410214
3135.95
