run: 5 | L: 4 | REP: 10000 | skip: 128 | Dim: 3 | LATTICE: HCP
Sun Jan 24 23:20:28 2021 | q: 0/63 | q_time: 0.382469s | E: 1 | q_time/E: 0.382469s | shuffle time: 0.000000s
Sun Jan 24 23:20:28 2021 | q: 1/63 | q_time: 0.381216s | E: 1 | q_time/E: 0.381216s | shuffle time: 0.000257s
Sun Jan 24 23:20:29 2021 | q: 2/63 | q_time: 0.783639s | E: 2 | q_time/E: 0.391819s | shuffle time: 0.000274s
Sun Jan 24 23:20:31 2021 | q: 3/63 | q_time: 1.581794s | E: 4 | q_time/E: 0.395448s | shuffle time: 0.000268s
Sun Jan 24 23:20:34 2021 | q: 4/63 | q_time: 2.847596s | E: 7 | q_time/E: 0.406799s | shuffle time: 0.000275s
Sun Jan 24 23:20:38 2021 | q: 5/63 | q_time: 4.179708s | E: 10 | q_time/E: 0.417971s | shuffle time: 0.000281s
Sun Jan 24 23:20:43 2021 | q: 6/63 | q_time: 5.254882s | E: 13 | q_time/E: 0.404222s | shuffle time: 0.000278s
Sun Jan 24 23:20:50 2021 | q: 7/63 | q_time: 6.657961s | E: 16 | q_time/E: 0.416123s | shuffle time: 0.000279s
Sun Jan 24 23:20:57 2021 | q: 8/63 | q_time: 7.764681s | E: 19 | q_time/E: 0.408667s | shuffle time: 0.000276s
Sun Jan 24 23:21:07 2021 | q: 9/63 | q_time: 9.113612s | E: 22 | q_time/E: 0.414255s | shuffle time: 0.000277s
Sun Jan 24 23:21:18 2021 | q: 10/63 | q_time: 11.561761s | E: 26 | q_time/E: 0.444683s | shuffle time: 0.000278s
Sun Jan 24 23:21:32 2021 | q: 11/63 | q_time: 13.802021s | E: 30 | q_time/E: 0.460067s | shuffle time: 0.000281s
Sun Jan 24 23:21:52 2021 | q: 12/63 | q_time: 19.591334s | E: 34 | q_time/E: 0.576216s | shuffle time: 0.000283s
