run: 2 | L: 4 | REP: 10000 | skip: 128 | Dim: 3 | LATTICE: HCP
Sun Jan 24 21:03:16 2021 | q: 45/63 | q_time: 75.987728s | E: 165 | q_time/E: 0.460532s | shuffle time: 0.000281s
Sun Jan 24 21:04:37 2021 | q: 46/63 | q_time: 80.915237s | E: 167 | q_time/E: 0.484522s | shuffle time: 0.000280s
Sun Jan 24 21:05:51 2021 | q: 47/63 | q_time: 73.858092s | E: 169 | q_time/E: 0.437030s | shuffle time: 0.000279s
Sun Jan 24 21:07:26 2021 | q: 48/63 | q_time: 94.747563s | E: 171 | q_time/E: 0.554079s | shuffle time: 0.000299s
Sun Jan 24 21:08:46 2021 | q: 49/63 | q_time: 80.142023s | E: 173 | q_time/E: 0.463249s | shuffle time: 0.000277s
Sun Jan 24 21:10:56 2021 | q: 50/63 | q_time: 129.830764s | E: 175 | q_time/E: 0.741890s | shuffle time: 0.000282s
Sun Jan 24 21:12:21 2021 | q: 51/63 | q_time: 85.114709s | E: 177 | q_time/E: 0.480874s | shuffle time: 0.000278s
Sun Jan 24 21:13:47 2021 | q: 52/63 | q_time: 86.096892s | E: 178 | q_time/E: 0.483690s | shuffle time: 0.000278s
Sun Jan 24 21:15:32 2021 | q: 53/63 | q_time: 105.280933s | E: 179 | q_time/E: 0.588162s | shuffle time: 0.000275s
Sun Jan 24 21:16:54 2021 | q: 54/63 | q_time: 81.226428s | E: 180 | q_time/E: 0.451258s | shuffle time: 0.000275s
Sun Jan 24 21:18:14 2021 | q: 55/63 | q_time: 80.817319s | E: 182 | q_time/E: 0.444051s | shuffle time: 0.000271s
Sun Jan 24 21:19:55 2021 | q: 56/63 | q_time: 100.722022s | E: 184 | q_time/E: 0.547402s | shuffle time: 0.000271s
Sun Jan 24 21:21:20 2021 | q: 57/63 | q_time: 84.977191s | E: 186 | q_time/E: 0.456867s | shuffle time: 0.000272s
Sun Jan 24 21:22:41 2021 | q: 58/63 | q_time: 80.814846s | E: 188 | q_time/E: 0.429866s | shuffle time: 0.000270s
Sun Jan 24 21:24:16 2021 | q: 59/63 | q_time: 95.453740s | E: 191 | q_time/E: 0.499758s | shuffle time: 0.000270s
Sun Jan 24 21:25:47 2021 | q: 60/63 | q_time: 90.250932s | E: 194 | q_time/E: 0.465211s | shuffle time: 0.000293s
Sun Jan 24 21:27:13 2021 | q: 61/63 | q_time: 85.947170s | E: 197 | q_time/E: 0.436280s | shuffle time: 0.000269s
Sun Jan 24 21:28:53 2021 | q: 62/63 | q_time: 100.727748s | E: 199 | q_time/E: 0.506170s | shuffle time: 0.000277s
Sun Jan 24 21:30:20 2021 | q: 63/63 | q_time: 86.325575s | E: 200 | q_time/E: 0.431628s | shuffle time: 0.000265s
