run: 44 | L: 4 | REP: 10000 | skip: 128 | Dim: 3 | LATTICE: HCP
Tue Jan 26 11:49:10 2021 | q: 0/63 | q_time: 0.378126s | E: 1 | q_time/E: 0.378126s | shuffle time: 0.000000s
Tue Jan 26 11:49:10 2021 | q: 1/63 | q_time: 0.376109s | E: 1 | q_time/E: 0.376109s | shuffle time: 0.000254s
Tue Jan 26 11:49:11 2021 | q: 2/63 | q_time: 0.773973s | E: 2 | q_time/E: 0.386986s | shuffle time: 0.000270s
Tue Jan 26 11:49:13 2021 | q: 3/63 | q_time: 1.565390s | E: 4 | q_time/E: 0.391347s | shuffle time: 0.000266s
Tue Jan 26 11:49:15 2021 | q: 4/63 | q_time: 2.765495s | E: 7 | q_time/E: 0.395071s | shuffle time: 0.000272s
Tue Jan 26 11:49:19 2021 | q: 5/63 | q_time: 4.123310s | E: 10 | q_time/E: 0.412331s | shuffle time: 0.000279s
Tue Jan 26 11:49:25 2021 | q: 6/63 | q_time: 5.575441s | E: 13 | q_time/E: 0.428880s | shuffle time: 0.000273s
Tue Jan 26 11:49:32 2021 | q: 7/63 | q_time: 6.506830s | E: 16 | q_time/E: 0.406677s | shuffle time: 0.000274s
Tue Jan 26 11:49:39 2021 | q: 8/63 | q_time: 7.874602s | E: 19 | q_time/E: 0.414453s | shuffle time: 0.000275s
Tue Jan 26 11:49:48 2021 | q: 9/63 | q_time: 9.053320s | E: 22 | q_time/E: 0.411515s | shuffle time: 0.000321s
Tue Jan 26 11:50:00 2021 | q: 10/63 | q_time: 11.080252s | E: 26 | q_time/E: 0.426164s | shuffle time: 0.000277s
Tue Jan 26 11:50:14 2021 | q: 11/63 | q_time: 14.225867s | E: 30 | q_time/E: 0.474196s | shuffle time: 0.000280s
Tue Jan 26 11:50:38 2021 | q: 12/63 | q_time: 24.410788s | E: 34 | q_time/E: 0.717964s | shuffle time: 0.000281s
Tue Jan 26 11:50:54 2021 | q: 13/63 | q_time: 15.743115s | E: 37 | q_time/E: 0.425490s | shuffle time: 0.000278s
Tue Jan 26 11:51:13 2021 | q: 14/63 | q_time: 18.630152s | E: 42 | q_time/E: 0.443575s | shuffle time: 0.000278s
