run: 57 | L: 4 | REP: 10000 | skip: 128 | Dim: 3 | LATTICE: HCP
Tue Jan 26 23:26:23 2021 | q: 0/63 | q_time: 0.381587s | E: 1 | q_time/E: 0.381587s | shuffle time: 0.000000s
Tue Jan 26 23:26:23 2021 | q: 1/63 | q_time: 0.380136s | E: 1 | q_time/E: 0.380136s | shuffle time: 0.000258s
Tue Jan 26 23:26:24 2021 | q: 2/63 | q_time: 0.780794s | E: 2 | q_time/E: 0.390397s | shuffle time: 0.000272s
Tue Jan 26 23:26:26 2021 | q: 3/63 | q_time: 1.580342s | E: 4 | q_time/E: 0.395085s | shuffle time: 0.000269s
Tue Jan 26 23:26:28 2021 | q: 4/63 | q_time: 2.795381s | E: 7 | q_time/E: 0.399340s | shuffle time: 0.000276s
Tue Jan 26 23:26:33 2021 | q: 5/63 | q_time: 4.268537s | E: 10 | q_time/E: 0.426854s | shuffle time: 0.000280s
Tue Jan 26 23:26:39 2021 | q: 6/63 | q_time: 5.809798s | E: 13 | q_time/E: 0.446908s | shuffle time: 0.000280s
Tue Jan 26 23:26:45 2021 | q: 7/63 | q_time: 6.507115s | E: 16 | q_time/E: 0.406695s | shuffle time: 0.000278s
Tue Jan 26 23:26:53 2021 | q: 8/63 | q_time: 7.780790s | E: 19 | q_time/E: 0.409515s | shuffle time: 0.000279s
Tue Jan 26 23:27:02 2021 | q: 9/63 | q_time: 9.176310s | E: 22 | q_time/E: 0.417105s | shuffle time: 0.000280s
Tue Jan 26 23:27:13 2021 | q: 10/63 | q_time: 10.683843s | E: 26 | q_time/E: 0.410917s | shuffle time: 0.000281s
Tue Jan 26 23:27:27 2021 | q: 11/63 | q_time: 14.529567s | E: 30 | q_time/E: 0.484319s | shuffle time: 0.000281s
Tue Jan 26 23:27:46 2021 | q: 12/63 | q_time: 18.962200s | E: 34 | q_time/E: 0.557712s | shuffle time: 0.000281s
Tue Jan 26 23:28:03 2021 | q: 13/63 | q_time: 17.078764s | E: 37 | q_time/E: 0.461588s | shuffle time: 0.000281s
Tue Jan 26 23:28:24 2021 | q: 14/63 | q_time: 20.576557s | E: 42 | q_time/E: 0.489918s | shuffle time: 0.000281s
Tue Jan 26 23:28:46 2021 | q: 15/63 | q_time: 22.329054s | E: 47 | q_time/E: 0.475086s | shuffle time: 0.000279s
Tue Jan 26 23:29:09 2021 | q: 16/63 | q_time: 22.859702s | E: 51 | q_time/E: 0.448229s | shuffle time: 0.000274s
Tue Jan 26 23:29:34 2021 | q: 17/63 | q_time: 25.130701s | E: 56 | q_time/E: 0.448763s | shuffle time: 0.000278s
Tue Jan 26 23:30:00 2021 | q: 18/63 | q_time: 25.339968s | E: 60 | q_time/E: 0.422333s | shuffle time: 0.000282s
Tue Jan 26 23:30:30 2021 | q: 19/63 | q_time: 30.495343s | E: 64 | q_time/E: 0.476490s | shuffle time: 0.000280s
Tue Jan 26 23:31:04 2021 | q: 20/63 | q_time: 33.911557s | E: 69 | q_time/E: 0.491472s | shuffle time: 0.000280s
Tue Jan 26 23:31:37 2021 | q: 21/63 | q_time: 32.722332s | E: 74 | q_time/E: 0.442194s | shuffle time: 0.000281s
Tue Jan 26 23:32:16 2021 | q: 22/63 | q_time: 39.438850s | E: 80 | q_time/E: 0.492986s | shuffle time: 0.000283s
Tue Jan 26 23:32:53 2021 | q: 23/63 | q_time: 37.053509s | E: 85 | q_time/E: 0.435924s | shuffle time: 0.000280s
Tue Jan 26 23:33:33 2021 | q: 24/63 | q_time: 39.521057s | E: 91 | q_time/E: 0.434297s | shuffle time: 0.000279s
Tue Jan 26 23:34:15 2021 | q: 25/63 | q_time: 42.164746s | E: 97 | q_time/E: 0.434688s | shuffle time: 0.000277s
Tue Jan 26 23:35:04 2021 | q: 26/63 | q_time: 48.846026s | E: 103 | q_time/E: 0.474233s | shuffle time: 0.000277s
Tue Jan 26 23:35:49 2021 | q: 27/63 | q_time: 45.101530s | E: 108 | q_time/E: 0.417607s | shuffle time: 0.000274s
Tue Jan 26 23:36:39 2021 | q: 28/63 | q_time: 50.610225s | E: 115 | q_time/E: 0.440089s | shuffle time: 0.000274s
Tue Jan 26 23:37:30 2021 | q: 29/63 | q_time: 50.203875s | E: 121 | q_time/E: 0.414908s | shuffle time: 0.000272s
Tue Jan 26 23:38:28 2021 | q: 30/63 | q_time: 58.123546s | E: 126 | q_time/E: 0.461298s | shuffle time: 0.000272s
Tue Jan 26 23:39:23 2021 | q: 31/63 | q_time: 54.814134s | E: 131 | q_time/E: 0.418429s | shuffle time: 0.000273s
Tue Jan 26 23:40:22 2021 | q: 32/63 | q_time: 59.919482s | E: 137 | q_time/E: 0.437368s | shuffle time: 0.000273s
Tue Jan 26 23:41:23 2021 | q: 33/63 | q_time: 60.423648s | E: 140 | q_time/E: 0.431597s | shuffle time: 0.000275s
Tue Jan 26 23:42:22 2021 | q: 34/63 | q_time: 59.609231s | E: 143 | q_time/E: 0.416848s | shuffle time: 0.000276s
Tue Jan 26 23:43:27 2021 | q: 35/63 | q_time: 64.035687s | E: 145 | q_time/E: 0.441625s | shuffle time: 0.000309s
Tue Jan 26 23:44:31 2021 | q: 36/63 | q_time: 64.673926s | E: 146 | q_time/E: 0.442972s | shuffle time: 0.000276s
Tue Jan 26 23:45:34 2021 | q: 37/63 | q_time: 62.870755s | E: 147 | q_time/E: 0.427692s | shuffle time: 0.000277s
Tue Jan 26 23:46:40 2021 | q: 38/63 | q_time: 65.499980s | E: 148 | q_time/E: 0.442567s | shuffle time: 0.000277s
Tue Jan 26 23:47:49 2021 | q: 39/63 | q_time: 69.556712s | E: 150 | q_time/E: 0.463711s | shuffle time: 0.000276s
Tue Jan 26 23:49:17 2021 | q: 40/63 | q_time: 88.255267s | E: 152 | q_time/E: 0.580627s | shuffle time: 0.000275s
Tue Jan 26 23:50:25 2021 | q: 41/63 | q_time: 67.433485s | E: 154 | q_time/E: 0.437880s | shuffle time: 0.000279s
Tue Jan 26 23:51:32 2021 | q: 42/63 | q_time: 67.406154s | E: 156 | q_time/E: 0.432091s | shuffle time: 0.000275s
Tue Jan 26 23:52:39 2021 | q: 43/63 | q_time: 66.933318s | E: 159 | q_time/E: 0.420964s | shuffle time: 0.000277s
Tue Jan 26 23:53:47 2021 | q: 44/63 | q_time: 67.755385s | E: 162 | q_time/E: 0.418243s | shuffle time: 0.000277s
Tue Jan 26 23:54:59 2021 | q: 45/63 | q_time: 72.139483s | E: 165 | q_time/E: 0.437209s | shuffle time: 0.000274s
Tue Jan 26 23:56:12 2021 | q: 46/63 | q_time: 73.367377s | E: 167 | q_time/E: 0.439326s | shuffle time: 0.000276s
Tue Jan 26 23:57:50 2021 | q: 47/63 | q_time: 97.893468s | E: 169 | q_time/E: 0.579251s | shuffle time: 0.000274s
Tue Jan 26 23:59:02 2021 | q: 48/63 | q_time: 71.878227s | E: 171 | q_time/E: 0.420341s | shuffle time: 0.000274s
Wed Jan 27 00:00:16 2021 | q: 49/63 | q_time: 73.464486s | E: 173 | q_time/E: 0.424650s | shuffle time: 0.000274s
Wed Jan 27 00:01:35 2021 | q: 50/63 | q_time: 79.778629s | E: 175 | q_time/E: 0.455878s | shuffle time: 0.000275s
Wed Jan 27 00:03:02 2021 | q: 51/63 | q_time: 87.012171s | E: 177 | q_time/E: 0.491594s | shuffle time: 0.000273s
Wed Jan 27 00:04:19 2021 | q: 52/63 | q_time: 76.795098s | E: 178 | q_time/E: 0.431433s | shuffle time: 0.000272s
Wed Jan 27 00:05:44 2021 | q: 53/63 | q_time: 84.952622s | E: 179 | q_time/E: 0.474596s | shuffle time: 0.000269s
Wed Jan 27 00:07:05 2021 | q: 54/63 | q_time: 80.413072s | E: 180 | q_time/E: 0.446739s | shuffle time: 0.000269s
Wed Jan 27 00:08:30 2021 | q: 55/63 | q_time: 85.864535s | E: 182 | q_time/E: 0.471783s | shuffle time: 0.000266s
Wed Jan 27 00:10:05 2021 | q: 56/63 | q_time: 94.052964s | E: 184 | q_time/E: 0.511157s | shuffle time: 0.000267s
Wed Jan 27 00:11:23 2021 | q: 57/63 | q_time: 78.516601s | E: 186 | q_time/E: 0.422132s | shuffle time: 0.000267s
Wed Jan 27 00:12:40 2021 | q: 58/63 | q_time: 76.876228s | E: 188 | q_time/E: 0.408916s | shuffle time: 0.000266s
Wed Jan 27 00:14:02 2021 | q: 59/63 | q_time: 82.072197s | E: 191 | q_time/E: 0.429697s | shuffle time: 0.000266s
Wed Jan 27 00:15:23 2021 | q: 60/63 | q_time: 81.412474s | E: 194 | q_time/E: 0.419652s | shuffle time: 0.000263s
Wed Jan 27 00:16:52 2021 | q: 61/63 | q_time: 88.153179s | E: 197 | q_time/E: 0.447478s | shuffle time: 0.000264s
Wed Jan 27 00:18:25 2021 | q: 62/63 | q_time: 93.255895s | E: 199 | q_time/E: 0.468623s | shuffle time: 0.000261s
Wed Jan 27 00:19:48 2021 | q: 63/63 | q_time: 83.402990s | E: 200 | q_time/E: 0.417015s | shuffle time: 0.000258s
