run: 694 | L: 8 | REP: 1000 | skip: 64 | workers: 11 (+1 root) | REP per worker 90 | Lattice SS
Sun Feb  7 14:57:56 2021 | q: 0/31 | q_time: 0.001567s | E: 1 | q_time/E: 0.001567s | shuffle time: 0.000000s
Sun Feb  7 14:57:56 2021 | q: 1/31 | q_time: 0.001659s | E: 1 | q_time/E: 0.001659s | shuffle time: 0.000053s
Sun Feb  7 14:57:56 2021 | q: 2/31 | q_time: 0.002478s | E: 2 | q_time/E: 0.001239s | shuffle time: 0.000058s
Sun Feb  7 14:57:56 2021 | q: 3/31 | q_time: 0.003028s | E: 3 | q_time/E: 0.001009s | shuffle time: 0.000044s
Sun Feb  7 14:57:56 2021 | q: 4/31 | q_time: 0.004439s | E: 5 | q_time/E: 0.000888s | shuffle time: 0.000046s
Sun Feb  7 14:57:56 2021 | q: 5/31 | q_time: 0.004895s | E: 6 | q_time/E: 0.000816s | shuffle time: 0.000046s
Sun Feb  7 14:57:56 2021 | q: 6/31 | q_time: 0.007657s | E: 8 | q_time/E: 0.000957s | shuffle time: 0.000026s
Sun Feb  7 14:57:56 2021 | q: 7/31 | q_time: 0.007779s | E: 9 | q_time/E: 0.000864s | shuffle time: 0.000026s
Sun Feb  7 14:57:56 2021 | q: 8/31 | q_time: 0.013294s | E: 11 | q_time/E: 0.001209s | shuffle time: 0.000027s
Sun Feb  7 14:57:56 2021 | q: 9/31 | q_time: 0.013667s | E: 13 | q_time/E: 0.001051s | shuffle time: 0.000027s
Sun Feb  7 14:57:56 2021 | q: 10/31 | q_time: 0.014923s | E: 14 | q_time/E: 0.001066s | shuffle time: 0.000027s
Sun Feb  7 14:57:56 2021 | q: 11/31 | q_time: 0.018670s | E: 16 | q_time/E: 0.001167s | shuffle time: 0.000027s
Sun Feb  7 14:57:56 2021 | q: 12/31 | q_time: 0.021401s | E: 18 | q_time/E: 0.001189s | shuffle time: 0.000027s
Sun Feb  7 14:57:56 2021 | q: 13/31 | q_time: 0.022957s | E: 19 | q_time/E: 0.001208s | shuffle time: 0.000028s
Sun Feb  7 14:57:56 2021 | q: 14/31 | q_time: 0.018305s | E: 21 | q_time/E: 0.000872s | shuffle time: 0.000027s
Sun Feb  7 14:57:56 2021 | q: 15/31 | q_time: 0.037938s | E: 23 | q_time/E: 0.001649s | shuffle time: 0.000028s
Sun Feb  7 14:57:56 2021 | q: 16/31 | q_time: 0.054424s | E: 25 | q_time/E: 0.002177s | shuffle time: 0.000028s
Sun Feb  7 14:57:57 2021 | q: 17/31 | q_time: 0.034471s | E: 26 | q_time/E: 0.001326s | shuffle time: 0.000027s
Sun Feb  7 14:57:57 2021 | q: 18/31 | q_time: 0.026864s | E: 28 | q_time/E: 0.000959s | shuffle time: 0.000028s
Sun Feb  7 14:57:57 2021 | q: 19/31 | q_time: 0.037966s | E: 30 | q_time/E: 0.001266s | shuffle time: 0.000028s
Sun Feb  7 14:57:57 2021 | q: 20/31 | q_time: 0.047402s | E: 32 | q_time/E: 0.001481s | shuffle time: 0.000029s
Sun Feb  7 14:57:57 2021 | q: 21/31 | q_time: 0.055627s | E: 34 | q_time/E: 0.001636s | shuffle time: 0.000029s
Sun Feb  7 14:57:57 2021 | q: 22/31 | q_time: 0.049587s | E: 36 | q_time/E: 0.001377s | shuffle time: 0.000028s
Sun Feb  7 14:57:57 2021 | q: 23/31 | q_time: 0.092957s | E: 38 | q_time/E: 0.002446s | shuffle time: 0.000028s
Sun Feb  7 14:57:57 2021 | q: 24/31 | q_time: 0.120251s | E: 40 | q_time/E: 0.003006s | shuffle time: 0.000031s
Sun Feb  7 14:57:57 2021 | q: 25/31 | q_time: 0.068353s | E: 42 | q_time/E: 0.001627s | shuffle time: 0.000029s
Sun Feb  7 14:57:57 2021 | q: 26/31 | q_time: 0.062855s | E: 44 | q_time/E: 0.001429s | shuffle time: 0.000029s
Sun Feb  7 14:57:57 2021 | q: 27/31 | q_time: 0.066214s | E: 46 | q_time/E: 0.001439s | shuffle time: 0.000028s
Sun Feb  7 14:57:57 2021 | q: 28/31 | q_time: 0.047360s | E: 48 | q_time/E: 0.000987s | shuffle time: 0.000028s
Sun Feb  7 14:57:57 2021 | q: 29/31 | q_time: 0.053327s | E: 50 | q_time/E: 0.001067s | shuffle time: 0.000028s
Sun Feb  7 14:57:57 2021 | q: 30/31 | q_time: 0.070918s | E: 52 | q_time/E: 0.001364s | shuffle time: 0.000028s
Sun Feb  7 14:57:57 2021 | q: 31/31 | q_time: 0.073838s | E: 53 | q_time/E: 0.001393s | shuffle time: 0.000027s
