run: 182 | L: 8 | REP: 1000 | skip: 64 | workers: 11 (+1 root) | REP per worker 90 | Lattice SS
Sun Feb  7 14:35:04 2021 | q: 0/31 | q_time: 0.001527s | E: 1 | q_time/E: 0.001527s | shuffle time: 0.000000s
Sun Feb  7 14:35:04 2021 | q: 1/31 | q_time: 0.001653s | E: 1 | q_time/E: 0.001653s | shuffle time: 0.000084s
Sun Feb  7 14:35:04 2021 | q: 2/31 | q_time: 0.003178s | E: 2 | q_time/E: 0.001589s | shuffle time: 0.000089s
Sun Feb  7 14:35:04 2021 | q: 3/31 | q_time: 0.003840s | E: 3 | q_time/E: 0.001280s | shuffle time: 0.000068s
Sun Feb  7 14:35:04 2021 | q: 4/31 | q_time: 0.006419s | E: 5 | q_time/E: 0.001284s | shuffle time: 0.000039s
Sun Feb  7 14:35:04 2021 | q: 5/31 | q_time: 0.005001s | E: 6 | q_time/E: 0.000833s | shuffle time: 0.000040s
Sun Feb  7 14:35:04 2021 | q: 6/31 | q_time: 0.007880s | E: 8 | q_time/E: 0.000985s | shuffle time: 0.000040s
Sun Feb  7 14:35:04 2021 | q: 7/31 | q_time: 0.007534s | E: 9 | q_time/E: 0.000837s | shuffle time: 0.000040s
Sun Feb  7 14:35:04 2021 | q: 8/31 | q_time: 0.009782s | E: 11 | q_time/E: 0.000889s | shuffle time: 0.000040s
Sun Feb  7 14:35:04 2021 | q: 9/31 | q_time: 0.016996s | E: 13 | q_time/E: 0.001307s | shuffle time: 0.000041s
Sun Feb  7 14:35:04 2021 | q: 10/31 | q_time: 0.014894s | E: 14 | q_time/E: 0.001064s | shuffle time: 0.000065s
Sun Feb  7 14:35:04 2021 | q: 11/31 | q_time: 0.016111s | E: 16 | q_time/E: 0.001007s | shuffle time: 0.000029s
Sun Feb  7 14:35:04 2021 | q: 12/31 | q_time: 0.021764s | E: 18 | q_time/E: 0.001209s | shuffle time: 0.000029s
Sun Feb  7 14:35:04 2021 | q: 13/31 | q_time: 0.019246s | E: 19 | q_time/E: 0.001013s | shuffle time: 0.000029s
Sun Feb  7 14:35:04 2021 | q: 14/31 | q_time: 0.033388s | E: 21 | q_time/E: 0.001590s | shuffle time: 0.000029s
Sun Feb  7 14:35:04 2021 | q: 15/31 | q_time: 0.034628s | E: 23 | q_time/E: 0.001506s | shuffle time: 0.000028s
Sun Feb  7 14:35:04 2021 | q: 16/31 | q_time: 0.041357s | E: 25 | q_time/E: 0.001654s | shuffle time: 0.000033s
Sun Feb  7 14:35:04 2021 | q: 17/31 | q_time: 0.026889s | E: 26 | q_time/E: 0.001034s | shuffle time: 0.000042s
Sun Feb  7 14:35:04 2021 | q: 18/31 | q_time: 0.035437s | E: 28 | q_time/E: 0.001266s | shuffle time: 0.000042s
Sun Feb  7 14:35:04 2021 | q: 19/31 | q_time: 0.040865s | E: 30 | q_time/E: 0.001362s | shuffle time: 0.000029s
Sun Feb  7 14:35:04 2021 | q: 20/31 | q_time: 0.086197s | E: 32 | q_time/E: 0.002694s | shuffle time: 0.000030s
Sun Feb  7 14:35:04 2021 | q: 21/31 | q_time: 0.069070s | E: 34 | q_time/E: 0.002031s | shuffle time: 0.000029s
Sun Feb  7 14:35:04 2021 | q: 22/31 | q_time: 0.054038s | E: 36 | q_time/E: 0.001501s | shuffle time: 0.000029s
Sun Feb  7 14:35:04 2021 | q: 23/31 | q_time: 0.049481s | E: 38 | q_time/E: 0.001302s | shuffle time: 0.000029s
Sun Feb  7 14:35:04 2021 | q: 24/31 | q_time: 0.067132s | E: 40 | q_time/E: 0.001678s | shuffle time: 0.000028s
Sun Feb  7 14:35:05 2021 | q: 25/31 | q_time: 0.086145s | E: 42 | q_time/E: 0.002051s | shuffle time: 0.000038s
Sun Feb  7 14:35:05 2021 | q: 26/31 | q_time: 0.043681s | E: 44 | q_time/E: 0.000993s | shuffle time: 0.000031s
Sun Feb  7 14:35:05 2021 | q: 27/31 | q_time: 0.047466s | E: 46 | q_time/E: 0.001032s | shuffle time: 0.000029s
Sun Feb  7 14:35:05 2021 | q: 28/31 | q_time: 0.041929s | E: 48 | q_time/E: 0.000874s | shuffle time: 0.000030s
Sun Feb  7 14:35:05 2021 | q: 29/31 | q_time: 0.051431s | E: 50 | q_time/E: 0.001029s | shuffle time: 0.000029s
Sun Feb  7 14:35:05 2021 | q: 30/31 | q_time: 0.078527s | E: 52 | q_time/E: 0.001510s | shuffle time: 0.000030s
Sun Feb  7 14:35:05 2021 | q: 31/31 | q_time: 0.076416s | E: 53 | q_time/E: 0.001442s | shuffle time: 0.000029s
