run: 533 | L: 8 | REP: 1000 | skip: 64 | workers: 11 (+1 root) | REP per worker 90 | Lattice SS
Sun Feb  7 14:50:47 2021 | q: 0/31 | q_time: 0.001518s | E: 1 | q_time/E: 0.001518s | shuffle time: 0.000000s
Sun Feb  7 14:50:47 2021 | q: 1/31 | q_time: 0.001641s | E: 1 | q_time/E: 0.001641s | shuffle time: 0.000053s
Sun Feb  7 14:50:47 2021 | q: 2/31 | q_time: 0.002789s | E: 2 | q_time/E: 0.001394s | shuffle time: 0.000052s
Sun Feb  7 14:50:47 2021 | q: 3/31 | q_time: 0.003915s | E: 3 | q_time/E: 0.001305s | shuffle time: 0.000052s
Sun Feb  7 14:50:47 2021 | q: 4/31 | q_time: 0.005267s | E: 5 | q_time/E: 0.001053s | shuffle time: 0.000050s
Sun Feb  7 14:50:47 2021 | q: 5/31 | q_time: 0.004771s | E: 6 | q_time/E: 0.000795s | shuffle time: 0.000053s
Sun Feb  7 14:50:47 2021 | q: 6/31 | q_time: 0.006978s | E: 8 | q_time/E: 0.000872s | shuffle time: 0.000032s
Sun Feb  7 14:50:47 2021 | q: 7/31 | q_time: 0.008829s | E: 9 | q_time/E: 0.000981s | shuffle time: 0.000026s
Sun Feb  7 14:50:48 2021 | q: 8/31 | q_time: 0.012752s | E: 11 | q_time/E: 0.001159s | shuffle time: 0.000028s
Sun Feb  7 14:50:48 2021 | q: 9/31 | q_time: 0.017727s | E: 13 | q_time/E: 0.001364s | shuffle time: 0.000031s
Sun Feb  7 14:50:48 2021 | q: 10/31 | q_time: 0.012984s | E: 14 | q_time/E: 0.000927s | shuffle time: 0.000031s
Sun Feb  7 14:50:48 2021 | q: 11/31 | q_time: 0.016356s | E: 16 | q_time/E: 0.001022s | shuffle time: 0.000032s
Sun Feb  7 14:50:48 2021 | q: 12/31 | q_time: 0.021569s | E: 18 | q_time/E: 0.001198s | shuffle time: 0.000032s
Sun Feb  7 14:50:48 2021 | q: 13/31 | q_time: 0.015849s | E: 19 | q_time/E: 0.000834s | shuffle time: 0.000027s
Sun Feb  7 14:50:48 2021 | q: 14/31 | q_time: 0.028263s | E: 21 | q_time/E: 0.001346s | shuffle time: 0.000033s
Sun Feb  7 14:50:48 2021 | q: 15/31 | q_time: 0.028090s | E: 23 | q_time/E: 0.001221s | shuffle time: 0.000027s
Sun Feb  7 14:50:48 2021 | q: 16/31 | q_time: 0.033227s | E: 25 | q_time/E: 0.001329s | shuffle time: 0.000027s
Sun Feb  7 14:50:48 2021 | q: 17/31 | q_time: 0.030028s | E: 26 | q_time/E: 0.001155s | shuffle time: 0.000028s
Sun Feb  7 14:50:48 2021 | q: 18/31 | q_time: 0.028733s | E: 28 | q_time/E: 0.001026s | shuffle time: 0.000032s
Sun Feb  7 14:50:48 2021 | q: 19/31 | q_time: 0.036757s | E: 30 | q_time/E: 0.001225s | shuffle time: 0.000033s
Sun Feb  7 14:50:48 2021 | q: 20/31 | q_time: 0.065824s | E: 32 | q_time/E: 0.002057s | shuffle time: 0.000030s
Sun Feb  7 14:50:48 2021 | q: 21/31 | q_time: 0.048033s | E: 34 | q_time/E: 0.001413s | shuffle time: 0.000032s
Sun Feb  7 14:50:48 2021 | q: 22/31 | q_time: 0.045151s | E: 36 | q_time/E: 0.001254s | shuffle time: 0.000034s
Sun Feb  7 14:50:48 2021 | q: 23/31 | q_time: 0.063341s | E: 38 | q_time/E: 0.001667s | shuffle time: 0.000029s
Sun Feb  7 14:50:48 2021 | q: 24/31 | q_time: 0.158374s | E: 40 | q_time/E: 0.003959s | shuffle time: 0.000038s
Sun Feb  7 14:50:48 2021 | q: 25/31 | q_time: 0.067779s | E: 42 | q_time/E: 0.001614s | shuffle time: 0.000029s
Sun Feb  7 14:50:48 2021 | q: 26/31 | q_time: 0.036366s | E: 44 | q_time/E: 0.000826s | shuffle time: 0.000028s
Sun Feb  7 14:50:48 2021 | q: 27/31 | q_time: 0.059025s | E: 46 | q_time/E: 0.001283s | shuffle time: 0.000028s
Sun Feb  7 14:50:48 2021 | q: 28/31 | q_time: 0.051518s | E: 48 | q_time/E: 0.001073s | shuffle time: 0.000028s
Sun Feb  7 14:50:48 2021 | q: 29/31 | q_time: 0.039921s | E: 50 | q_time/E: 0.000798s | shuffle time: 0.000028s
Sun Feb  7 14:50:49 2021 | q: 30/31 | q_time: 0.084961s | E: 52 | q_time/E: 0.001634s | shuffle time: 0.000028s
Sun Feb  7 14:50:49 2021 | q: 31/31 | q_time: 0.070951s | E: 53 | q_time/E: 0.001339s | shuffle time: 0.000028s
