run: 424 | L: 8 | REP: 1000 | skip: 64 | workers: 11 (+1 root) | REP per worker 90 | Lattice SS
Sun Feb  7 14:45:57 2021 | q: 0/31 | q_time: 0.001500s | E: 1 | q_time/E: 0.001500s | shuffle time: 0.000000s
Sun Feb  7 14:45:57 2021 | q: 1/31 | q_time: 0.001486s | E: 1 | q_time/E: 0.001486s | shuffle time: 0.000053s
Sun Feb  7 14:45:57 2021 | q: 2/31 | q_time: 0.002522s | E: 2 | q_time/E: 0.001261s | shuffle time: 0.000065s
Sun Feb  7 14:45:57 2021 | q: 3/31 | q_time: 0.003855s | E: 3 | q_time/E: 0.001285s | shuffle time: 0.000057s
Sun Feb  7 14:45:57 2021 | q: 4/31 | q_time: 0.004240s | E: 5 | q_time/E: 0.000848s | shuffle time: 0.000060s
Sun Feb  7 14:45:57 2021 | q: 5/31 | q_time: 0.004840s | E: 6 | q_time/E: 0.000807s | shuffle time: 0.000026s
Sun Feb  7 14:45:57 2021 | q: 6/31 | q_time: 0.006774s | E: 8 | q_time/E: 0.000847s | shuffle time: 0.000027s
Sun Feb  7 14:45:57 2021 | q: 7/31 | q_time: 0.007537s | E: 9 | q_time/E: 0.000837s | shuffle time: 0.000027s
Sun Feb  7 14:45:57 2021 | q: 8/31 | q_time: 0.010574s | E: 11 | q_time/E: 0.000961s | shuffle time: 0.000027s
Sun Feb  7 14:45:57 2021 | q: 9/31 | q_time: 0.011749s | E: 13 | q_time/E: 0.000904s | shuffle time: 0.000027s
Sun Feb  7 14:45:57 2021 | q: 10/31 | q_time: 0.016815s | E: 14 | q_time/E: 0.001201s | shuffle time: 0.000028s
Sun Feb  7 14:45:57 2021 | q: 11/31 | q_time: 0.019843s | E: 16 | q_time/E: 0.001240s | shuffle time: 0.000028s
Sun Feb  7 14:45:57 2021 | q: 12/31 | q_time: 0.024757s | E: 18 | q_time/E: 0.001375s | shuffle time: 0.000028s
Sun Feb  7 14:45:57 2021 | q: 13/31 | q_time: 0.015423s | E: 19 | q_time/E: 0.000812s | shuffle time: 0.000028s
Sun Feb  7 14:45:57 2021 | q: 14/31 | q_time: 0.016468s | E: 21 | q_time/E: 0.000784s | shuffle time: 0.000028s
Sun Feb  7 14:45:57 2021 | q: 15/31 | q_time: 0.025817s | E: 23 | q_time/E: 0.001122s | shuffle time: 0.000029s
Sun Feb  7 14:45:57 2021 | q: 16/31 | q_time: 0.028698s | E: 25 | q_time/E: 0.001148s | shuffle time: 0.000028s
Sun Feb  7 14:45:57 2021 | q: 17/31 | q_time: 0.018739s | E: 26 | q_time/E: 0.000721s | shuffle time: 0.000028s
Sun Feb  7 14:45:57 2021 | q: 18/31 | q_time: 0.026021s | E: 28 | q_time/E: 0.000929s | shuffle time: 0.000028s
Sun Feb  7 14:45:57 2021 | q: 19/31 | q_time: 0.054528s | E: 30 | q_time/E: 0.001818s | shuffle time: 0.000030s
Sun Feb  7 14:45:58 2021 | q: 20/31 | q_time: 0.067510s | E: 32 | q_time/E: 0.002110s | shuffle time: 0.000029s
Sun Feb  7 14:45:58 2021 | q: 21/31 | q_time: 0.054846s | E: 34 | q_time/E: 0.001613s | shuffle time: 0.000029s
Sun Feb  7 14:45:58 2021 | q: 22/31 | q_time: 0.061604s | E: 36 | q_time/E: 0.001711s | shuffle time: 0.000029s
Sun Feb  7 14:45:58 2021 | q: 23/31 | q_time: 0.050961s | E: 38 | q_time/E: 0.001341s | shuffle time: 0.000028s
Sun Feb  7 14:45:58 2021 | q: 24/31 | q_time: 0.081829s | E: 40 | q_time/E: 0.002046s | shuffle time: 0.000029s
Sun Feb  7 14:45:58 2021 | q: 25/31 | q_time: 0.050863s | E: 42 | q_time/E: 0.001211s | shuffle time: 0.000029s
Sun Feb  7 14:45:58 2021 | q: 26/31 | q_time: 0.071674s | E: 44 | q_time/E: 0.001629s | shuffle time: 0.000029s
Sun Feb  7 14:45:58 2021 | q: 27/31 | q_time: 0.041388s | E: 46 | q_time/E: 0.000900s | shuffle time: 0.000029s
Sun Feb  7 14:45:58 2021 | q: 28/31 | q_time: 0.054075s | E: 48 | q_time/E: 0.001127s | shuffle time: 0.000029s
Sun Feb  7 14:45:58 2021 | q: 29/31 | q_time: 0.063993s | E: 50 | q_time/E: 0.001280s | shuffle time: 0.000028s
Sun Feb  7 14:45:58 2021 | q: 30/31 | q_time: 0.049745s | E: 52 | q_time/E: 0.000957s | shuffle time: 0.000028s
Sun Feb  7 14:45:58 2021 | q: 31/31 | q_time: 0.046975s | E: 53 | q_time/E: 0.000886s | shuffle time: 0.000028s
