run: 354 | L: 8 | REP: 1000 | skip: 64 | workers: 11 (+1 root) | REP per worker 90 | Lattice SS
Sun Feb  7 14:42:52 2021 | q: 0/31 | q_time: 0.001478s | E: 1 | q_time/E: 0.001478s | shuffle time: 0.000000s
Sun Feb  7 14:42:52 2021 | q: 1/31 | q_time: 0.001604s | E: 1 | q_time/E: 0.001604s | shuffle time: 0.000060s
Sun Feb  7 14:42:52 2021 | q: 2/31 | q_time: 0.003161s | E: 2 | q_time/E: 0.001580s | shuffle time: 0.000065s
Sun Feb  7 14:42:52 2021 | q: 3/31 | q_time: 0.002789s | E: 3 | q_time/E: 0.000930s | shuffle time: 0.000056s
Sun Feb  7 14:42:52 2021 | q: 4/31 | q_time: 0.004448s | E: 5 | q_time/E: 0.000890s | shuffle time: 0.000060s
Sun Feb  7 14:42:52 2021 | q: 5/31 | q_time: 0.005327s | E: 6 | q_time/E: 0.000888s | shuffle time: 0.000027s
Sun Feb  7 14:42:52 2021 | q: 6/31 | q_time: 0.007881s | E: 8 | q_time/E: 0.000985s | shuffle time: 0.000027s
Sun Feb  7 14:42:52 2021 | q: 7/31 | q_time: 0.008224s | E: 9 | q_time/E: 0.000914s | shuffle time: 0.000027s
Sun Feb  7 14:42:52 2021 | q: 8/31 | q_time: 0.013241s | E: 11 | q_time/E: 0.001204s | shuffle time: 0.000027s
Sun Feb  7 14:42:52 2021 | q: 9/31 | q_time: 0.017033s | E: 13 | q_time/E: 0.001310s | shuffle time: 0.000027s
Sun Feb  7 14:42:52 2021 | q: 10/31 | q_time: 0.012043s | E: 14 | q_time/E: 0.000860s | shuffle time: 0.000030s
Sun Feb  7 14:42:52 2021 | q: 11/31 | q_time: 0.017361s | E: 16 | q_time/E: 0.001085s | shuffle time: 0.000027s
Sun Feb  7 14:42:52 2021 | q: 12/31 | q_time: 0.016264s | E: 18 | q_time/E: 0.000904s | shuffle time: 0.000027s
Sun Feb  7 14:42:52 2021 | q: 13/31 | q_time: 0.015926s | E: 19 | q_time/E: 0.000838s | shuffle time: 0.000027s
Sun Feb  7 14:42:52 2021 | q: 14/31 | q_time: 0.016782s | E: 21 | q_time/E: 0.000799s | shuffle time: 0.000027s
Sun Feb  7 14:42:52 2021 | q: 15/31 | q_time: 0.031797s | E: 23 | q_time/E: 0.001382s | shuffle time: 0.000027s
Sun Feb  7 14:42:52 2021 | q: 16/31 | q_time: 0.016721s | E: 25 | q_time/E: 0.000669s | shuffle time: 0.000027s
Sun Feb  7 14:42:52 2021 | q: 17/31 | q_time: 0.020248s | E: 26 | q_time/E: 0.000779s | shuffle time: 0.000028s
Sun Feb  7 14:42:52 2021 | q: 18/31 | q_time: 0.022229s | E: 28 | q_time/E: 0.000794s | shuffle time: 0.000028s
Sun Feb  7 14:42:52 2021 | q: 19/31 | q_time: 0.048833s | E: 30 | q_time/E: 0.001628s | shuffle time: 0.000028s
Sun Feb  7 14:42:52 2021 | q: 20/31 | q_time: 0.045555s | E: 32 | q_time/E: 0.001424s | shuffle time: 0.000028s
Sun Feb  7 14:42:52 2021 | q: 21/31 | q_time: 0.061387s | E: 34 | q_time/E: 0.001806s | shuffle time: 0.000028s
Sun Feb  7 14:42:52 2021 | q: 22/31 | q_time: 0.062253s | E: 36 | q_time/E: 0.001729s | shuffle time: 0.000028s
Sun Feb  7 14:42:53 2021 | q: 23/31 | q_time: 0.051120s | E: 38 | q_time/E: 0.001345s | shuffle time: 0.000032s
Sun Feb  7 14:42:53 2021 | q: 24/31 | q_time: 0.091206s | E: 40 | q_time/E: 0.002280s | shuffle time: 0.000028s
Sun Feb  7 14:42:53 2021 | q: 25/31 | q_time: 0.058652s | E: 42 | q_time/E: 0.001396s | shuffle time: 0.000028s
Sun Feb  7 14:42:53 2021 | q: 26/31 | q_time: 0.048371s | E: 44 | q_time/E: 0.001099s | shuffle time: 0.000028s
Sun Feb  7 14:42:53 2021 | q: 27/31 | q_time: 0.040543s | E: 46 | q_time/E: 0.000881s | shuffle time: 0.000027s
Sun Feb  7 14:42:53 2021 | q: 28/31 | q_time: 0.052773s | E: 48 | q_time/E: 0.001099s | shuffle time: 0.000028s
Sun Feb  7 14:42:53 2021 | q: 29/31 | q_time: 0.043987s | E: 50 | q_time/E: 0.000880s | shuffle time: 0.000027s
Sun Feb  7 14:42:53 2021 | q: 30/31 | q_time: 0.066792s | E: 52 | q_time/E: 0.001284s | shuffle time: 0.000028s
Sun Feb  7 14:42:53 2021 | q: 31/31 | q_time: 0.071628s | E: 53 | q_time/E: 0.001351s | shuffle time: 0.000027s
