q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.001506 1 0.001506 62678 62667 0 1
1 31 0.001596 1 0.001596 62678 62667 0 1
2 31 0.003215 2 0.001607 128066 90430 37625 0
3 31 0.004149 3 0.001383 194213 126091 68111 0
4 31 0.005195 5 0.001039 361753 203420 158322 0
5 31 0.004814 6 0.000802 405557 236842 168704 0
6 31 0.007449 8 0.000931 586619 320081 266527 0
7 31 0.007393 9 0.000821 608291 346410 261870 0
8 31 0.009395 11 0.000854 779696 417512 362173 0
9 31 0.018943 13 0.001457 1211462 647713 563738 0
10 31 0.013792 14 0.000985 1058772 576704 482057 0
11 31 0.019860 16 0.001241 1464115 792432 671672 0
12 31 0.025075 18 0.001393 1540343 801682 738650 0
13 31 0.018739 19 0.000986 1559083 848560 710512 0
14 31 0.019531 21 0.000930 1651265 861043 790211 0
15 31 0.038263 23 0.001664 2380492 1248527 1131954 0
16 31 0.053794 25 0.002152 4176645 2170876 2005758 0
17 31 0.034579 26 0.001330 2169058 1129106 1039941 0
18 31 0.035455 28 0.001266 2633589 1337396 1296182 0
19 31 0.042828 30 0.001428 2811913 1392548 1419354 0
20 31 0.100414 32 0.003138 4757155 2386340 2370804 0
21 31 0.073619 34 0.002165 4304572 2097992 2206569 0
22 31 0.050855 36 0.001413 4310021 2048288 2261722 0
23 31 0.076511 38 0.002013 5251051 2496556 2754484 0
24 31 0.075963 40 0.001899 5177994 2363420 2814563 0
25 31 0.047365 42 0.001128 4132364 1857950 2274403 0
26 31 0.048370 44 0.001099 4304992 1900894 2404087 0
27 31 0.051363 46 0.001117 4578780 1983389 2595380 0
28 31 0.045640 48 0.000951 4857067 2060545 2796511 0
29 31 0.063251 50 0.001265 6411401 2671021 3740369 0
30 31 0.074810 52 0.001439 6081597 2384712 3696874 0
31 31 0.052012 53 0.000981 5368518 2096620 3271887 0
1.12756
