run: 77 | L: 8 | REP: 1000 | skip: 64 | workers: 11 (+1 root) | REP per worker 90 | Lattice SS
Sun Feb  7 14:30:11 2021 | q: 0/31 | q_time: 0.001789s | E: 1 | q_time/E: 0.001789s | shuffle time: 0.000000s
Sun Feb  7 14:30:11 2021 | q: 1/31 | q_time: 0.001633s | E: 1 | q_time/E: 0.001633s | shuffle time: 0.000084s
Sun Feb  7 14:30:11 2021 | q: 2/31 | q_time: 0.003241s | E: 2 | q_time/E: 0.001621s | shuffle time: 0.000068s
Sun Feb  7 14:30:11 2021 | q: 3/31 | q_time: 0.004250s | E: 3 | q_time/E: 0.001417s | shuffle time: 0.000068s
Sun Feb  7 14:30:11 2021 | q: 4/31 | q_time: 0.006101s | E: 5 | q_time/E: 0.001220s | shuffle time: 0.000048s
Sun Feb  7 14:30:11 2021 | q: 5/31 | q_time: 0.005557s | E: 6 | q_time/E: 0.000926s | shuffle time: 0.000044s
Sun Feb  7 14:30:11 2021 | q: 6/31 | q_time: 0.009206s | E: 8 | q_time/E: 0.001151s | shuffle time: 0.000042s
Sun Feb  7 14:30:11 2021 | q: 7/31 | q_time: 0.008886s | E: 9 | q_time/E: 0.000987s | shuffle time: 0.000043s
Sun Feb  7 14:30:11 2021 | q: 8/31 | q_time: 0.016234s | E: 11 | q_time/E: 0.001476s | shuffle time: 0.000043s
Sun Feb  7 14:30:11 2021 | q: 9/31 | q_time: 0.020266s | E: 13 | q_time/E: 0.001559s | shuffle time: 0.000042s
Sun Feb  7 14:30:11 2021 | q: 10/31 | q_time: 0.013759s | E: 14 | q_time/E: 0.000983s | shuffle time: 0.000043s
Sun Feb  7 14:30:11 2021 | q: 11/31 | q_time: 0.017502s | E: 16 | q_time/E: 0.001094s | shuffle time: 0.000043s
Sun Feb  7 14:30:11 2021 | q: 12/31 | q_time: 0.036600s | E: 18 | q_time/E: 0.002033s | shuffle time: 0.000043s
Sun Feb  7 14:30:11 2021 | q: 13/31 | q_time: 0.018819s | E: 19 | q_time/E: 0.000990s | shuffle time: 0.000042s
Sun Feb  7 14:30:12 2021 | q: 14/31 | q_time: 0.026868s | E: 21 | q_time/E: 0.001279s | shuffle time: 0.000043s
Sun Feb  7 14:30:12 2021 | q: 15/31 | q_time: 0.042358s | E: 23 | q_time/E: 0.001842s | shuffle time: 0.000042s
Sun Feb  7 14:30:12 2021 | q: 16/31 | q_time: 0.049999s | E: 25 | q_time/E: 0.002000s | shuffle time: 0.000043s
Sun Feb  7 14:30:12 2021 | q: 17/31 | q_time: 0.035220s | E: 26 | q_time/E: 0.001355s | shuffle time: 0.000043s
Sun Feb  7 14:30:12 2021 | q: 18/31 | q_time: 0.046599s | E: 28 | q_time/E: 0.001664s | shuffle time: 0.000043s
Sun Feb  7 14:30:12 2021 | q: 19/31 | q_time: 0.062027s | E: 30 | q_time/E: 0.002068s | shuffle time: 0.000043s
Sun Feb  7 14:30:12 2021 | q: 20/31 | q_time: 0.087048s | E: 32 | q_time/E: 0.002720s | shuffle time: 0.000041s
Sun Feb  7 14:30:12 2021 | q: 21/31 | q_time: 0.068036s | E: 34 | q_time/E: 0.002001s | shuffle time: 0.000029s
Sun Feb  7 14:30:12 2021 | q: 22/31 | q_time: 0.059182s | E: 36 | q_time/E: 0.001644s | shuffle time: 0.000028s
Sun Feb  7 14:30:12 2021 | q: 23/31 | q_time: 0.068418s | E: 38 | q_time/E: 0.001800s | shuffle time: 0.000028s
Sun Feb  7 14:30:12 2021 | q: 24/31 | q_time: 0.061757s | E: 40 | q_time/E: 0.001544s | shuffle time: 0.000028s
Sun Feb  7 14:30:12 2021 | q: 25/31 | q_time: 0.052340s | E: 42 | q_time/E: 0.001246s | shuffle time: 0.000028s
Sun Feb  7 14:30:12 2021 | q: 26/31 | q_time: 0.047228s | E: 44 | q_time/E: 0.001073s | shuffle time: 0.000028s
Sun Feb  7 14:30:12 2021 | q: 27/31 | q_time: 0.050543s | E: 46 | q_time/E: 0.001099s | shuffle time: 0.000028s
Sun Feb  7 14:30:12 2021 | q: 28/31 | q_time: 0.048546s | E: 48 | q_time/E: 0.001011s | shuffle time: 0.000028s
Sun Feb  7 14:30:12 2021 | q: 29/31 | q_time: 0.060159s | E: 50 | q_time/E: 0.001203s | shuffle time: 0.000027s
Sun Feb  7 14:30:12 2021 | q: 30/31 | q_time: 0.048833s | E: 52 | q_time/E: 0.000939s | shuffle time: 0.000028s
Sun Feb  7 14:30:12 2021 | q: 31/31 | q_time: 0.067358s | E: 53 | q_time/E: 0.001271s | shuffle time: 0.000027s
