run: 958 | L: 8 | REP: 1000 | skip: 64 | workers: 11 (+1 root) | REP per worker 90 | Lattice SS
Sun Feb  7 15:11:48 2021 | q: 0/31 | q_time: 0.000895s | E: 1 | q_time/E: 0.000895s | shuffle time: 0.000000s
Sun Feb  7 15:11:48 2021 | q: 1/31 | q_time: 0.000901s | E: 1 | q_time/E: 0.000901s | shuffle time: 0.000046s
Sun Feb  7 15:11:48 2021 | q: 2/31 | q_time: 0.001661s | E: 2 | q_time/E: 0.000830s | shuffle time: 0.000043s
Sun Feb  7 15:11:48 2021 | q: 3/31 | q_time: 0.002475s | E: 3 | q_time/E: 0.000825s | shuffle time: 0.000041s
Sun Feb  7 15:11:48 2021 | q: 4/31 | q_time: 0.004520s | E: 5 | q_time/E: 0.000904s | shuffle time: 0.000043s
Sun Feb  7 15:11:48 2021 | q: 5/31 | q_time: 0.005321s | E: 6 | q_time/E: 0.000887s | shuffle time: 0.000044s
Sun Feb  7 15:11:48 2021 | q: 6/31 | q_time: 0.008508s | E: 8 | q_time/E: 0.001063s | shuffle time: 0.000043s
Sun Feb  7 15:11:48 2021 | q: 7/31 | q_time: 0.009797s | E: 9 | q_time/E: 0.001089s | shuffle time: 0.000042s
Sun Feb  7 15:11:48 2021 | q: 8/31 | q_time: 0.011250s | E: 11 | q_time/E: 0.001023s | shuffle time: 0.000043s
Sun Feb  7 15:11:48 2021 | q: 9/31 | q_time: 0.020416s | E: 13 | q_time/E: 0.001570s | shuffle time: 0.000043s
Sun Feb  7 15:11:48 2021 | q: 10/31 | q_time: 0.016758s | E: 14 | q_time/E: 0.001197s | shuffle time: 0.000043s
Sun Feb  7 15:11:48 2021 | q: 11/31 | q_time: 0.026459s | E: 16 | q_time/E: 0.001654s | shuffle time: 0.000043s
Sun Feb  7 15:11:48 2021 | q: 12/31 | q_time: 0.023666s | E: 18 | q_time/E: 0.001315s | shuffle time: 0.000042s
Sun Feb  7 15:11:48 2021 | q: 13/31 | q_time: 0.022625s | E: 19 | q_time/E: 0.001191s | shuffle time: 0.000042s
Sun Feb  7 15:11:48 2021 | q: 14/31 | q_time: 0.027758s | E: 21 | q_time/E: 0.001322s | shuffle time: 0.000042s
Sun Feb  7 15:11:48 2021 | q: 15/31 | q_time: 0.036190s | E: 23 | q_time/E: 0.001573s | shuffle time: 0.000042s
Sun Feb  7 15:11:49 2021 | q: 16/31 | q_time: 0.098001s | E: 25 | q_time/E: 0.003920s | shuffle time: 0.000041s
Sun Feb  7 15:11:49 2021 | q: 17/31 | q_time: 0.029786s | E: 26 | q_time/E: 0.001146s | shuffle time: 0.000042s
Sun Feb  7 15:11:49 2021 | q: 18/31 | q_time: 0.039554s | E: 28 | q_time/E: 0.001413s | shuffle time: 0.000042s
Sun Feb  7 15:11:49 2021 | q: 19/31 | q_time: 0.075569s | E: 30 | q_time/E: 0.002519s | shuffle time: 0.000041s
Sun Feb  7 15:11:49 2021 | q: 20/31 | q_time: 0.087401s | E: 32 | q_time/E: 0.002731s | shuffle time: 0.000042s
Sun Feb  7 15:11:49 2021 | q: 21/31 | q_time: 0.094011s | E: 34 | q_time/E: 0.002765s | shuffle time: 0.000042s
Sun Feb  7 15:11:49 2021 | q: 22/31 | q_time: 0.064496s | E: 36 | q_time/E: 0.001792s | shuffle time: 0.000042s
Sun Feb  7 15:11:49 2021 | q: 23/31 | q_time: 0.076434s | E: 38 | q_time/E: 0.002011s | shuffle time: 0.000043s
Sun Feb  7 15:11:49 2021 | q: 24/31 | q_time: 0.081755s | E: 40 | q_time/E: 0.002044s | shuffle time: 0.000042s
Sun Feb  7 15:11:49 2021 | q: 25/31 | q_time: 0.055993s | E: 42 | q_time/E: 0.001333s | shuffle time: 0.000042s
Sun Feb  7 15:11:49 2021 | q: 26/31 | q_time: 0.102490s | E: 44 | q_time/E: 0.002329s | shuffle time: 0.000042s
Sun Feb  7 15:11:49 2021 | q: 27/31 | q_time: 0.114826s | E: 46 | q_time/E: 0.002496s | shuffle time: 0.000041s
Sun Feb  7 15:11:49 2021 | q: 28/31 | q_time: 0.076744s | E: 48 | q_time/E: 0.001599s | shuffle time: 0.000041s
Sun Feb  7 15:11:49 2021 | q: 29/31 | q_time: 0.075263s | E: 50 | q_time/E: 0.001505s | shuffle time: 0.000043s
Sun Feb  7 15:11:50 2021 | q: 30/31 | q_time: 0.107774s | E: 52 | q_time/E: 0.002073s | shuffle time: 0.000048s
Sun Feb  7 15:11:50 2021 | q: 31/31 | q_time: 0.134182s | E: 53 | q_time/E: 0.002532s | shuffle time: 0.000043s
