run: 923 | L: 8 | REP: 1000 | skip: 64 | workers: 11 (+1 root) | REP per worker 90 | Lattice SS
Sun Feb  7 15:09:45 2021 | q: 0/31 | q_time: 0.004578s | E: 1 | q_time/E: 0.004578s | shuffle time: 0.000000s
Sun Feb  7 15:09:45 2021 | q: 1/31 | q_time: 0.000890s | E: 1 | q_time/E: 0.000890s | shuffle time: 0.000041s
Sun Feb  7 15:09:45 2021 | q: 2/31 | q_time: 0.001712s | E: 2 | q_time/E: 0.000856s | shuffle time: 0.000043s
Sun Feb  7 15:09:45 2021 | q: 3/31 | q_time: 0.002582s | E: 3 | q_time/E: 0.000861s | shuffle time: 0.000043s
Sun Feb  7 15:09:45 2021 | q: 4/31 | q_time: 0.004920s | E: 5 | q_time/E: 0.000984s | shuffle time: 0.000043s
Sun Feb  7 15:09:45 2021 | q: 5/31 | q_time: 0.006290s | E: 6 | q_time/E: 0.001048s | shuffle time: 0.000044s
Sun Feb  7 15:09:45 2021 | q: 6/31 | q_time: 0.009420s | E: 8 | q_time/E: 0.001177s | shuffle time: 0.000044s
Sun Feb  7 15:09:45 2021 | q: 7/31 | q_time: 0.009119s | E: 9 | q_time/E: 0.001013s | shuffle time: 0.000043s
Sun Feb  7 15:09:45 2021 | q: 8/31 | q_time: 0.010986s | E: 11 | q_time/E: 0.000999s | shuffle time: 0.000044s
Sun Feb  7 15:09:45 2021 | q: 9/31 | q_time: 0.015477s | E: 13 | q_time/E: 0.001191s | shuffle time: 0.000044s
Sun Feb  7 15:09:45 2021 | q: 10/31 | q_time: 0.016380s | E: 14 | q_time/E: 0.001170s | shuffle time: 0.000044s
Sun Feb  7 15:09:45 2021 | q: 11/31 | q_time: 0.017675s | E: 16 | q_time/E: 0.001105s | shuffle time: 0.000044s
Sun Feb  7 15:09:45 2021 | q: 12/31 | q_time: 0.027447s | E: 18 | q_time/E: 0.001525s | shuffle time: 0.000045s
Sun Feb  7 15:09:45 2021 | q: 13/31 | q_time: 0.022652s | E: 19 | q_time/E: 0.001192s | shuffle time: 0.000044s
Sun Feb  7 15:09:45 2021 | q: 14/31 | q_time: 0.031396s | E: 21 | q_time/E: 0.001495s | shuffle time: 0.000044s
Sun Feb  7 15:09:45 2021 | q: 15/31 | q_time: 0.028943s | E: 23 | q_time/E: 0.001258s | shuffle time: 0.000044s
Sun Feb  7 15:09:45 2021 | q: 16/31 | q_time: 0.076854s | E: 25 | q_time/E: 0.003074s | shuffle time: 0.000043s
Sun Feb  7 15:09:45 2021 | q: 17/31 | q_time: 0.032454s | E: 26 | q_time/E: 0.001248s | shuffle time: 0.000044s
Sun Feb  7 15:09:45 2021 | q: 18/31 | q_time: 0.063266s | E: 28 | q_time/E: 0.002260s | shuffle time: 0.000044s
Sun Feb  7 15:09:45 2021 | q: 19/31 | q_time: 0.050261s | E: 30 | q_time/E: 0.001675s | shuffle time: 0.000044s
Sun Feb  7 15:09:46 2021 | q: 20/31 | q_time: 0.088816s | E: 32 | q_time/E: 0.002775s | shuffle time: 0.000044s
Sun Feb  7 15:09:46 2021 | q: 21/31 | q_time: 0.138674s | E: 34 | q_time/E: 0.004079s | shuffle time: 0.000048s
Sun Feb  7 15:09:46 2021 | q: 22/31 | q_time: 0.151909s | E: 36 | q_time/E: 0.004220s | shuffle time: 0.000046s
Sun Feb  7 15:09:46 2021 | q: 23/31 | q_time: 0.070835s | E: 38 | q_time/E: 0.001864s | shuffle time: 0.000046s
Sun Feb  7 15:09:46 2021 | q: 24/31 | q_time: 0.091784s | E: 40 | q_time/E: 0.002295s | shuffle time: 0.000045s
Sun Feb  7 15:09:46 2021 | q: 25/31 | q_time: 0.122089s | E: 42 | q_time/E: 0.002907s | shuffle time: 0.000044s
Sun Feb  7 15:09:46 2021 | q: 26/31 | q_time: 0.107321s | E: 44 | q_time/E: 0.002439s | shuffle time: 0.000044s
Sun Feb  7 15:09:46 2021 | q: 27/31 | q_time: 0.084263s | E: 46 | q_time/E: 0.001832s | shuffle time: 0.000045s
Sun Feb  7 15:09:46 2021 | q: 28/31 | q_time: 0.129179s | E: 48 | q_time/E: 0.002691s | shuffle time: 0.000043s
Sun Feb  7 15:09:47 2021 | q: 29/31 | q_time: 0.097871s | E: 50 | q_time/E: 0.001957s | shuffle time: 0.000044s
Sun Feb  7 15:09:47 2021 | q: 30/31 | q_time: 0.123086s | E: 52 | q_time/E: 0.002367s | shuffle time: 0.000044s
Sun Feb  7 15:09:47 2021 | q: 31/31 | q_time: 0.103409s | E: 53 | q_time/E: 0.001951s | shuffle time: 0.000046s
