q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.001203 1 0.001203 62678 62667 0 1
1 31 0.001211 1 0.001211 62678 62667 0 1
2 31 0.001912 2 0.000956 128171 91402 36758 0
3 31 0.002507 3 0.000836 193492 127685 65796 0
4 31 0.004619 5 0.000924 341414 192571 148832 0
5 31 0.005761 6 0.000960 404502 238013 166478 0
6 31 0.008431 8 0.001054 564305 311988 252306 0
7 31 0.009243 9 0.001027 626580 355285 271284 0
8 31 0.012521 11 0.001138 807652 442722 364919 0
9 31 0.023819 13 0.001832 1203165 648304 554850 0
10 31 0.016952 14 0.001211 1039386 563759 475616 0
11 31 0.023858 16 0.001491 1297129 683119 613999 0
12 31 0.038556 18 0.002142 1910501 995637 914853 0
13 31 0.022394 19 0.001179 1394922 737450 657461 0
14 31 0.036058 21 0.001717 1747918 908335 839572 0
15 31 0.046376 23 0.002016 2172065 1114896 1057158 0
16 31 0.062021 25 0.002481 2725703 1373068 1352624 0
17 31 0.037405 26 0.001439 1978584 1000083 978490 0
18 31 0.050654 28 0.001809 2571835 1313788 1258036 0
19 31 0.044173 30 0.001472 2707153 1334929 1372213 0
20 31 0.094882 32 0.002965 4084147 2048570 2035566 0
21 31 0.101253 34 0.002978 4003358 1920405 2082942 0
22 31 0.091348 36 0.002537 4259099 2028609 2230479 0
23 31 0.084361 38 0.002220 4490148 2132832 2357305 0
24 31 0.094470 40 0.002362 4747198 2188499 2558688 0
25 31 0.101515 42 0.002417 5285681 2404491 2881179 0
26 31 0.078427 44 0.001782 4888260 2166311 2721938 0
27 31 0.110564 46 0.002404 4544958 1938836 2606111 0
28 31 0.075222 48 0.001567 4787137 2006306 2780820 0
29 31 0.096769 50 0.001935 5328902 2229314 3099577 0
30 31 0.133077 52 0.002559 6417482 2560013 3857458 0
31 31 0.123633 53 0.002333 6720124 2659911 4060202 0
1.63728
