f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-6 0.005325 10000 1980 2000.000000
1+1E-0.187942 1+1E-6 0.005511 10000 1967 2000.000000
1+1E-0.546643 1+1E-6 0.005802 10000 1986 2000.000000
1+1E-0.875664 1+1E-6 0.005932 10000 1980 2000.000000
1+1E-1.190478 1+1E-6 0.005927 10000 1971 2000.000000
1+1E-1.498346 1+1E-6 0.005921 10000 1924 2000.000000
1+1E-1.802783 1+1E-6 0.005821 10000 1881 2000.000000
1+1E-2.105512 1+1E-6 0.005933 10000 1934 2000.000000
1+1E-2.407391 1+1E-6 0.005852 10000 1898 2000.000000
1+1E-2.708846 1+1E-6 0.005772 10000 1839 2000.000000
1+1E-3.010088 1+1E-6 0.011483 20000 3749 4000.000000
1+1E-3.311224 1+1E-6 0.011548 20000 3791 4000.000000
1+1E-3.612307 1+1E-6 0.017199 30000 5665 6000.000000
1+1E-3.913363 1+1E-6 0.011499 20000 3618 4000.000000
1+1E-4.214407 1+1E-6 0.017197 30000 5507 6000.000000
1+1E-4.515443 1+1E-6 0.005717 10000 1819 2000.000000
1+1E-4.816477 1+1E-6 0.028796 50000 9277 10000.000000
1+1E-5.117508 1+1E-6 0.040371 70000 12953 14000.000000
1+1E-5.418539 1+1E-6 0.005735 10000 1820 2000.000000
1+1E-5.719570 1+1E-6 0.011488 20000 3699 4000.000000
0.21896
