L: 4 | f_final: 1+1E-7 | flatness: 90 | dim: 2D | lattie: SS
Sat May 29 14:07:56 2021 | f: 1+1E0.235094/1+1E-7 | sweeps: 10000 | flat time: 0.005269s
Sat May 29 14:07:56 2021 | f: 1+1E-0.187942/1+1E-7 | sweeps: 10000 | flat time: 0.005409s
Sat May 29 14:07:56 2021 | f: 1+1E-0.546643/1+1E-7 | sweeps: 10000 | flat time: 0.005638s
Sat May 29 14:07:56 2021 | f: 1+1E-0.875664/1+1E-7 | sweeps: 10000 | flat time: 0.005764s
Sat May 29 14:07:56 2021 | f: 1+1E-1.190478/1+1E-7 | sweeps: 10000 | flat time: 0.005747s
Sat May 29 14:07:56 2021 | f: 1+1E-1.498346/1+1E-7 | sweeps: 10000 | flat time: 0.005797s
Sat May 29 14:07:56 2021 | f: 1+1E-1.802783/1+1E-7 | sweeps: 10000 | flat time: 0.005748s
Sat May 29 14:07:56 2021 | f: 1+1E-2.105512/1+1E-7 | sweeps: 10000 | flat time: 0.005737s
Sat May 29 14:07:56 2021 | f: 1+1E-2.407391/1+1E-7 | sweeps: 10000 | flat time: 0.005694s
Sat May 29 14:07:56 2021 | f: 1+1E-2.708846/1+1E-7 | sweeps: 20000 | flat time: 0.011349s
Sat May 29 14:07:56 2021 | f: 1+1E-3.010088/1+1E-7 | sweeps: 20000 | flat time: 0.011408s
Sat May 29 14:07:56 2021 | f: 1+1E-3.311224/1+1E-7 | sweeps: 30000 | flat time: 0.017441s
Sat May 29 14:07:56 2021 | f: 1+1E-3.612307/1+1E-7 | sweeps: 30000 | flat time: 0.017335s
Sat May 29 14:07:56 2021 | f: 1+1E-3.913363/1+1E-7 | sweeps: 30000 | flat time: 0.017290s
Sat May 29 14:07:56 2021 | f: 1+1E-4.214407/1+1E-7 | sweeps: 30000 | flat time: 0.017339s
Sat May 29 14:07:56 2021 | f: 1+1E-4.515443/1+1E-7 | sweeps: 40000 | flat time: 0.023023s
Sat May 29 14:07:56 2021 | f: 1+1E-4.816477/1+1E-7 | sweeps: 20000 | flat time: 0.011401s
Sat May 29 14:07:56 2021 | f: 1+1E-5.117508/1+1E-7 | sweeps: 30000 | flat time: 0.017444s
Sat May 29 14:07:56 2021 | f: 1+1E-5.418539/1+1E-7 | sweeps: 130000 | flat time: 0.075121s
Sat May 29 14:07:56 2021 | f: 1+1E-5.719570/1+1E-7 | sweeps: 40000 | flat time: 0.023043s
Sat May 29 14:07:56 2021 | f: 1+1E-6.020600/1+1E-7 | sweeps: 30000 | flat time: 0.017299s
Sat May 29 14:07:56 2021 | f: 1+1E-6.321630/1+1E-7 | sweeps: 40000 | flat time: 0.023010s
Sat May 29 14:07:56 2021 | f: 1+1E-6.622660/1+1E-7 | sweeps: 20000 | flat time: 0.011526s
Sat May 29 14:07:56 2021 | f: 1+1E-6.923690/1+1E-7 | sweeps: 10000 | flat time: 0.005761s
