f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-5 0.005258 10000 1979 2000.000000
1+1E-0.187942 1+1E-5 0.005377 10000 1979 2000.000000
1+1E-0.546643 1+1E-5 0.005596 10000 1984 2000.000000
1+1E-0.875664 1+1E-5 0.005830 10000 1979 2000.000000
1+1E-1.190478 1+1E-5 0.005852 10000 1961 2000.000000
1+1E-1.498346 1+1E-5 0.006022 10000 1921 2000.000000
1+1E-1.802783 1+1E-5 0.005973 10000 1933 2000.000000
1+1E-2.105512 1+1E-5 0.005756 10000 1822 2000.000000
1+1E-2.407391 1+1E-5 0.005650 10000 1801 2000.000000
1+1E-2.708846 1+1E-5 0.011261 20000 3829 4000.000000
1+1E-3.010088 1+1E-5 0.005606 10000 1807 2000.000000
1+1E-3.311224 1+1E-5 0.005617 10000 1802 2000.000000
1+1E-3.612307 1+1E-5 0.022486 40000 7390 8000.000000
1+1E-3.913363 1+1E-5 0.022449 40000 7220 8000.000000
1+1E-4.214407 1+1E-5 0.028134 50000 9042 10000.000000
1+1E-4.515443 1+1E-5 0.061926 110000 20077 22000.000000
1+1E-4.816477 1+1E-5 0.017048 30000 5430 6000.000000
0.225945
