f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-9 0.534843 140000 5208 5456.760049
1+1E-0.187942 1+1E-9 0.114514 30000 1128 1169.305725
1+1E-0.546643 1+1E-9 0.114840 30000 1113 1169.305725
1+1E-0.875664 1+1E-9 0.152805 40000 1510 1559.074300
1+1E-1.190478 1+1E-9 0.264437 70000 2664 2728.380024
1+1E-1.498346 1+1E-9 0.264250 70000 2612 2728.380024
1+1E-1.802783 1+1E-9 0.377623 100000 3715 3897.685749
1+1E-2.105512 1+1E-9 0.490483 130000 4831 5066.991474
1+1E-2.407391 1+1E-9 0.754018 200000 7460 7795.371498
1+1E-2.708846 1+1E-9 1.130969 300000 11292 11693.057247
1+1E-3.010088 1+1E-9 1.434686 380000 14092 14811.205847
1+1E-3.311224 1+1E-9 1.773525 470000 17482 18319.123021
1+1E-3.612307 1+1E-9 3.584341 950000 35183 37028.014616
1+1E-3.913363 1+1E-9 3.925339 1040000 38703 40535.931790
1+1E-4.214407 1+1E-9 5.283917 1400000 51945 54567.600487
1+1E-4.515443 1+1E-9 8.192624 2170000 80356 84579.780755
1+1E-4.816477 1+1E-9 12.985376 3440000 127528 134080.389769
1+1E-5.117508 1+1E-9 17.440084 4620000 171116 180073.081608
1+1E-5.418539 1+1E-9 11.291009 2990000 110788 116540.803898
1+1E-5.719570 1+1E-9 13.110090 3470000 128673 135249.695493
1+1E-6.020600 1+1E-9 12.532893 3320000 123016 129403.166870
1+1E-6.321630 1+1E-9 34.575913 9150000 339123 356638.246041
1+1E-6.622660 1+1E-9 51.043792 13510000 500358 526577.344702
1+1E-6.923690 1+1E-9 30.032999 7950000 294473 309866.017052
1+1E-7.224720 1+1E-9 12.584658 3330000 123346 129792.935445
1+1E-7.525750 1+1E-9 14.661131 3880000 143713 151230.207065
1+1E-7.826780 1+1E-9 22.636036 5990000 221993 233471.376370
1+1E-8.127810 1+1E-9 14.102896 3730000 138237 145383.678441
1+1E-8.428840 1+1E-9 34.967169 9250000 342695 360535.931790
1+1E-8.729870 1+1E-9 21.169771 5600000 207433 218270.401949
331.527
