f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-9 0.697920 140000 5224 5456.760049
1+1E-0.187942 1+1E-9 0.149999 30000 1112 1169.305725
1+1E-0.546643 1+1E-9 0.150336 30000 1117 1169.305725
1+1E-0.875664 1+1E-9 0.400993 80000 3023 3118.148599
1+1E-1.190478 1+1E-9 0.249077 50000 1878 1948.842875
1+1E-1.498346 1+1E-9 0.298709 60000 2267 2338.611449
1+1E-1.802783 1+1E-9 0.497981 100000 3719 3897.685749
1+1E-2.105512 1+1E-9 0.747573 150000 5560 5846.528624
1+1E-2.407391 1+1E-9 0.846766 170000 6311 6626.065773
1+1E-2.708846 1+1E-9 1.495454 300000 11169 11693.057247
1+1E-3.010088 1+1E-9 2.291910 460000 17127 17929.354446
1+1E-3.311224 1+1E-9 3.288411 660000 24541 25724.725944
1+1E-3.612307 1+1E-9 3.886557 780000 29304 30401.948843
1+1E-3.913363 1+1E-9 3.487974 700000 26019 27283.800244
1+1E-4.214407 1+1E-9 8.074396 1620000 60084 63142.509135
1+1E-4.515443 1+1E-9 11.759743 2360000 87520 91985.383678
1+1E-4.816477 1+1E-9 17.736291 3560000 131940 138757.612667
1+1E-5.117508 1+1E-9 15.849093 3180000 117753 123946.406821
1+1E-5.418539 1+1E-9 20.531126 4120000 152572 160584.652862
1+1E-5.719570 1+1E-9 9.266539 1860000 68875 72496.954933
1+1E-6.020600 1+1E-9 22.221717 4470000 165555 174226.552984
1+1E-6.321630 1+1E-9 18.611880 3750000 138933 146163.215591
1+1E-6.622660 1+1E-9 21.414222 4310000 159646 167990.255786
1+1E-6.923690 1+1E-9 11.470434 2310000 85540 90036.540804
1+1E-7.224720 1+1E-9 23.006831 4610000 170727 179683.313033
1+1E-7.525750 1+1E-9 41.766190 8130000 301325 316881.851401
1+1E-7.826780 1+1E-9 21.584212 4200000 155617 163702.801462
1+1E-8.127810 1+1E-9 22.771353 4430000 164534 172667.478685
1+1E-8.428840 1+1E-9 63.513101 12360000 458004 481753.958587
1+1E-8.729870 1+1E-9 32.164031 6260000 231856 243995.127893
380.231
