f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-4 0.227076 60000 2120 2338.611449
1+1E-0.187942 1+1E-4 0.109882 30000 1118 1169.305725
1+1E-0.546643 1+1E-4 0.110030 30000 1111 1169.305725
1+1E-0.875664 1+1E-4 0.109773 30000 1089 1169.305725
1+1E-1.190478 1+1E-4 0.072582 20000 715 779.537150
1+1E-1.498346 1+1E-4 0.108695 30000 1089 1169.305725
1+1E-1.802783 1+1E-4 0.181279 50000 1829 1948.842875
1+1E-2.105512 1+1E-4 0.435174 120000 4222 4677.222899
1+1E-2.407391 1+1E-4 0.434988 120000 4334 4677.222899
1+1E-2.708846 1+1E-4 0.434977 120000 4260 4677.222899
1+1E-3.010088 1+1E-4 1.016740 280000 9963 10913.520097
1+1E-3.311224 1+1E-4 1.266675 350000 12533 13641.900122
1+1E-3.612307 1+1E-4 1.591284 440000 15485 17149.817296
1+1E-3.913363 1+1E-4 2.136439 590000 20733 22996.345920
8.23575
