q q_max q_time hits q_time/hits k accept_counter reject_counter sampled_ratio/numer_working_threads
0 127 0.045815 1 0.045815 2550582 2550555 0 1
1 127 0.046383 1 0.046383 2550582 2550555 0 1
2 127 0.091510 2 0.045755 5143515 3472876 1670612 0
3 127 0.159802 3 0.053267 7784639 4653934 3130678 0
4 127 0.274323 5 0.054865 13574938 6750758 6824153 0
5 127 0.291399 6 0.048566 15860394 7935357 7925010 0
6 127 0.416443 8 0.052055 21853513 10062977 11790509 0
7 127 0.491423 9 0.054603 24598160 11774220 12823913 0
8 127 0.636752 11 0.057887 31786163 14578421 17207715 0
9 127 1.118530 13 0.086041 43608983 19666546 23942410 0
10 127 0.872772 14 0.062341 44917953 20979123 23938803 0
11 127 1.063198 16 0.066450 52774896 24155453 28619416 0
12 127 1.798399 18 0.099911 69636314 31336385 38299902 0
13 127 1.614710 19 0.084985 71970483 33195180 38775276 0
14 127 1.827344 21 0.087016 81743818 37018912 44724879 0
15 127 2.173878 23 0.094516 91820767 41486463 50334277 0
16 127 4.100088 25 0.164004 155239125 69929255 85309843 0
17 127 2.351680 26 0.090449 102225469 46306301 55919141 0
18 127 2.997262 28 0.107045 128455334 58257352 70197955 0
19 127 3.865614 30 0.128854 146902808 65859193 81043588 0
20 127 10.792774 32 0.337274 242950233 109439759 133510447 0
21 127 3.793434 33 0.114953 156898657 71100141 85798489 0
22 127 4.003421 35 0.114383 151584642 68143033 83441582 0
23 127 4.934358 37 0.133361 184022324 81920370 102101927 0
24 127 8.270314 39 0.212059 247961445 112065765 135895653 0
25 127 23.379536 41 0.570233 635391536 285830110 349561399 0
26 127 5.260155 42 0.125242 189793167 85417746 104375394 0
27 127 7.214687 44 0.163970 248882985 111546415 137336543 0
28 127 9.101777 46 0.197865 328803042 148850745 179952270 0
29 127 12.406921 48 0.258478 401756053 181316196 220439830 0
30 127 38.645466 50 0.772909 1158896240 526119976 632776237 0
31 127 7.599613 51 0.149012 291677073 132152471 159524575 0
32 127 11.206763 53 0.211448 324668812 146772905 177895880 0
33 127 12.560626 55 0.228375 462583591 209496212 253087352 0
34 127 18.718592 57 0.328396 552083668 249507225 302576416 0
35 127 33.474557 59 0.567365 1114389667 505302100 609087540 0
36 127 82.715596 61 1.355993 1738925661 789689212 949236422 0
37 127 11.253396 62 0.181506 372790387 169691380 203098980 0
