q q_max q_time hits q_time/hits k accept_counter reject_counter sampled_ratio/numer_working_threads
0 127 0.063753 1 0.063753 2550582 2550555 0 1
1 127 0.045949 1 0.045949 2550582 2550555 0 1
2 127 0.090787 2 0.045393 5138721 3479700 1658994 0
3 127 0.136653 3 0.045551 7795673 4685849 3109797 0
4 127 0.262963 5 0.052593 13628446 6718424 6909995 0
5 127 0.303876 6 0.050646 16107707 8136660 7971020 0
6 127 0.480438 8 0.060055 22937991 10733381 12204583 0
7 127 0.460447 9 0.051161 24898493 11973699 12924767 0
8 127 0.648612 11 0.058965 32019864 14674732 17345105 0
9 127 1.097283 13 0.084406 42581258 19104791 23476440 0
10 127 0.837560 14 0.059826 41049160 18814107 22235026 0
11 127 1.076410 16 0.067276 51379536 23289577 28089932 0
12 127 1.648396 18 0.091578 65516966 29674821 35842118 0
13 127 1.437550 19 0.075661 70269301 32428518 37840756 0
14 127 1.761435 21 0.083878 80879647 36643571 44236049 0
15 127 2.688267 23 0.116881 98344147 44150189 54193931 0
16 127 6.483341 25 0.259334 188489672 84786607 103703038 0
17 127 2.800440 26 0.107709 102816028 46436047 56379954 0
18 127 2.893367 28 0.103335 127621326 57841000 69780299 0
19 127 3.831828 30 0.127728 147968429 66541313 81427089 0
20 127 7.928634 32 0.247770 265769523 119780589 145988907 0
21 127 3.877346 33 0.117495 162280788 73828959 88451802 0
22 127 3.751840 35 0.107195 155301360 70014286 85287047 0
23 127 6.136710 37 0.165857 204195550 91534875 112660648 0
24 127 8.000862 39 0.205150 251300996 112228814 139072155 0
25 127 19.564922 41 0.477193 638066491 286688639 351377825 0
26 127 5.883515 42 0.140084 224110018 101671471 122438520 0
27 127 5.059686 44 0.114993 208749677 94315428 114434222 0
28 127 9.383801 46 0.203996 326508920 146951977 179556916 0
29 127 17.458370 48 0.363716 477181955 215030625 262151303 0
30 127 29.839998 50 0.596800 1001664468 449096474 552567967 0
31 127 7.392923 51 0.144959 298923222 134915765 164007430 0
32 127 9.336809 53 0.176166 328433910 148433384 180000499 0
33 127 15.348173 55 0.279058 374277269 168726985 205550257 0
34 127 16.090201 57 0.282284 514814010 232315298 282498685 0
35 127 31.210622 59 0.528994 1135403535 512336063 623067445 0
36 127 124.357428 61 2.038646 2736985322 1239787521 1497197774 0
37 127 9.956450 62 0.160588 399762505 181183426 218579052 0
38 127 10.309386 64 0.161084 421288085 190634050 230654008 0
39 127 22.899885 66 0.346968 617601544 279795756 337805761 0
40 127 34.388135 68 0.505708 947318629 429687740 517630862 0
41 127 53.478301 70 0.763976 1737273086 790607593 946665466 0
42 127 146.042340 72 2.028366 3967303270 1807760403 2159542840 0
43 127 17.271089 73 0.236590 603245665 275320617 327925021 0
44 127 21.446789 75 0.285957 684869334 310515203 374354104 0
45 127 25.001902 77 0.324700 794170403 360221524 433948852 0
46 127 57.559758 79 0.728605 1245210105 566411290 678798788 0
47 127 71.305242 81 0.880312 2368355711 1079418814 1288936870 0
