q q_max q_time hits q_time/hits k accept_counter reject_counter sampled_ratio/numer_working_threads
0 127 0.046227 1 0.046227 2550582 2550555 0 1
1 127 0.045049 1 0.045049 2550582 2550555 0 1
2 127 0.090863 2 0.045432 5148987 3483952 1665008 0
3 127 0.151587 3 0.050529 7778514 4664756 3113731 0
4 127 0.252642 5 0.050528 13405845 6541790 6864028 0
5 127 0.297324 6 0.049554 16297159 8280973 8016159 0
6 127 0.467497 8 0.058437 22541625 10569240 11972358 0
7 127 0.480261 9 0.053362 25146967 12129421 13017519 0
8 127 0.606058 11 0.055096 32724956 14973812 17751117 0
9 127 0.948855 13 0.072989 40591969 17994354 22597588 0
10 127 0.856776 14 0.061198 42746927 19862766 22884134 0
11 127 1.019481 16 0.063718 49986707 22603568 27383112 0
12 127 1.309632 18 0.072757 60549360 26947586 33601747 0
13 127 1.293049 19 0.068055 63118234 28894248 34223959 0
14 127 1.730049 21 0.082383 75333646 33754179 41579440 0
15 127 2.275116 23 0.098918 96849885 43315325 53534533 0
16 127 5.027362 25 0.201094 156337247 70433584 85903636 0
17 127 2.185933 26 0.084074 103325510 46904737 56420746 0
18 127 2.728435 28 0.097444 123489730 55857319 67632384 0
19 127 3.495056 30 0.116502 142375479 63898071 78477381 0
20 127 6.636356 32 0.207386 241901925 109306057 132595841 0
21 127 4.248410 33 0.128740 149487968 67833891 81654050 0
22 127 3.495588 35 0.099874 151397968 68021703 83376238 0
23 127 4.593229 37 0.124141 180544583 80370457 100174099 0
24 127 8.941244 39 0.229263 299796351 134271036 165525288 0
25 127 24.236550 41 0.591135 768788656 347286724 421501905 0
26 127 4.491724 42 0.106946 202791692 90776929 112014736 0
27 127 6.284769 44 0.142836 218766180 99036269 119729884 0
28 127 8.773737 46 0.190733 321403105 143311090 178091988 0
29 127 16.204824 48 0.337600 535845090 241928427 293916636 0
30 127 27.466590 50 0.549332 880090707 393812189 486278491 0
31 127 6.314222 51 0.123808 259203725 117286100 141917598 0
32 127 9.148097 53 0.172606 379925287 171849658 208075602 0
33 127 12.081137 55 0.219657 478422846 216061242 262361577 0
34 127 18.169769 57 0.318768 618190898 280519284 337671587 0
35 127 38.712950 59 0.656152 1228484314 555308479 673175808 0
36 127 108.630163 61 1.780822 2034703336 923747044 1110956265 0
37 127 10.355879 62 0.167030 389524969 176387060 213137882 0
38 127 12.090708 64 0.188917 441201360 200884638 240316695 0
39 127 18.394031 66 0.278697 738504442 336826180 401678235 0
40 127 23.520641 68 0.345892 1014930026 462240460 552689539 0
41 127 65.471318 70 0.935305 1982626108 903353573 1079272508 0
42 127 96.092562 72 1.334619 3008178357 1369638371 1638539959 0
43 127 15.655691 73 0.214462 538399967 247120202 291279738 0
44 127 19.508235 75 0.260110 714928373 327085416 387842930 0
45 127 23.196193 77 0.301249 1037007150 473099117 563908006 0
46 127 33.785249 79 0.427661 1257313964 574028417 683285520 0
