q q_max q_time hits q_time/hits k accept_counter reject_counter sampled_ratio/numer_working_threads
0 127 0.063355 1 0.063355 2550582 2550555 0 1
1 127 0.044507 1 0.044507 2550582 2550555 0 1
2 127 0.088860 2 0.044430 5145647 3462647 1682973 0
3 127 0.135198 3 0.045066 7759680 4682698 3076955 0
4 127 0.255908 5 0.051182 13707806 6767901 6939878 0
5 127 0.294027 6 0.049004 15959015 8007526 7951462 0
6 127 0.457977 8 0.057247 22489902 10473719 12016156 0
7 127 0.464740 9 0.051638 24895580 11944139 12951414 0
8 127 0.710401 11 0.064582 33192413 15353708 17838678 0
9 127 0.985161 13 0.075782 43346250 19560577 23785646 0
10 127 0.844688 14 0.060335 42729111 19577149 23151935 0
11 127 1.133890 16 0.070868 53297974 24091167 29206780 0
12 127 1.818899 18 0.101050 75297965 33413011 41884927 0
13 127 1.369329 19 0.072070 62264331 28274150 33990154 0
14 127 1.499045 21 0.071383 72075064 32300988 39774049 0
15 127 2.354712 23 0.102379 106289029 48033299 58255703 0
16 127 3.732319 25 0.149293 150213834 67624420 82589387 0
17 127 2.212980 26 0.085115 112390435 51309996 61080412 0
18 127 2.483458 28 0.088695 123711101 55391893 68319181 0
19 127 3.303259 30 0.110109 139924217 62850218 77073972 0
20 127 6.869800 32 0.214681 234584844 105819320 128765497 0
21 127 3.516344 33 0.106556 151440490 68868310 82572153 0
22 127 3.996565 35 0.114188 167540680 75951337 91589316 0
23 127 5.546393 37 0.149903 198257387 89214595 109042765 0
24 127 7.210085 39 0.184874 287400076 129499376 157900673 0
25 127 24.078104 41 0.587271 798192416 361043102 437149287 0
26 127 4.870440 42 0.115963 215539129 97684918 117854184 0
27 127 6.002119 44 0.136412 239280178 108032931 131247220 0
28 127 10.088826 46 0.219322 379156808 171457014 207699767 0
29 127 14.013715 48 0.291952 564054324 255992381 308061916 0
30 127 33.619604 50 0.672392 1116632968 504677224 611955717 0
31 127 6.531780 51 0.128074 259408630 117788676 141619927 0
32 127 8.057210 53 0.152023 369298755 166592636 202706092 0
33 127 11.489384 55 0.208898 416481833 187526299 228955507 0
34 127 16.892583 57 0.296361 650682859 294300200 356382632 0
35 127 27.159568 59 0.460332 1065725328 482687406 583037895 0
36 127 89.932378 61 1.474301 1979151229 899483194 1079668008 0
37 127 8.884199 62 0.143294 413147886 187918114 225229745 0
38 127 10.912958 64 0.170515 502097311 228900453 273196831 0
39 127 22.543183 66 0.341563 869676592 396990953 472685612 0
40 127 32.029580 68 0.471023 1177134266 534852325 642281914 0
41 127 50.735180 70 0.724788 2006118631 915770123 1090348481 0
42 127 107.203128 72 1.488932 2413005518 1093041770 1319963721 0
43 127 16.597614 73 0.227365 595811829 271338713 324473089 0
44 127 17.136460 75 0.228486 700380664 317709395 382671242 0
45 127 21.645439 77 0.281110 756847225 343252978 413594220 0
46 127 32.418648 79 0.410363 1258293625 572843166 685450432 0
47 127 88.020562 81 1.086674 2999021660 1369601315 1629420318 0
48 127 137.173915 83 1.652698 2998169901 1366753964 1631415910 0
49 127 495.454543 85 5.828877 5167266609 2352575468 2814691114 0
50 127 20.697227 86 0.240665 805704037 369301175 436402835 0
51 127 27.307107 88 0.310308 1014633420 461570995 553062398 0
52 127 39.253771 90 0.436153 1663335487 762208104 901127356 0
53 127 67.473577 92 0.733408 2168584503 989986924 1178597552 0
54 127 116.959422 94 1.244249 3850638437 1751881943 2098756467 0
55 127 248.006652 96 2.583403 3901004747 1776902910 2124101810 0
56 127 510.003471 98 5.204117 6080618595 2767210796 3313407772 0
57 127 30.929965 99 0.312424 1230771001 562216307 668554667 0
58 127 39.434321 101 0.390439 1368232141 620243692 747988422 0
59 127 39.098157 103 0.379594 1630949086 739673990 891275069 0
60 127 61.465395 105 0.585385 2466101059 1116026168 1350074864 0
61 127 149.196803 107 1.394363 5147959158 2327500131 2820459000 0
62 127 218.176774 109 2.001622 4986397809 2253730760 2732667022 0
63 127 381.539501 111 3.437293 5810094437 2627598088 3182496322 0
64 127 1383.849298 113 12.246454 8662668371 3905610053 4757058291 0
65 127 48.068311 114 0.421652 1465467076 663249551 802217498 0
66 127 75.013666 116 0.646670 1936991166 874266425 1062724714 0
67 127 78.693239 118 0.666892 2295525843 1030169653 1265356163 0
68 127 177.696268 120 1.480802 4398958331 1978569652 2420388652 0
69 127 241.881109 122 1.982632 5967722538 2683023996 3284698515 0
70 127 328.004497 124 2.645198 5476510651 2457741343 3018769281 0
71 127 914.880982 126 7.260960 10984268160 4918835793 6065432340 0
72 127 853.975897 128 6.671687 11958052283 5341677303 6616374953 0
73 127 1590.141942 130 12.231861 15987521735 7123680189 8863841519 0
74 127 748.333516 132 5.669193 5579975651 2485764045 3094211579 0
75 127 1053.095823 134 7.858924 13156498652 5860542112 7295956513 0
76 127 813.415395 136 5.980996 16048561746 7121543294 8927018425 0
77 127 494.362867 138 3.582340 16634544135 7357844792 9276699316 0
78 127 436.521450 140 3.118010 13146462271 5807528634 7338933610 0
79 127 730.125103 142 5.141726 14891944936 6570386451 8321558458 0
80 127 1273.401911 144 8.843069 26919205565 11827060309 15092145229 0
81 127 438.418122 146 3.002864 14321876765 6274070177 8047806561 0
82 127 352.291688 148 2.380349 10380894795 4543362050 5837532718 0
83 127 223.470207 150 1.489801 7037502447 3073009147 3964493273 0
84 127 257.527394 152 1.694259 7343765963 3195479620 4148286316 0
85 127 247.281687 154 1.605725 7522268399 3265636078 4256632294 0
86 127 194.576521 156 1.247285 5547178463 2400110800 3147067636 0
87 127 177.565043 158 1.123829 7547940169 3252972540 4294967602 0
88 127 233.522645 160 1.459517 6518657189 2796362690 3722294472 0
89 127 210.253992 162 1.297864 7300324107 3120168339 4180155741 0
90 127 229.834612 164 1.401431 6269905901 2674986981 3594918893 0
91 127 157.974745 166 0.951655 6166715509 2621348924 3545366558 0
92 127 193.014078 168 1.148893 6511661411 2756159431 3755501953 0
93 127 179.489493 170 1.055821 6135010177 2582847508 3552162642 0
94 127 223.437112 172 1.299053 6979217326 2936633390 4042583909 0
95 127 236.549201 174 1.359478 6087092879 2549759364 3537333488 0
96 127 540.591473 176 3.071542 11861318265 4955060083 6906258155 0
97 127 301.732542 178 1.695127 8138192721 3389760250 4748432444 0
98 127 230.764795 180 1.282027 7134433723 2958654538 4175779158 0
99 127 226.432070 182 1.244132 7961241065 3295423727 4665817311 0
100 127 190.097288 184 1.033137 7669290413 3155651207 4513639179 0
101 127 237.823804 186 1.278623 7071232871 2890292194 4180940650 0
102 127 230.823525 188 1.227785 7517470330 3072152335 4445317968 0
103 127 203.196732 190 1.069456 6319091288 2567882459 3751208802 0
104 127 294.998568 192 1.536451 7625359859 3082823440 4542536392 0
105 127 283.962194 194 1.463723 7421910985 2987258408 4434652550 0
106 127 205.914849 196 1.050586 7471078275 2993956263 4477121985 0
107 127 167.451146 198 0.845713 6200145800 2468666153 3731479620 0
108 127 240.294985 200 1.201475 7376661863 2925182726 4451479110 0
109 127 315.590922 202 1.562331 9116763735 3597003075 5519760633 0
110 127 269.137922 204 1.319304 7138894602 2802587888 4336306687 0
111 127 355.528657 206 1.725867 10920175102 4266880440 6653294635 0
112 127 795.935101 208 3.826611 14965834372 5807257792 9158576553 0
113 127 349.874983 210 1.666071 9813826347 3790619703 6023206617 0
114 127 376.704357 212 1.776907 7372017710 2833796055 4538221628 0
115 127 304.019454 214 1.420652 7914301221 3025443563 4888857631 0
116 127 232.683740 216 1.077240 7619894810 2893046562 4726848221 0
117 127 256.468370 218 1.176460 7816427954 2952819284 4863608643 0
118 127 244.041685 220 1.109280 7794475418 2927698635 4866776756 0
119 127 292.997003 222 1.319806 8288274145 3089329773 5198944345 0
120 127 230.592156 224 1.029429 8195864601 3034311599 5161552975 0
121 127 235.069943 226 1.040132 7839430658 2891656772 4947773859 0
122 127 242.560849 228 1.063863 7849356653 2870541649 4978814977 0
123 127 165.130761 230 0.717960 7311444602 2665610145 4645834430 0
124 127 230.543794 232 0.993723 7884682709 2839979506 5044703176 0
125 127 241.568696 234 1.032345 8483865006 3053071271 5430793708 0
126 127 248.852133 236 1.054458 8666730493 3094964843 5571765623 0
