q q_max q_time hits q_time/hits k accept_counter reject_counter sampled_ratio/numer_working_threads
0 127 0.046905 1 0.046905 2550582 2550555 0 1
1 127 0.069913 1 0.069913 2550582 2550555 0 1
2 127 0.090443 2 0.045221 5136549 3475316 1661206 0
3 127 0.137141 3 0.045714 7811071 4678775 3132269 0
4 127 0.248457 5 0.049691 13448335 6583583 6864725 0
5 127 0.296336 6 0.049389 15967193 8044261 7922905 0
6 127 0.460083 8 0.057510 22234341 10257782 11976532 0
7 127 0.456316 9 0.050702 24205727 11438320 12767380 0
8 127 0.587156 11 0.053378 30996740 14026731 16969982 0
9 127 1.142833 13 0.087910 42639293 18925743 23713523 0
10 127 0.832753 14 0.059482 42854326 19729246 23125053 0
11 127 1.033996 16 0.064625 49960328 22346831 27613470 0
12 127 1.468362 18 0.081576 61522150 27287474 34234649 0
13 127 1.388818 19 0.073096 69026456 31482697 37543732 0
14 127 1.609747 21 0.076655 76571721 34396746 42174948 0
15 127 2.350159 23 0.102181 98118976 44042435 54076514 0
16 127 4.938920 25 0.197557 173649142 78080413 95568702 0
17 127 2.553735 26 0.098221 104622989 47473801 57149161 0
18 127 3.095029 28 0.110537 123308561 55522081 67786453 0
19 127 4.185876 30 0.139529 168479282 75882400 92596855 0
20 127 7.850124 32 0.245316 241523958 109203783 132320148 0
21 127 3.408967 33 0.103302 145550492 65600888 79949577 0
22 127 4.267678 35 0.121934 166042682 74435204 91607451 0
23 127 4.973749 37 0.134426 181563649 81068458 100495164 0
24 127 9.510660 39 0.243863 317227385 142061353 175166005 0
25 127 19.673282 41 0.479836 738688566 332882559 405805980 0
26 127 5.938559 42 0.141394 212693245 96312275 116380943 0
27 127 6.497810 44 0.147677 249911556 113445873 136465656 0
28 127 8.492423 46 0.184618 297085491 134308660 162776804 0
29 127 13.354979 48 0.278229 490524641 222061797 268462817 0
30 127 38.979814 50 0.779596 1098354526 497981172 600373327 0
31 127 6.835389 51 0.134027 280888894 127253681 153635186 0
32 127 9.604094 53 0.181209 347847911 157113506 190734378 0
33 127 10.663633 55 0.193884 420645932 190435285 230210620 0
34 127 22.158779 57 0.388751 711684449 323736800 387947622 0
35 127 35.790522 59 0.606619 1044377979 471935900 572442052 0
36 127 125.937296 61 2.064546 2002437470 906230098 1096207345 0
37 127 10.558285 62 0.170295 457788880 207597899 250190954 0
38 127 15.100075 64 0.235939 501186057 227596127 273589903 0
39 127 18.963888 66 0.287332 726191114 329364935 396826152 0
40 127 38.418639 68 0.564980 1046927434 474629173 572298234 0
41 127 75.118569 70 1.073122 1847552050 841353744 1006198279 0
42 127 143.896914 72 1.998568 2722333762 1232070169 1490263566 0
43 127 19.554094 73 0.267864 666998008 303730408 363267573 0
44 127 26.265131 75 0.350202 683543289 311102484 372440778 0
45 127 28.987959 77 0.376467 873347710 396136886 477210797 0
46 127 47.917114 79 0.606546 1371416034 623290008 748125999 0
47 127 109.094395 81 1.346844 2468258709 1120762753 1347495929 0
48 127 223.288235 83 2.690220 4226837114 1919403350 2307433737 0
49 127 695.745823 85 8.185245 6466020540 2942920272 3523100241 0
50 127 22.441679 86 0.260950 813954353 370341482 443612844 0
51 127 28.154741 88 0.319940 1128231375 511400944 616830404 0
52 127 43.704066 90 0.485601 1348476802 614018847 734457928 0
53 127 69.332238 92 0.753611 2833019018 1289333110 1543685881 0
54 127 96.147132 94 1.022842 2821593251 1281039069 1540554155 0
55 127 272.411006 96 2.837615 5353036785 2427090727 2925946031 0
56 127 926.559191 98 9.454686 11025566673 4994915699 6030650947 0
57 127 33.771719 99 0.341128 1173556197 531110696 642445474 0
58 127 37.574785 101 0.372028 1216337275 551653779 664683469 0
59 127 56.803812 103 0.551493 1807789082 821443998 986345057 0
60 127 73.225181 105 0.697383 2440677727 1106444296 1334233404 0
61 127 168.436254 107 1.574171 4994843879 2262425425 2732418427 0
62 127 192.335040 109 1.764542 4678248730 2116930297 2561318406 0
63 127 392.112328 111 3.532543 6495613145 2928105907 3567507211 0
64 127 43.189869 113 0.382211 1162149296 523332803 638816466 0
65 127 36.116348 114 0.316810 1531198572 691301274 839897271 0
66 127 63.884667 116 0.550730 2263087401 1019941030 1243146344 0
67 127 87.452971 118 0.741127 2546965810 1147152788 1399812995 0
68 127 124.349742 120 1.036248 4929840974 2214623036 2715217911 0
69 127 263.608641 122 2.160727 6854905303 3074581278 3780323998 0
70 127 295.732775 124 2.384942 7682014878 3442092275 4239922576 0
71 127 509.358338 126 4.042526 12134301855 5431749700 6702552128 0
72 127 923.535321 128 7.215120 8735800512 3905489309 4830311176 0
73 127 1977.827854 130 15.214060 22030101743 9827986424 12202115292 0
74 127 1046.429271 132 7.927494 16634507440 7417859649 9216647764 0
75 127 807.793300 134 6.028308 17437976054 7753550281 9684425746 0
76 127 604.924484 136 4.447974 17938642129 7972604220 9966037882 0
77 127 660.573257 138 4.786763 15618880263 6920589689 8698290547 0
78 127 509.056375 140 3.636117 15855331523 7009894371 8845437125 0
79 127 607.599885 142 4.278872 16235889566 7164543871 9071345668 0
80 127 793.984780 144 5.513783 9801162129 4313092154 5488069948 0
81 127 411.027998 146 2.815260 10219850566 4481633567 5738216972 0
82 127 226.809082 148 1.532494 6527588484 2861548164 3666040293 0
83 127 217.218644 150 1.448124 8143217333 3562488569 4580728737 0
84 127 181.910363 152 1.196779 6463142312 2809471369 3653670916 0
85 127 296.385635 154 1.924582 7262601018 3150023379 4112577612 0
86 127 273.742863 156 1.754762 7075331522 3051899097 4023432398 0
87 127 290.658866 158 1.839613 7389912229 3186421205 4203490997 0
88 127 257.751376 160 1.610946 7648763685 3292307651 4356456007 0
89 127 241.040241 162 1.487903 7136205934 3061201635 4075004272 0
90 127 259.500721 164 1.582321 7517378606 3216071034 4301307545 0
91 127 195.144758 166 1.175571 6376266489 2716796347 3659470115 0
92 127 217.975323 168 1.297472 7217153441 3059033101 4158120313 0
93 127 436.495776 170 2.567622 7726662033 3266837411 4459824595 0
94 127 224.131380 172 1.303089 6133243746 2581444514 3551799205 0
95 127 208.461261 174 1.198053 6884362907 2880537447 4003825433 0
96 127 628.515278 176 3.571110 13122110992 5473580970 7648529995 0
97 127 301.035308 178 1.691210 7503731373 3118210682 4385520664 0
98 127 248.452648 180 1.380292 7551287415 3132724963 4418562425 0
99 127 191.739155 182 1.053512 6609756680 2725701137 3884055516 0
100 127 184.943878 184 1.005130 6844722579 2816205757 4028516795 0
101 127 219.738858 186 1.181392 6443322284 2638103748 3805218509 0
102 127 214.174928 188 1.139228 7692006273 3139772252 4552233994 0
103 127 244.910109 190 1.289001 7677431340 3117225493 4560205820 0
104 127 220.861541 192 1.150321 7006911636 2830103210 4176808399 0
105 127 248.032489 194 1.278518 8263859602 3326985044 4936874531 0
106 127 180.520258 196 0.921022 6687075017 2677438469 4009636521 0
107 127 222.246239 198 1.122456 6787795219 2706263945 4081531247 0
108 127 302.483360 200 1.512417 7852124996 3113683719 4738441250 0
109 127 220.952080 202 1.093822 6544100941 2583567263 3960533651 0
110 127 256.532581 204 1.257513 7567281842 2978996856 4588284959 0
111 127 321.565623 206 1.560998 9566209096 3728520573 5837688496 0
112 127 660.274395 208 3.174396 10901680861 4228133303 6673547531 0
113 127 418.095294 210 1.990930 10848074400 4186844213 6661230160 0
114 127 283.380847 212 1.336702 7197568612 2768422114 4429146471 0
115 127 204.844995 214 0.957220 7884496803 3006465062 4878031714 0
116 127 455.130700 216 2.107087 9082744945 3451089837 5631655081 0
117 127 196.126013 218 0.899661 7052816941 2667958301 4384858613 0
118 127 323.078432 220 1.468538 7630831412 2854226319 4776605066 0
119 127 260.654900 222 1.174121 8572104799 3200748753 5371356019 0
120 127 221.188585 224 0.987449 7311105829 2705810270 4605295532 0
121 127 198.746735 226 0.879410 8300922821 3057712325 5243210469 0
122 127 193.662101 228 0.849395 7401584725 2701714532 4699870166 0
123 127 214.610684 230 0.933090 7621332900 2772457790 4848875083 0
124 127 248.217353 232 1.069902 8170079077 2954820450 5215258600 0
125 127 289.398915 234 1.236747 7120828561 2553783931 4567044603 0
126 127 267.529020 236 1.133598 9838393352 3516628871 6321764454 0
127 127 357.693750 237 1.509256 11183633145 3991823294 7191809824 0
26520.1
