q q_max q_time hits q_time/hits k accept_counter reject_counter sampled_ratio/numer_working_threads
0 127 0.046216 1 0.046216 2550582 2550555 0 1
1 127 0.046739 1 0.046739 2550582 2550555 0 1
2 127 0.091445 2 0.045722 5140144 3468110 1672007 0
3 127 0.160594 3 0.053531 7777374 4669964 3107383 0
4 127 0.265467 5 0.053093 13516919 6680219 6836673 0
5 127 0.314116 6 0.052353 16278982 8247972 8030983 0
6 127 0.459626 8 0.057453 22919274 10786128 12133119 0
7 127 0.486595 9 0.054066 24591124 11752566 12838531 0
8 127 0.624325 11 0.056757 30640238 13888632 16751579 0
9 127 0.868599 13 0.066815 41340109 18416401 22923681 0
10 127 0.940739 14 0.067196 44728118 20759841 23968250 0
11 127 1.166307 16 0.072894 56381041 25509153 30871861 0
12 127 1.453980 18 0.080777 61968549 27463390 34505132 0
13 127 1.295461 19 0.068182 62150702 28057689 34092986 0
14 127 1.512478 21 0.072023 72519588 32385425 40134136 0
15 127 2.237111 23 0.097266 92573071 41366032 51207012 0
16 127 6.080883 25 0.243235 157504352 70408912 87095413 0
17 127 2.288494 26 0.088019 101928558 46151264 55777267 0
18 127 2.931311 28 0.104690 122244832 55170691 67074114 0
19 127 3.709244 30 0.123641 153949491 69287750 84661714 0
20 127 7.056698 32 0.220522 265970580 119489531 146481022 0
21 127 3.618737 33 0.109659 148813510 66606236 82207247 0
22 127 4.396022 35 0.125601 180441748 81105507 99336214 0
23 127 5.362304 37 0.144927 191011610 85788143 105223440 0
24 127 11.198043 39 0.287129 330193903 148093562 182100314 0
25 127 26.080889 41 0.636119 678736702 304785515 373951160 0
26 127 6.036106 42 0.143717 252045683 113619069 138426587 0
27 127 6.828857 44 0.155201 242333262 108861734 133471501 0
28 127 10.090582 46 0.219360 325242082 146054004 179188051 0
29 127 11.711767 48 0.243995 402367426 180299151 222068248 0
30 127 37.095294 50 0.741906 843090804 379075205 464015572 0
31 127 6.943009 51 0.136137 286334068 129064161 157269880 0
32 127 8.830510 53 0.166613 387253769 175030307 212223435 0
33 127 10.295658 55 0.187194 424324745 189456229 234868489 0
34 127 14.266374 57 0.250287 493230481 219935635 273294819 0
35 127 33.529253 59 0.568292 1006271128 452349906 553921195 0
36 127 125.053664 61 2.050060 2913414266 1315418258 1597995981 0
37 127 11.870144 62 0.191454 419686544 190026157 229660360 0
38 127 15.956021 64 0.249313 435864849 196122929 239741893 0
39 127 26.290601 66 0.398342 599783450 270389284 329394139 0
40 127 28.857500 68 0.424375 1033422006 465119093 568302886 0
41 127 54.741715 70 0.782024 1827622531 827180702 1000441802 0
42 127 138.908897 72 1.929290 2708230211 1230142414 1478087770 0
43 127 16.507264 73 0.226127 566632778 258274726 308358025 0
44 127 17.892276 75 0.238564 618846775 281311726 337535022 0
45 127 38.599905 77 0.501297 1142967265 521763899 621203339 0
46 127 40.433346 79 0.511815 1373687360 622455077 751232256 0
47 127 84.604757 81 1.044503 1904287505 865224754 1039062724 0
48 127 142.802419 83 1.720511 3182987451 1454268675 1728718749 0
49 127 437.694300 85 5.149345 4751479443 2160934284 2590545132 0
50 127 25.034533 86 0.291099 799814883 364485947 435328909 0
51 127 26.981458 88 0.306607 841931937 381307931 460623979 0
52 127 39.657645 90 0.440640 1538257549 698529218 839728304 0
53 127 68.869824 92 0.748585 2201200235 998402790 1202797418 0
54 127 136.659574 94 1.453825 4105659756 1868045603 2237614126 0
55 127 222.175563 96 2.314329 3503871570 1591441057 1912430486 0
56 127 551.760696 98 5.630211 4556661478 2070337461 2486323990 0
57 127 40.119988 99 0.405252 1263105927 575327531 687778369 0
58 127 40.709883 101 0.403068 1290671005 588677601 701993377 0
59 127 56.673531 103 0.550228 2019449502 914919172 1104530303 0
60 127 86.833759 105 0.826988 2880576307 1309490007 1571086273 0
61 127 123.107142 107 1.150534 4284308318 1939616672 2344691619 0
62 127 219.436849 109 2.013182 4360758826 1979819256 2380939543 0
63 127 456.315615 111 4.110951 9055242835 4108906663 4946336145 0
64 127 2446.702325 113 21.652233 19053932231 8622962211 10430969993 0
65 127 50.444421 114 0.442495 1485877907 669921141 815956739 0
66 127 79.845832 116 0.688326 2418724375 1091035833 1327688515 0
67 127 113.159861 118 0.958982 2811103653 1267992092 1543111534 0
68 127 131.622469 120 1.096854 3997109963 1796454318 2200655618 0
69 127 303.874251 122 2.490773 6878493699 3101125413 3777368259 0
70 127 406.035267 124 3.274478 7575209772 3403246968 4171962777 0
71 127 778.366835 126 6.177515 7761433879 3477510716 4283923136 0
72 127 1071.088132 128 8.367876 10483613023 4681523398 5802089598 0
73 127 1029.378741 130 7.918298 8858135061 3951910754 4906224280 0
74 127 775.885968 132 5.877924 6464268269 2881709967 3582558275 0
75 127 960.290324 134 7.166346 14169274362 6305420974 7863853361 0
76 127 799.398536 136 5.877930 16665227184 7394803207 9270423950 0
77 127 651.952155 138 4.724291 16707550972 7412034138 9295516807 0
78 127 493.436377 140 3.524546 15098023224 6679951975 8418071222 0
79 127 906.260227 142 6.382114 18074190013 7972078782 10102111204 0
80 127 780.314463 144 5.418850 14792018888 6499253779 8292765082 0
81 127 403.034476 146 2.760510 12534447627 5504739315 7029708285 0
82 127 453.209691 148 3.062228 10680950278 4685832848 5995117403 0
83 127 275.075783 150 1.833839 8600419427 3754061731 4846357669 0
84 127 209.181737 152 1.376196 7076180385 3078337550 3997842808 0
85 127 222.457910 154 1.444532 7162190275 3114393581 4047796667 0
86 127 245.272084 156 1.572257 6312047904 2731811673 3580236204 0
87 127 210.555122 158 1.332627 7119281785 3074030061 4045251697 0
88 127 220.085620 160 1.375535 6803214689 2919927966 3883286696 0
89 127 151.988834 162 0.938203 5676907181 2430607403 3246299751 0
90 127 153.451031 164 0.935677 5795152264 2474188652 3320963585 0
91 127 243.747708 166 1.468360 6191442649 2633667911 3557774711 0
92 127 184.500525 168 1.098217 6763888863 2866376431 3897512405 0
93 127 199.477601 170 1.173398 6091024810 2577636339 3513388444 0
94 127 208.594023 172 1.212756 6991910689 2948592278 4043318384 0
95 127 308.342605 174 1.772084 6921263508 2912656707 4008606774 0
96 127 489.835343 176 2.783155 10833675343 4524486963 6309188353 0
97 127 253.243835 178 1.422718 8257997065 3431129659 4826867379 0
98 127 276.586160 180 1.536590 6771567823 2807979612 3963588184 0
99 127 208.578304 182 1.146035 7073508551 2923991692 4149516832 0
100 127 192.034851 184 1.043668 6689032008 2754948842 3934083139 0
101 127 221.605506 186 1.191427 6575056785 2698967321 3876089437 0
102 127 206.364644 188 1.097684 7380238184 3008586082 4371652075 0
103 127 255.034974 190 1.342289 6388763048 2592515487 3796247534 0
104 127 198.275526 192 1.032685 6724381190 2721999292 4002381871 0
105 127 227.752866 194 1.173984 8475368337 3416323342 5059044968 0
106 127 268.372899 196 1.369249 6406803031 2564968346 3841834658 0
107 127 230.731070 198 1.165308 7441526656 2975857101 4465669528 0
108 127 185.587165 200 0.927936 7840301064 3104427494 4735873543 0
109 127 230.486553 202 1.141023 7120215593 2810555617 4309659949 0
110 127 259.569812 204 1.272401 8517613795 3353548459 5164065309 0
111 127 307.575714 206 1.493086 8336348753 3255826540 5080522186 0
112 127 546.745662 208 2.628585 10608042782 4112633137 6495409618 0
113 127 330.906505 210 1.575745 9295349698 3587802689 5707546982 0
114 127 284.749607 212 1.343159 8540660057 3279716637 5260943393 0
115 127 301.431655 214 1.408559 8685128123 3314259773 5370868323 0
116 127 174.176735 216 0.806374 6085191573 2304388309 3780803237 0
117 127 233.422261 218 1.070744 7000755460 2640371253 4360384180 0
118 127 217.708898 220 0.989586 6926420593 2600442314 4325978252 0
119 127 241.248609 222 1.086705 8278164467 3086494556 5191669884 0
120 127 260.654460 224 1.163636 9306544162 3447520069 5859024066 0
121 127 163.374591 226 0.722896 5688953637 2093847203 3595106407 0
122 127 239.859363 228 1.052015 8530730809 3125636533 5405094249 0
123 127 278.162122 230 1.209401 9809473709 3566886960 6242586722 0
124 127 297.777514 232 1.283524 10298072033 3714222437 6583849569 0
125 127 220.663111 234 0.943005 7652881342 2739362567 4913518748 0
126 127 399.632015 236 1.693356 9691147083 3463681565 6227465491 0
127 127 294.151728 237 1.241147 8436877035 2996040251 5440836757 0
27468.4
