q q_max q_time hits q_time/hits k accept_counter reject_counter sampled_ratio/numer_working_threads
0 127 0.055170 1 0.055170 2550582 2550555 0 1
1 127 0.054295 1 0.054295 2550582 2550555 0 1
2 127 0.091679 2 0.045839 5146862 3480710 1666125 0
3 127 0.140349 3 0.046783 7838266 4775108 3063131 0
4 127 0.276070 5 0.055214 13858199 6922954 6935218 0
5 127 0.306044 6 0.051007 16105806 8156271 7949508 0
6 127 0.474303 8 0.059288 22822342 10730909 12091406 0
7 127 0.453788 9 0.050421 24447756 11709189 12738540 0
8 127 0.660981 11 0.060089 32425907 14799222 17626658 0
9 127 0.966335 13 0.074333 41349917 18545231 22804659 0
10 127 0.833250 14 0.059518 43122585 19972731 23149827 0
11 127 1.021548 16 0.063847 50674342 22973287 27701028 0
12 127 1.593438 18 0.088524 66529635 29700049 36829559 0
13 127 1.521639 19 0.080086 66196156 30324859 35871270 0
14 127 1.671204 21 0.079581 75662384 34333149 41329208 0
15 127 2.592605 23 0.112722 93924660 42342105 51582528 0
16 127 5.103374 25 0.204135 180943603 81080111 99863465 0
17 127 2.039168 26 0.078430 97906392 44198334 53708031 0
18 127 2.237366 28 0.079906 129180517 58383521 70796969 0
19 127 3.468430 30 0.115614 179767204 81281284 98485893 0
20 127 5.123807 32 0.160119 253839969 113402737 140437205 0
21 127 2.340083 33 0.070912 143931172 64772252 79158893 0
22 127 2.588695 35 0.073963 175310634 78519253 96791354 0
23 127 3.294930 37 0.089052 206154734 92209056 113945651 0
24 127 6.224207 39 0.159595 253646972 113581145 140065800 0
25 127 21.774312 41 0.531081 660032851 297781610 362251214 0
26 127 4.278801 42 0.101876 199055973 89471533 109584413 0
27 127 6.891042 44 0.156615 255964865 115109630 140855208 0
28 127 9.712238 46 0.211136 319174122 143734701 175439394 0
29 127 14.882048 48 0.310043 485982474 218504361 267478086 0
30 127 36.022690 50 0.720454 885609400 400895116 484714257 0
31 127 6.324330 51 0.124006 275834162 124581559 151252576 0
32 127 7.795156 53 0.147078 304874644 136932769 167941848 0
33 127 10.140734 55 0.184377 408500467 183324141 225176299 0
34 127 17.732143 57 0.311090 554964392 250872043 304092322 0
35 127 42.426980 59 0.719101 1331224788 599426506 731798255 0
36 127 170.462705 61 2.794471 3005212108 1366070773 1639141308 0
37 127 11.187878 62 0.180450 450201263 203915548 246285688 0
38 127 12.369053 64 0.193266 501259781 226738987 274520767 0
39 127 17.472089 66 0.264729 597447798 271874851 325572920 0
40 127 33.421601 68 0.491494 931927952 423045570 508882355 0
41 127 62.769558 70 0.896708 2270324617 1030811493 1239513097 0
42 127 147.560282 72 2.049448 3227109302 1467239728 1759869547 0
43 127 17.146085 73 0.234878 590102645 268750853 321351765 0
44 127 21.917142 75 0.292229 717795217 325705578 392089612 0
45 127 26.504670 77 0.344216 825790558 373490918 452299613 0
46 127 40.299398 79 0.510119 1573420015 715411068 858008920 0
47 127 42.639066 81 0.526408 1749063251 793060678 956002546 0
