q q_max q_time hits q_time/hits k accept_counter reject_counter sampled_ratio/numer_working_threads
100 127 226.922765 184 1.233276 7265558468 2998006157 4267552284 0
101 127 220.958736 186 1.187950 6833347534 2797515468 4035832039 0
102 127 210.290123 188 1.118564 6733318058 2741601687 3991716344 0
103 127 229.023701 190 1.205388 7599846489 3091567145 4508279317 0
104 127 311.538004 192 1.622594 9045434553 3662891040 5382543486 0
105 127 186.128165 194 0.959424 7078359393 2848109373 4230249993 0
106 127 193.971094 196 0.989648 6124250134 2451692615 3672557492 0
107 127 245.681468 198 1.240815 7091981927 2829194745 4262787155 0
108 127 186.721608 200 0.933608 7685201140 3057380605 4627820508 0
109 127 241.042172 202 1.193278 8706752395 3441496555 5265255813 0
110 127 186.126040 204 0.912383 6924444404 2719350650 4205093727 0
111 127 278.195248 206 1.350462 7846528740 3064511695 4782017018 0
112 127 530.067969 208 2.548404 11115616015 4325817320 6789798668 0
113 127 337.376276 210 1.606554 11442870384 4415145337 7027725020 0
114 127 256.933220 212 1.211949 8553341597 3288896121 5264445449 0
115 127 261.934216 214 1.223992 9405101818 3588249143 5816852648 0
116 127 296.721083 216 1.373709 8270687818 3148066955 5122620836 0
117 127 183.133836 218 0.840063 7600791346 2874123255 4726668064 0
118 127 198.903646 220 0.904107 7055831976 2654583984 4401247965 0
119 127 228.324716 222 1.028490 7763103681 2891052865 4872050789 0
120 127 227.000969 224 1.013397 7674580522 2847533195 4827047300 0
121 127 196.036095 226 0.867416 7538991020 2778506757 4760484236 0
122 127 246.743097 228 1.082207 7986261889 2927291815 5058970047 0
123 127 252.314431 230 1.097019 7667383486 2791586195 4875797264 0
124 127 262.257351 232 1.130420 8897461011 3209479576 5687981408 0
125 127 224.112605 234 0.957746 7902775791 2837784502 5064991262 0
126 127 293.564667 236 1.243918 7996585402 2863447385 5133137990 0
127 127 275.782145 237 1.163638 9351113440 3337510820 6013602593 0
25465.1
