q q_max q_time hits q_time/hits k accept_counter reject_counter sampled_ratio/numer_working_threads
0 127 0.045406 1 0.045406 2550582 2550555 0 1
1 127 0.045879 1 0.045879 2550582 2550555 0 1
2 127 0.091114 2 0.045557 5145627 3484222 1661378 0
3 127 0.138138 3 0.046046 7787007 4661094 3125886 0
4 127 0.255318 5 0.051064 13461358 6588040 6873291 0
5 127 0.293498 6 0.048916 15978339 8072253 7906059 0
6 127 0.466082 8 0.058260 22649247 10566028 12083192 0
7 127 0.480346 9 0.053372 24902222 12019719 12882476 0
8 127 0.659241 11 0.059931 32560018 15016432 17543559 0
9 127 0.953722 13 0.073363 43359773 19539653 23820093 0
10 127 0.872592 14 0.062328 42478868 19707468 22771373 0
11 127 1.184460 16 0.074029 55570454 25354264 30216163 0
12 127 1.938371 18 0.107687 71728752 32317231 39411494 0
13 127 1.311350 19 0.069018 65832528 30322594 35509907 0
14 127 1.725739 21 0.082178 79091474 35796892 43294555 0
15 127 2.011941 23 0.087476 89938283 40207190 49731066 0
16 127 4.644407 25 0.185776 164092621 73459950 90632644 0
17 127 2.514755 26 0.096721 101282094 45524818 55757249 0
18 127 2.966345 28 0.105941 121864038 54772282 67091729 0
19 127 5.725280 30 0.190843 182509103 81912685 100596391 0
20 127 8.119070 32 0.253721 262951022 117713191 145237804 0
21 127 3.201023 33 0.097001 138552506 62150850 76401629 0
22 127 3.685899 35 0.105311 158885097 70796186 88088884 0
23 127 5.316453 37 0.143688 190868657 85468617 105400013 0
24 127 10.482715 39 0.268788 309141937 139470249 169671661 0
25 127 22.959223 41 0.559981 763288721 343849447 419439247 0
26 127 5.511989 42 0.131238 226413423 102252914 124160482 0
27 127 7.189576 44 0.163399 230972185 103871624 127100534 0
28 127 9.524244 46 0.207049 324620510 146330413 178290070 0
29 127 20.776161 48 0.432837 633273898 286879064 346394807 0
30 127 43.575465 50 0.871509 1220648465 552186726 668461712 0
31 127 7.296873 51 0.143076 258417318 116353613 142063678 0
32 127 7.776600 53 0.146728 300184745 135631845 164552873 0
33 127 11.504031 55 0.209164 438358872 198955290 239403555 0
