q q_max q_time hits q_time/hits 
1 31 0.070645 1 0.070645
2 31 0.135932 2 0.067966
3 31 0.207347 3 0.069116
4 31 0.357643 5 0.071529
5 31 0.447861 6 0.074643
6 31 0.606857 8 0.075857
7 31 0.693642 9 0.077071
8 31 0.853335 11 0.077576
9 31 1.148688 13 0.088361
10 31 1.168684 14 0.083477
11 31 1.367816 16 0.085488
12 31 1.776955 18 0.098720
13 31 1.621448 19 0.085339
14 31 1.888961 21 0.089951
15 31 2.026309 23 0.088100
16 31 2.244679 25 0.089787
17 31 2.452874 26 0.094341
18 31 2.694106 28 0.096218
19 31 2.814803 30 0.093827
20 31 2.971933 32 0.092873
21 31 3.507570 34 0.103164
22 31 3.464796 36 0.096244
23 31 3.715684 38 0.097781
24 31 4.715960 40 0.117899
25 31 4.237308 42 0.100888
26 31 4.664185 44 0.106004
27 31 4.662976 46 0.101369
28 31 4.890469 48 0.101885
29 31 5.273792 50 0.105476
30 31 5.358448 52 0.103047
31 31 5.331868 53 0.100601
77.3739
