f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-11 0.006146 10000 1974 2000.000000
1+1E-0.187942 1+1E-11 0.006636 10000 1981 2000.000000
1+1E-0.546643 1+1E-11 0.006506 10000 1971 2000.000000
1+1E-0.875664 1+1E-11 0.006664 10000 1979 2000.000000
1+1E-1.190478 1+1E-11 0.006598 10000 1949 2000.000000
1+1E-1.498346 1+1E-11 0.006586 10000 1964 2000.000000
1+1E-1.802783 1+1E-11 0.006618 10000 1934 2000.000000
1+1E-2.105512 1+1E-11 0.006552 10000 1926 2000.000000
1+1E-2.407391 1+1E-11 0.013392 20000 3847 4000.000000
1+1E-2.708846 1+1E-11 0.013239 20000 3824 4000.000000
1+1E-3.010088 1+1E-11 0.026451 40000 7607 8000.000000
1+1E-3.311224 1+1E-11 0.026172 40000 7693 8000.000000
1+1E-3.612307 1+1E-11 0.030321 50000 9611 10000.000000
1+1E-3.913363 1+1E-11 0.035694 60000 11405 12000.000000
1+1E-4.214407 1+1E-11 0.056944 90000 17310 18000.000000
1+1E-4.515443 1+1E-11 0.052798 80000 15205 16000.000000
1+1E-4.816477 1+1E-11 0.244213 350000 66626 70000.000000
1+1E-5.117508 1+1E-11 0.118237 170000 32362 34000.000000
1+1E-5.418539 1+1E-11 0.121289 180000 34259 36000.000000
1+1E-5.719570 1+1E-11 0.143465 220000 41906 44000.000000
1+1E-6.020600 1+1E-11 0.040236 60000 11451 12000.000000
1+1E-6.321630 1+1E-11 0.170411 250000 47710 50000.000000
1+1E-6.622660 1+1E-11 0.150891 220000 41929 44000.000000
1+1E-6.923690 1+1E-11 0.046866 70000 13341 14000.000000
1+1E-7.224720 1+1E-11 0.114713 180000 34295 36000.000000
1+1E-7.525750 1+1E-11 0.053945 90000 17164 18000.000000
1+1E-7.826780 1+1E-11 0.125838 190000 36335 38000.000000
1+1E-8.127810 1+1E-11 0.060057 90000 17171 18000.000000
1+1E-8.428840 1+1E-11 0.046274 70000 13500 14000.000000
1+1E-8.729870 1+1E-11 0.156959 230000 43714 46000.000000
1+1E-9.030900 1+1E-11 0.090857 130000 24947 26000.000000
1+1E-9.331930 1+1E-11 0.063623 90000 17216 18000.000000
1+1E-9.632960 1+1E-11 0.021276 30000 5723 6000.000000
1+1E-9.933990 1+1E-11 0.151816 220000 41847 44000.000000
1+1E-10.235020 1+1E-11 0.325272 490000 93187 98000.000000
1+1E-10.536050 1+1E-11 0.050951 70000 13420 14000.000000
1+1E-10.837080 1+1E-11 0.171338 240000 45617 48000.000000
2.77641
